HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEHANK,LINEBIHL,LINEERIC,LINEGRID,LINEFOX,LINEFREE,LINESELF,LINECPA2,VSCORE,HSCORE,WEEK
Chicago,Cleveland,5,7.44,6.96,8.36,-13.77,-3,9.65,8.43,14.3,6.32,8.5,2.32,9.1,5,8.38,7.33,5.72,6.71,9.36,6,9.2,6,5,12.53,0,-10,11,4,6.51,,21,27,9
Green Bay,Tampa Bay,5,3.96,4.19,3.98,21.17,12,3.05,3.76,5.2,12.19,5.56,10.94,0.1,8.2,3.91,6.93,5.35,5.5,8.41,4,3.72,4,5,6.47,2.8,9,3,3,3.9,,20,21,9
Miami,Carolina,10,10.21,15.7,8.31,19.61,10,16.07,14.48,14.1,12.47,10.66,8.07,15.2,4.5,6.28,6.42,11.4,11.49,12.39,10,11.99,12,11,13.35,26.4,14,10,10,11.23,,6,23,9
N.Y. Giants,Dallas,10.5,5.36,10.72,7.92,35.81,16,3.41,5.43,8.7,9.19,8.24,6.88,5.3,8.3,8.03,7.11,9.28,8.42,11.65,11,6.67,5,4,9.1,7.6,12.5,11,11,4.09,,24,27,9
New Orleans,N.Y. Jets,6.5,3.94,6.79,9.4,-11.17,14,4.85,5.24,2.6,5.93,1.92,9.38,5.4,4.1,10.56,7.44,3.18,6.4,-0.84,7,7.51,4,4,9.11,4.9,14.5,6,6,3.19,,16,9,9
Oakland,Denver,5.5,6.4,12.88,8.79,-12.63,15,9.79,9,13.1,8.89,8.98,5.39,6.2,6.6,7.44,5.91,10.68,9.35,9.99,9,9.87,9,6,9.92,10.7,15,11,6,6.81,,28,38,9
Pittsburgh,Baltimore,2,3.6,3.97,5.5,4.83,8,5.93,4.94,4,10.82,6.22,3.27,10.1,6.9,5.11,8.36,2.98,5.3,5.83,1,7.03,4,5,5.76,0.9,8.5,2,1,3.89,,13,10,9
San Diego,Kansas City,5.5,10.19,17.6,12.75,9.8,25,14.91,13.08,13.2,15.24,6.97,13.74,13.4,7.3,11.37,9.64,7.43,11.82,9.48,8,13.18,12,10,13.3,16.3,10.5,5,5,10.85,,25,20,9
San Francisco,Detroit,9,16.05,24.18,18.49,7.78,18,21.39,15.48,11.7,13.53,10.46,14.06,12.2,7.9,15.77,10.99,11.13,14.19,11.98,9,17.37,15,14,21.02,1.4,6.5,10,7,15.11,,13,21,9
Tennessee,Jacksonville,3,0.02,-1,-4.9,-11.15,3,-1.86,2.18,6.1,0.02,2.26,0.4,7.1,-1.9,-5.14,-2.93,-1.13,0.83,7.39,6,0.98,1,-3,-0.39,8.3,-12.5,5,7,0.45,,24,28,9
Washington,Seattle,-2.5,-6.17,-11.2,-4.5,35.52,4,-9.46,-2.93,-1.6,-0.96,0.24,-3.79,-6.3,-3,0.42,-2.04,-7.01,-3.62,-6.22,0,-2.43,-5,-7,-6.62,1,-4.5,-2,-1,-4.16,,14,27,9
Arizona,N.Y. Giants,-5.5,-3.34,-3.67,-5.43,-4.77,-8.5,-3.01,1.18,-12.5,-4.62,-8.14,-2.74,-5.8,-1.6,-6.29,-4.29,-10.57,-5.7,-6.18,-8,-3.55,-4,-5,-4.45,-10.25,-7,-9,-6,-0.34,-5.97,17,10,10
Atlanta,Dallas,6,5.03,6.43,4.76,2.45,6.5,8.3,6.46,-2.1,1.9,2.01,7.26,-0.1,3.4,2.09,4.7,1.53,3.99,6.9,2,4.18,4,3,6.88,-3.76,10,0,6,5.49,3.19,13,20,10
Chicago,Green Bay,-2.5,5.83,8.3,5.28,-0.93,-5.5,11.01,10.14,-2.3,3.54,0.9,0.2,7.7,4.9,4.16,3.63,0.08,3.19,1.88,-3,9.76,5,2,8,-14.43,7,-1,1,7.81,4.66,20,12,10
Cleveland,Pittsburgh,-3,0.22,-5.58,2.01,12.43,1,2.44,3.54,-11.4,-0.18,-4.81,4.83,2.8,-2.7,1.29,-1.02,-2.31,-0.34,-5.35,-3,3.19,-1,-5,0.44,1.25,12.5,-9,0,2.62,-2.84,15,12,10
Denver,San Diego,6,0.96,1.34,-1.8,1.39,6.5,0.91,2.76,1.2,2.06,4.49,1.62,6.2,-1.9,-2.06,-0.87,2.32,1.74,1.79,7,3.35,2,-2,1.98,-8.45,-3,6,7,2.34,-2.18,16,26,10
Detroit,Tampa Bay,-5,-6.59,-8.8,-11.78,-20.96,-7.5,-4.85,-2.7,-13.2,-5.31,-5.2,-8.4,-10.9,-3.7,-11.77,-6.29,-8.49,-7.24,-8.83,-10,-6.06,-8,-9,-7.97,0.11,-1,-11,-5,-2.82,-8.6,20,17,10
Indianapolis,Miami,3,-1.37,0.1,-1.44,7.6,5,-0.87,-1.11,0.8,-0.56,0.71,3.67,-6.3,-0.2,-1.3,1.65,2.72,-0.27,-1.67,4,-1.24,-1,-1,-0.71,-1.86,-5,3,2,-0.6,-5.44,27,24,10
Jacksonville,Cincinnati,4,-3.42,-4.42,-1.63,6.8,-8,-4.69,-2.35,9,2.83,7.12,0.52,-3.3,3.1,-1.34,4.65,8.04,0.69,4.84,8,-1.07,-1,-3,-1.39,-2.85,-3.5,10,5,-1.22,-2.59,13,20,10
N.Y. Jets,Kansas City,4.5,5.31,4,2.36,-11.11,7.5,10.39,11.41,7.8,2.37,5.9,4.6,11.2,1,-0.4,2.14,2.04,5.94,9.62,5,6.7,7,4,6.41,2.83,7,3,5,8.09,11.16,7,27,10
New England,Buffalo,6,11.64,7.09,15.99,17.24,13.5,15.15,12.16,8.6,8.61,9.51,10.69,13.7,7.6,14.82,11.07,11.68,12.13,9.55,7,16.09,12,8,17.88,12.37,29,9,4,9.24,12.8,11,21,10
Philadelphia,Minnesota,4,8.43,9.2,11.65,20.99,16.5,12.74,6.69,6.9,7.75,6.71,11.61,6,11.7,11.03,10.69,8.57,9.01,9.74,6,10.02,8,5,11.89,4.61,10,8,5,7.6,9.9,17,48,10
San Francisco,New Orleans,3,4.63,1.74,2.73,5.88,3.5,8.57,6.45,5,1.14,3.59,2.9,2.9,-1.1,1.65,3.23,0.34,2.92,0.29,1,6.79,4,4,5.15,4.3,-9.5,2,0,6.22,4.49,27,28,10
Seattle,Oakland,-6,-7.49,-6,-12.82,-13.57,-14,-7.63,-2.61,-16.5,-7.12,-6.84,-10.56,-5,-1.6,-11.65,-5.7,-10.15,-8.56,-6.42,-8,-8.43,-8,-9,-9.65,-2.29,-10.5,-11,-3,-2.62,-13.78,27,34,10
St. Louis,Carolina,17.5,17.26,21.31,19.71,5.32,19.5,20.08,19.5,21.7,13.24,13.2,16.24,21.7,12.4,18.96,14.95,17.79,18.27,19.23,19,16.78,18,18,22.74,1.2,34,17,15,14.28,24.41,14,48,10
Tennessee,Baltimore,-1.5,-5.55,-1.44,-9.01,-10.16,-9.5,-5.26,-4.32,-5.5,-1.37,-1.12,-3.88,-4,2.6,-7.93,-2.76,-5.22,-4.73,-1.72,-2,-4.49,-4,-7,-6.4,3.25,-24.5,-3,1,-2.31,-7.34,16,10,10
Arizona,Detroit,1.5,5.26,6.41,4.02,-5.4,7,7.31,7.83,6,-1.75,0.09,5.18,1.3,1.2,4.53,3.17,-0.04,2.97,3.04,1,2.09,5,4,5.53,-10.47,0.5,-1,3,6.3,3.05,38,48,11
Baltimore,Cleveland,8,5.59,10.08,2.59,9.04,8.33,6.82,9.88,14.4,7.52,11.23,2.74,3.2,4.6,2.27,3.61,9.47,6.5,10.48,12,4.39,6,5,7.2,-0.11,-18,16,7,5.04,14.79,27,17,11
Buffalo,Seattle,-3.5,-4.99,-2.91,-2.91,10.43,-7.67,-8.75,-5.15,-5.4,-3.16,-0.49,-0.28,-9.9,-0.3,-3.87,-0.52,0.04,-3.44,-2.04,-2,-4.85,-5,-6,-3.7,20.01,-24.5,1,1,-2.76,-7.23,23,20,11
Carolina,San Francisco,-7,-7.12,-14.63,-5.91,-4.44,-1.67,-9.57,-6.97,-12.3,-8.16,-0.08,-5.72,-7.8,-5.9,-5.24,-4.98,1.21,-5.63,-1.9,-3,-4.23,-9,-13,-6.04,2.04,-2,-3,-1,-5.04,-18.72,25,22,11
Cincinnati,Tennessee,2,4.67,6.92,6.97,21.85,7,5.73,8.41,-0.6,6.39,-1.1,3.88,-0.5,7,6.01,4.58,0.05,4.16,-1.17,-5,5.18,4,3,6.63,1.57,31,-7,-2,5.18,7.17,20,7,11
Dallas,Philadelphia,-7,-6.62,-3.89,-9.66,-13.06,-9,-8.89,-2.83,-8.8,-8.66,-2.43,-6.51,-5.1,-3.1,-8.77,-7.33,-6.73,-7,-7.62,-8,-6.33,-7,-9,-8.29,-8.07,-6.5,-9,-5,-2.57,-11.27,36,3,11
Denver,Washington,8.5,9.71,16.14,14.3,23.14,12.33,10.5,8.53,9.9,13.53,9.16,16.4,5.4,12,10.45,11.42,15.88,11.32,9.72,9,7.6,11,8,14.8,22.1,1,10,9,7.52,17.57,17,10,11
Green Bay,Atlanta,10,7.25,9.13,7.84,4.87,10.33,8.01,9.38,15.9,11.14,12.15,11.43,14.2,9,8.37,10.06,14.69,9.75,13.33,14,9.56,9,9,10.79,-7.51,1.5,17,6,5.3,14.83,23,20,11
Miami,N.Y. Jets,5.5,5.33,3.37,5.51,9.52,5.67,5.77,6.46,6,5.01,5.63,3.45,2,1.6,5.34,4.46,4.82,5.31,5.63,5,6.1,5,3,7.53,3.14,10.5,6,6,4.67,4.29,24,0,11
Minnesota,N.Y. Giants,2,-2.93,0.31,-3.98,6.25,-9,-4.28,1.94,-0.5,1.58,-0.43,-2.97,-3.1,3.4,-5.04,-2.81,-2.35,-1.91,-2.16,-1,-1.51,-2,-4,-2.98,-1.61,1,-3,0,-0.2,-0.71,16,28,11
New England,St. Louis,-8,-6.53,-5.39,-7.74,-2.42,-15.67,-6.15,-3.88,-8.4,-4.45,-2.8,-4.03,-10.7,-1.6,-7.61,-2.43,-6.65,-6.82,-6.42,-8,-2.6,-6,-9,-7.11,-4.32,-20.5,-6,-6,-2.7,-8.44,24,17,11
New Orleans,Indianapolis,5.5,2.47,-0.47,3.63,-5.11,3,2.26,4.85,0.8,0.57,-0.27,2.77,4.9,0.3,3.36,4.13,-0.1,2.57,3.82,1,2.58,3,1,4.86,-3.34,14.5,-1,4,3.27,-0.44,20,34,11
Oakland,San Diego,9,7.65,7.63,6.06,-2.39,13.33,9.59,9.38,11.7,8.78,9.03,6.31,8.4,4,4.71,3.03,8.7,9.08,9.81,11,9.27,9,4,8.91,6.08,15.5,12,10,6.64,11.42,24,34,11
Pittsburgh,Jacksonville,5.5,7.63,9.45,7.39,5.37,9,7.18,8.59,13.5,12.34,7.13,7.28,9.4,1.4,6.31,6.76,6.43,9.06,12.94,7,9.91,7,9,9.98,0.13,20.5,9,6,6.45,19.28,7,20,11
Tampa Bay,Chicago,5,-2.7,1.37,-0.73,-18.3,13,-4.99,-2.93,0.8,-0.98,6.05,-0.64,0.8,1.7,-1.1,-0.32,5.13,0.86,1.08,8,0.25,-2,-4,-1.28,3.4,-5.5,7,5,-1.85,-5.45,27,24,11
Buffalo,Miami,-5,-9.23,-9.71,-8.59,-8.2,-12,-11.12,-8.83,-11.8,-7.07,-4.99,-3.99,-8.6,-6,-7.6,-2.48,-4.62,-8.77,-7.69,-4,-5.85,-10,-9,-9.09,-17.62,-29.5,-1,-3,-5.35,-15.45,34,27,12
Carolina,Atlanta,-3,-4.29,-5.65,-4.35,-17.06,-4.5,-4.37,-1.14,-6.9,-6.89,1.53,-6.32,-8.1,-1,-3.53,-2.46,2.84,-3.52,-2.75,-1,-1.65,-6,-6,-2.32,3.23,-8.5,1,-1,-1.66,-13.15,10,7,12
Cleveland,Cincinnati,6,5.59,3.93,10.29,11.89,7.5,8.55,3.05,8.1,9.48,7.16,13.18,17.9,6,8.68,8.84,11.01,8.92,9.06,9,12.07,6,2,9.22,1.89,23.5,9,5,5.54,9.35,0,18,12
Dallas,Denver,-6.5,-3.49,-4.96,-4.28,-2.19,-6,-3.91,-2.78,-5.9,-3.7,-0.67,-5.2,-4.1,-3.5,-4.18,-3.56,-2.98,-4.4,-3.62,-6,-2.22,-5,-6,-2.97,-20.65,3.5,-6,-5,-0.14,-6.32,26,24,12
Detroit,Green Bay,-6.5,-10.72,-9.9,-11.83,-14.76,-15.5,-11.49,-8.23,-17.2,-9.89,-5.45,-13.15,-11.3,-6.5,-11.82,-8.37,-8.81,-9.76,-11.52,-8,-2.67,-13,-10,-11.02,2.2,-5.5,-10,-6,-6.11,-18.78,29,27,12
Indianapolis,San Francisco,3,-3.17,-6.47,-1.1,-1.98,2.5,-4.64,-1.73,-3.3,-4.64,3.31,1.39,-0.3,-2.5,-0.98,0.65,5.66,0.11,4.95,6,-0.33,-4,-4,-1.45,9.68,4,6,4,-2,-11.15,40,21,12
Jacksonville,Baltimore,-3,-2.65,-3.44,-0.61,2.01,-3,-2.02,-3.79,-6.7,-0.67,0.8,-0.83,-0.1,3.8,-0.44,2.61,0.29,-1.64,-3.39,-2,-0.29,-3,-5,-1.01,1.33,-3,-1,0,-0.26,-7.84,24,21,12
Kansas City,Seattle,1.5,-2.11,1.82,2.05,8.84,-5,-4.39,-3.63,-5,-1.86,1.83,2.37,-3.8,5.3,2.07,3.09,5.25,-0.41,-1,0,-1.77,-3,-3,1.36,12.57,-3.5,2,1,-1.18,-9.52,7,19,12
Minnesota,Chicago,3,-6.34,-0.16,-6.72,-7.15,-2.5,-5.99,-4.54,-2.9,-6.14,1.62,-5.35,-4.3,-1.1,-5.94,-5.17,-1.44,-2.56,-6.95,1,-3.32,-7,-4,-6.34,32.68,-4,-2,2,-2.4,-11.76,13,6,12
N.Y. Giants,Oakland,-2.5,-4.03,2.14,-5.42,5.56,-1,-4.09,-1.78,-9.4,-3.18,-2.03,-5.32,-4.8,3.4,-4.09,-0.52,-3.95,-4.2,-1.8,-4,-4.92,-5,-5,-3.43,-15.26,-10.5,-6,1,-0.95,-6.58,28,10,12
New England,New Orleans,0,1.01,-1.76,1.5,5.36,-1.5,2.06,5.76,2.9,0.65,2.68,0.91,2.2,0.6,0.94,2.94,2.12,1.37,-2.48,1,3.26,1,-1,2.71,8.33,-7,3,-1,2.32,0.7,17,34,12
Philadelphia,Washington,8,10.75,14.86,20.78,13.2,21,14.34,8.58,13.4,11.4,9.17,15.71,5.2,15.7,16.13,16.93,15.98,13.31,11.97,11,9.97,11,10,19.29,16.88,11,15,10,8.43,14.07,13,3,12
San Diego,Arizona,7,6.93,4.05,10.98,13.75,10,8.16,8.22,11.4,8.49,9.68,9.28,4.2,8.2,10.29,10.44,12.8,9.81,10.14,10,14.09,8,6,11.67,15.53,14,12,7,6.19,11.78,20,17,12
St. Louis,Tampa Bay,10,14.03,15.93,14.79,9.4,19,16.56,14.24,16.2,9.95,9.14,10.41,12.2,11.6,13.3,9.1,14.04,13.49,9.81,11,12.89,13,12,17.69,10.4,28.5,10,9,11.01,15.17,24,17,12
Tennessee,Pittsburgh,2,-4.77,-3.35,-8.57,-4.27,-10,-3.89,-2.14,-6.2,-5.4,-1.84,-3.15,-4.1,-2.6,-7.72,-6.55,-4.32,-5.18,-5.18,1,-3.08,-5,-6,-5.46,8.29,-36,-2,1,-1.3,-9.87,34,24,12
Atlanta,St. Louis,-8,-5.43,-4.41,-9.8,-21.65,-4.29,-3.44,-3.01,-8.71,-8.89,-5.22,-1.25,-4.2,-0.3,-9.71,-4.14,-11.72,-6.97,-8.75,-9,-7.79,-7,-8,-7.79,4.04,-16.5,-11,-5,,-14.16,35,6,13
Baltimore,Indianapolis,7,5.24,7.73,5.49,4.67,4.71,7.16,11.57,12.74,6.53,6.44,7.18,9.5,6.3,4.97,5.5,8.01,6.39,8.19,7,4.73,8,5,8.4,-14.5,6,8,5,,9.67,27,39,13
Chicago,Detroit,7.5,15.78,15.54,15.3,2.19,14.43,20.91,21.4,23.45,12.99,11.3,14.84,16.3,9.9,13.9,13.71,13.06,15.04,16.95,13,10.83,19,15,19.73,0.77,15.5,12,10,,20.16,10,13,13
Cincinnati,Tampa Bay,-6,-3.07,0.46,-7.45,-4.72,-6.29,-2.18,2.53,-6.93,-2.65,-6.56,-6.35,-13.9,1.2,-7.15,-4.05,-7.87,-4.65,-7.6,-10,-2.78,-4,-3,-4.84,0.91,7,-13,-4,,-1.85,16,13,13
Cleveland,Tennessee,1,6.54,4.03,11.75,11.35,11.71,8.61,9.22,4.94,8.33,1.74,11.53,12.2,6.8,10.07,9.84,7.4,8.43,3.59,3,8.52,6,5,9.91,-8.32,51.5,1,2,,7.26,31,15,13
Jacksonville,Green Bay,-3,-4.79,-5.41,-3.87,3.8,0.86,-4.25,-2.54,-8.14,-3.56,-0.12,-4.82,-2.7,-0.9,-3.97,-1.75,0.46,-3.06,-4.52,-1,-1.86,-5,-8,-4.1,3.62,-4,-1,-2,,-9.09,28,21,13
Kansas City,Philadelphia,-3,-3.94,-1.17,-7.71,-20.41,-6.14,-2.03,-0.07,-7.69,-9.07,-0.05,-3.47,1.1,-3.4,-7.03,-5.23,-2.99,-4.89,-6.64,-4,-8.58,-5,-6,-4.58,-3.15,-8.5,-5,-3,,-13.5,23,10,13
Miami,Denver,3,4.48,0.13,2.88,10.06,8,7.88,7.92,7.05,5.91,6.31,0.88,7.2,-1.2,0.96,2.26,5.57,5.48,7.69,4,6.17,5,3,6.26,8.64,13,3,2,,8.23,10,21,13
N.Y. Jets,New England,3,3.1,2.26,2.42,0.24,8.29,6.49,7.43,7.69,2.86,4.46,3.21,5.5,1.2,1.35,2.19,1.22,4.16,4.82,6,6.87,3,2,4.18,-0.27,2,4,5,,5.72,17,16,13
New Orleans,Carolina,10,7.65,10.37,8.46,12.43,6.86,8.7,10.61,13.24,9.28,6.56,9.87,7.6,6.2,7.49,9.51,8.99,9.64,17.4,11,10.3,9,10,10.9,-4.76,20.5,10,10,,11.8,23,27,13
Oakland,Arizona,13,11.39,13.57,14.73,11.7,15.71,14.29,13.32,22.27,12.04,17.07,14.13,11.5,11,13.44,11.73,21.13,16.32,16.49,17,20.66,14,10,16.92,24.32,26.5,20,12,,17.46,34,31,13
Pittsburgh,Minnesota,7,8.37,12.31,10.11,24.24,17.71,10.66,9.96,14.56,15.25,11.02,11.57,10.3,10,8.21,12.29,12.12,10.35,15.33,9,9.57,9,11,12.34,-23.35,16.5,13,3,,19.66,16,21,13
San Francisco,Buffalo,9,13.9,7.98,13.97,10.22,11.29,18.8,18.17,19.29,11.01,10.79,13.39,12.9,4.3,12.34,10.94,11.38,12.94,9.09,9,12.02,17,13,18.45,-2.14,26.5,9,9,,16.58,0,35,13
Seattle,San Diego,3,0.95,2.4,-4.07,-0.55,-1.29,2.76,7.18,3.46,3.6,2.49,-2.29,4.4,0.1,-4.39,-2.09,-2.2,1.07,2.22,5,4.15,1,-1,0.96,-11.27,2,3,4,,3.8,10,13,13
Washington,Dallas,8.5,3.82,7.17,2.25,0.67,2.86,6.24,9.74,10.93,6.53,8.09,3.42,16.8,4.5,3.14,3.05,5.13,6.49,11.47,11,9.22,4,4,5.41,-3.84,4.5,12,7,,5.84,20,14,13
Arizona,Washington,0,2.9,4.41,2.18,-1.41,6,4.33,4.32,0.23,1.11,-1.7,6.92,1.7,4.9,1.11,4.5,-0.41,1.64,-1.58,0,-9.08,3,1,5.1,,-4,0,-1,3.39,0.22,20,10,14
Atlanta,New Orleans,-3,1.66,-0.18,-1.13,-10.65,2,3.91,5.56,1.07,-1.27,0.84,2.03,4.6,-1.7,-1.25,-0.02,-3.26,0.31,-6.49,-3,0.35,0.25,-1,1.9,0.17,-3,-4,1,3.71,-1.12,28,10,14
Buffalo,Carolina,3.5,-2.16,2.64,-3.93,-5.37,0,-1.21,3.18,2.87,-0.79,1.11,-0.02,-0.1,0.5,-4.08,1.74,-0.28,-0.03,4.76,2,1,-0.25,2,-2.26,-14.63,-15.5,3,3,1.33,2.31,24,25,14
Cincinnati,Jacksonville,1.5,0.76,3.92,-2.54,6.06,5,2.4,5.66,0.86,2.65,-1.97,0.15,-0.4,0.2,-2.41,-1.43,-2.45,0.67,-1.32,-2,0.64,-0.25,1,1.4,6.37,9.5,-6,0,2.68,4.32,14,10,14
Dallas,N.Y. Giants,-3.5,-2.3,-0.04,-2.68,-0.13,-11,-0.29,0.82,-1.33,0,-0.27,2.24,7.8,1.7,-3.38,-0.36,-2.84,-1.64,-7.62,-1,-0.89,-3,-3,-1.39,-6.02,-1.5,-2,-4,0.87,-0.61,13,20,14
Denver,Seattle,6,2.13,7.44,4.15,19.92,-1,3.33,2.77,2.45,3.78,5.7,7.51,3.8,6.6,4.29,5.83,7.88,4.07,3.28,4,1.84,2,2,5.81,3.96,-2,5,6,3.02,2.78,7,20,14
Green Bay,Chicago,5.5,-0.19,2.3,1.11,-0.29,0,0.63,-0.24,3.99,1.54,5.49,4.69,1.5,1.8,1.4,2.54,3.18,2.68,2.41,5,0.83,-1,1,2.65,13.23,-1,6,4,1.13,2.01,7,17,14
Miami,Indianapolis,4.5,7.11,2.84,6.46,6.77,5,9.91,13.01,14.5,5.72,7.66,9.04,13.6,2.5,6.04,5.89,7.06,8.05,8.21,7,6.16,9,6,9.54,13.53,11,5,4,7.39,9.47,6,41,14
Minnesota,Tennessee,-2.5,0.71,3.26,1.06,7.07,3,1.13,3.04,1.13,1.21,1.26,-0.07,-1.4,1.8,1.27,1.83,1.15,0.88,-2,0,2.51,-1,-1,2.87,-5.51,28.5,-1,3,2.26,1.36,24,42,14
New England,Cleveland,5,3.53,3.49,2.43,5.62,3,5.18,5.16,8.39,3.88,7.23,2.45,8.7,1.7,2.45,3.9,4.26,4.77,1.43,7,1.71,2,2,6.87,9.01,-19.5,11,3,3.79,4.62,16,27,14
Oakland,Kansas City,9,8.83,9.77,9.29,7.74,8,11.56,12.99,18.22,8.71,11.07,11.83,6.4,8.1,8.44,8.79,12.43,11.15,13.27,12,13.19,11,8,12.48,16.68,23,12,10,8.23,12.37,26,28,14
Philadelphia,San Diego,7,6.85,5.03,9.29,3.71,17,9.76,9.13,11.21,4.81,7.76,10.12,11.9,6,8.21,8.41,8.12,8.81,10.29,12,10.95,7,6,11.04,0.22,7,13,8,6.31,5.06,14,24,14
Pittsburgh,N.Y. Jets,3.5,2.55,4.52,2.1,-8.89,0,4.14,5.09,7.29,0.57,3.57,4.47,1.3,2.8,2.55,6.98,1.96,3.44,8.18,5,0.98,3,6,5.09,1.09,17,4,3,3.68,1.37,7,18,14
St. Louis,San Francisco,7.5,5.05,2.89,10.34,5.22,11,7.15,8.24,7.97,2.24,7.67,7.33,8.8,3.9,9.65,6.56,12.46,7.61,11.6,10,11.41,7,4,10.99,-1.14,29,9,9,4.64,2.73,14,27,14
Tampa Bay,Detroit,7.5,10.84,15.37,11.49,9.29,7,13.77,15.18,19.07,7.94,11.85,11.4,14.6,9.1,10.38,10.56,13.9,12.35,15.34,14,7.23,13,11,14.84,8.22,7,14,12,10.19,14.21,12,15,14
Baltimore,Pittsburgh,3,-0.89,-0.86,-2.33,5.6,-1.5,-0.18,2.95,-0.83,-0.31,0.91,-0.92,-5.7,1,-2.08,-1.47,1.34,-0.15,-0.12,3,-1.9,-2,-3,0.49,5.39,3,0,3,1.16,-0.67,26,21,15
Buffalo,New England,-4,-9.54,-4.82,-12.27,-10.02,-7,-9.07,-7.54,-12.27,-6.62,-4.64,-10.48,-14.1,-4.7,-11.2,-6.08,-8.14,-8.41,-2.03,-6,-10.55,-11,-8,-10.59,-16.83,-4,-8,-1,-3.71,-8.39,12,9,15
Chicago,Tampa Bay,3,4.37,1.59,1.89,-6.27,5.5,6.88,8.8,4.71,2.86,1.16,3.56,-1.1,5,1.76,5.08,1.31,3.54,3.55,1,2.94,4,2,5.19,5.38,3,0,3,4.95,6.63,3,27,15
Cleveland,Jacksonville,2.5,3.91,1.86,4.08,2,7.5,4.83,6.82,5.03,4.12,0.72,7.36,6.8,0.3,3.34,4,3.72,3.91,5.35,3,6.15,3,2,5.52,-6.18,3,-1,3,4.45,6.54,15,10,15
Detroit,Minnesota,-3,-4.11,-1.39,-2.67,3.25,2,-5.24,-5.14,-9.78,-0.03,0.41,-1.26,-5.8,2.8,-2.44,-0.15,1.22,-1.67,0.44,-3,-1.58,-8,-6,-1.71,22.25,0,-2,-4,-2.19,-5.79,24,27,15
Indianapolis,Atlanta,4,-1.49,0.13,-0.75,-17.88,-5,-0.55,-0.08,-0.22,-2.75,3.89,-0.03,-0.2,2,0.4,2.76,3.1,0.71,0.89,6,1.15,-0.25,-1,0.54,3.54,4,7,4,1,-5.74,27,41,15
Kansas City,Denver,,-1.78,-3.26,-0.51,-0.25,-3,-1.62,-1.88,-3.74,-1.67,1.41,-0.5,1.6,-0.2,-0.58,0.3,2.87,-1.36,1.72,0,1,-3,-4,0.24,-15.22,-2,1,-1,0.11,-5.17,23,26,15
N.Y. Giants,Arizona,5,3.85,7.66,5.86,5.81,4.5,5.52,4.02,4.5,2.44,8.63,2.36,-2.4,5,5.38,5.41,9.79,4.97,10.68,5,2.72,3,2,7.56,3.79,6,6,7,4.33,1.71,13,17,15
N.Y. Jets,Cincinnati,9,8.94,7.42,10.56,8.54,15.5,11.53,10.9,14.76,7.35,12.16,10.19,12.9,7.2,8.72,8.72,11.4,10.79,13.36,13,13.35,7,6,12.3,7.01,11,16,8,7.94,10.08,14,15,15
New Orleans,St. Louis,-6,-6.79,-6.49,-10.32,-13.81,-8,-5.98,-5.77,-10.03,-4.97,-5,-3.73,-6.1,-4.6,-9.25,-2.82,-8.81,-5.93,-2.11,-6,-4.61,-9,-7,-7.89,2.44,-6,-6,-1,-2.31,-11.71,34,21,15
San Diego,Oakland,-4,-3.85,-0.15,-3.14,-1.6,-1,-4.57,-4.44,-10.66,-1.66,-4.64,-4.04,-3.6,1.6,-2.76,0.71,-6.13,-3.92,-4.83,-5,-2.35,-6,-5,-2.26,-8.16,-4,-5,-3,-1.11,-6.5,13,6,15
San Francisco,Miami,3.5,2.67,-0.45,2.39,13,0,2.43,2.22,0.49,3.73,1.48,2.69,0.7,-0.7,4.14,3.47,3.06,2.19,1.24,1,3.86,1,1,4.92,-1.81,5,3,3,3.13,4.09,0,21,15
Seattle,Dallas,5.5,3.52,4.88,1.73,9.22,1,5.02,8.02,6.69,5.01,3.51,-0.25,-1.4,4.8,0.82,3.49,3.74,3.51,8.2,5,1.26,4,3,5.09,-8.82,6,5,6,4.18,8.43,3,29,15
Tennessee,Green Bay,-2.5,-5.95,-0.13,-7.72,-4.92,-10,-5,-3.68,-7.78,-3.66,-1.6,-5.86,-5.4,-2.6,-7.53,-4.87,-4.33,-4.34,-2.02,-1,-1.91,-6,-8,-5.94,-5.09,0,-1,0,-1.35,-6.29,20,26,15
Washington,Philadelphia,-3,-5.53,-3.09,-11.82,-23.81,-9,-5.2,0.74,-5.24,-5.42,-1.12,-5.86,2.4,-3.7,-11.6,-8.22,-9.52,-5.26,-3.2,-3,-0.01,-6,-7,-7.77,-15.88,-1,-5,0,-0.69,-6.22,20,6,15
Arizona,Dallas,3.5,2.87,0.24,2.17,1.28,2.29,3.78,5.8,4.17,2.82,0.95,3.34,,2,1.27,3.96,1,3.02,5.96,4,1.68,3,1,4.45,,6,6,4,3.11,0.05,10,17,16
Atlanta,Buffalo,4,8.39,3.68,6.82,-3.99,8.43,10,11.48,7.06,2.91,5.21,4.89,,2.3,5.68,5.71,6,6.08,5.54,3,7.46,8,5,9.49,,1,0,5,7.21,6.09,30,33,16
