HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEHANK,LINEBIHL,LINEERIC,LINEGRID,LINEFOX,LINEFREE,LINESELF,LINECPA2,VSCORE,HSCORE,WEEK
New England,N.Y. Jets,-1.5,-1.26,-2.07,-0.13,-5.46,2.67,-1.6,0,-4.9,-1.25,-0.98,7.5,-1.4,0.1,-0.12,0,-2.07,0.9,6.8,-2,13,-1,-1,,4.1,,,,,,10,3,3
San Francisco,St. Louis,-6,-5.06,-1.88,-2.4,-5.06,-7.33,-2.49,5.5,-2,-5.24,-4.09,3,-1.4,-1.3,-2.43,-0.12,-6.29,-2.61,-3.22,-9,0,-0.25,-1,,-0.4,,,,,,30,26,3
Seattle,Philadelphia,-2.5,0.17,-3.28,-2.63,-5.76,4,1.37,8.5,6,-1,1.14,4.8,-2.3,-2.6,-2.48,-5.51,-5.45,0.42,-1.71,-1,9,-0.25,-2,,-2,,,,,,27,3,3
Arizona,Atlanta,-3,-0.88,-3.02,-2.63,-8.82,-3,-3.33,-4.5,-3.5,-7.57,-4.85,-3.58,-12.7,-7,0.29,-10.82,-5.55,-5.19,-2.32,-3,-11.51,1,-4,,-16.61,-4,-8,-4,,,34,13,4
Buffalo,Pittsburgh,-3,0.77,-4.82,-1.22,-20.02,9,4.11,0,4.3,2.66,0.58,1.92,0,10.3,-1.53,6.9,-0.22,1.34,-1.44,3,8.24,-1,-1,,-2.2,-0.5,-1,2,,,20,3,4
Carolina,Green Bay,-3.5,0.18,-4.48,8.47,35.51,22,-6.44,-3.87,-8.3,-8.85,-2.38,-8.92,-11.1,-14.5,5.61,-10.15,-4.5,-3.26,-3.87,-7,-6.09,-2,-11,,-7.99,-5,-7,0,,,28,7,4
Denver,Baltimore,4.5,9.04,15.13,13.95,15.22,16,8.28,5,2.1,14.83,8.07,10.55,5.4,12,14.45,12.56,7.56,7.52,0.66,5,20.88,1,3,,-14.92,7,-1,4,,,20,13,4
Jacksonville,Cleveland,9,14.56,0.6,9.61,30.41,11,10.7,4.62,19,14.11,19.87,8.03,18.3,7.1,10.36,11.94,19.85,12.45,16.41,13,14.56,8,7,,9.82,7.5,21,11,,,23,14,4
Minnesota,Tampa Bay,-2.5,-4.06,-1.84,11.04,9.46,9,-7.48,-7.25,-5.8,-7.42,-2.43,-3.25,-2.5,1.4,12.53,-14.33,-4.21,-2.85,-3.37,-4,-13.29,-1,-3,,-5.5,-1.5,-6,0,,,16,20,4
N.Y. Giants,New Orleans,3,0.31,2.11,-5.31,40.08,-4,-1.16,-4.75,3.1,-4.27,5.11,-2.6,3.7,-6.1,-4.03,-11.31,1.62,-0.64,-1.75,4,-3.13,4,-4,,-9.18,2.5,7,4,,,13,21,4
N.Y. Jets,San Francisco,3,4.38,-0.13,3.84,8.47,14,1.95,-4.38,7,-1.77,7.39,-0.33,0.9,-3.4,5.9,-2.52,5.25,3.9,10.39,6,-3.66,7,1,,10.6,4,6,4,,,19,17,4
New England,Indianapolis,-11,-9.45,-6.21,-12.43,25.83,-7,-9.6,-9.75,-16,-18.41,-8.56,-9.05,-12.9,-6.6,-8.21,-13.92,-12.34,-10.22,2.85,-10,-19.09,-5,-10,,-12.69,-7,-13,-7,,,13,44,4
Oakland,Seattle,10.5,12.97,8.34,-1.88,-56.91,-5,8.16,-2.25,12.2,14.71,12.88,8.62,16.8,12.2,3.24,15.49,19.15,9.53,10.29,12,12.91,7,9,,2.47,12.5,21,8,,,14,38,4
Philadelphia,Dallas,13.5,10.97,19.07,10.32,37.44,19,10.58,5.38,10.9,16.19,10.78,9.73,12.4,14.3,9.74,20.18,12.9,12.49,12.03,15,16.57,7,13,,6.6,14.5,15,10,,,18,40,4
San Diego,Cincinnati,6.5,5.06,3.16,7.7,39.92,14,3.75,-3.63,5.8,4.89,5.75,6.6,-0.9,7.2,9.71,7.18,5.53,5.87,5.34,10,13.21,1,2,,6.99,7,5,6,,,14,28,4
St. Louis,Miami,6,1.22,8.99,8.29,2.06,11,4.58,5.12,-4.2,-0.28,1.38,2.13,-2.5,1.9,8.25,1.22,1.52,4.53,-0.85,7,12.39,-1,-1,,19.84,5.5,2,8,,,10,42,4
Washington,Kansas City,-3,0.63,1.3,-10.98,-21.41,-10,2.63,1.25,-0.5,-7.58,2.76,-6.68,-13.7,-11,-0.23,-4.97,-4.57,-3.22,1.13,1,-6.18,3,-4,,-13.23,-2,-3,-1,,,45,10,4
