Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
Indianapolis,Tennessee,2,0.25,6.4,1,-0.17,-0.75,0.91,-1,6.8,-1.69,-0.37,2.72,-7.9,-2.12,1.63,-2.7,4.76,-1,-2.01,-2.04,-1.14,-6,,,0.36,0,-4.36,,2,-0.94,,,,,,-1.4,1.46,,-5.91,,,,3.4420088468,7,33,2,26
Jacksonville,Buffalo,-2.5,-2.69,4.07,2,8.49,-1.92,-3.43,-5,8.2,-7.92,1.46,0.81,-8,-7.04,4.4,-3.44,,-5,1.58,0.59,5.05,-1,,,-2.85,-3.07,-1.7,,-2.5,-9.6,,,,,,-1.9,-2.38,,-4.29,,,,4.9011766632,38,17,2,-21
Kansas City,Pittsburgh,3.5,-0.69,3.37,5,3.12,1.06,-2.72,-1,-2.2,-0.38,-1.41,2.84,-2.5,0.45,3.85,0.96,2.38,1,6.23,6.29,3.93,5,,,-0.1,-1.31,0.23,,3,0.92,,,,,,2.5,1.06,,-1.93,,,,2.2944910826,20,41,2,21
Minnesota,Chicago,8,10,22.04,5,0.83,10.51,6.12,6,1.9,12.95,9.81,5.65,18.9,10.35,5.62,14.59,23.53,10,13,13.17,15.71,13,,,9.1,12.04,8.37,,8,23.02,,,,,,8.7,8.99,,3.95,,,,6.2451056884,13,24,2,11
N.Y. Giants,Dallas,7.5,10.79,6.59,3,11.97,10.98,12.31,11,-0.2,14.72,13.5,6.37,16.5,14.93,11.09,14.95,14.87,10,11.59,13.48,19.72,16,,,11.27,10.32,15.77,,7.5,16.28,,,,,,7.2,12.58,,3.56,,,,4.3699661272,35,32,2,-3
N.Y. Jets,Miami,-3,7.35,4.52,3,2.13,4.13,2.03,-3,3.8,1.06,5.02,2.82,6.9,1.88,1.24,7.3,2.76,1,3.65,4.88,7.65,6,,,7.23,7.79,7.23,,-3,6.68,,,,,,4.1,2.45,,4.26,,,,2.7858374178,21,10,2,-11
New Orleans,Houston,8.5,0.24,-7.35,7,10.7,3.18,4.98,10,0.4,1.73,3.67,0.81,2.1,0.03,12.06,1.79,-6.93,6,6.64,6.46,6.32,6,,,-0.6,1.14,7.59,,8.5,-5.4,,,,,,1.8,7.16,,2.15,,,,5.1892434353,10,31,2,21
Oakland,Cincinnati,12.5,12.51,1.3,7,20.81,14.12,12.39,18,8.7,15.89,19.27,4.3,19.3,13.27,15.26,21.5,12.41,11,17.47,18.92,17.34,23,,,11.18,14.13,20.1,,12,18.9,,,,,,8.1,15.53,,11.87,,,,5.7055925342,20,23,2,3
Philadelphia,New England,5,5.95,1.2,1,5.35,6.8,10.21,8,6.2,5.29,7.88,3,9,5.17,8.46,8.08,,6,9.57,11.2,-5.68,12,,,4.9,7.25,7.61,,5.5,9.29,,,,,,3.1,6.66,,6.3,,,,2.7618119405,31,10,2,-21
San Diego,Denver,-3,-1.08,-5.88,-0.25,-0.98,-3.42,-3.63,-3,8.6,-4.19,-5.83,-0.79,-7.7,-2.31,-0.66,-5.95,-13.76,-7,-5.49,-5.27,-6.5,-5,,,-1.12,-1.02,-2.78,,-3,-11.93,,,,,,-2.3,-2.57,,-5,,,,4.4052512232,37,13,2,-24
St. Louis,San Francisco,3,0.38,2.45,-1,3.73,-1.28,-9.83,8,4.7,0.17,1.07,-0.4,-3.5,1.91,0.79,-0.99,-18.39,-1,-3.1,-2.76,-5.98,-1,,,1.41,-1.53,1.11,,3,-12.13,,,,,,-2.3,-4.1,,-8.99,,,,5.6298383144,24,27,2,3
Tampa Bay,Carolina,9.5,13.87,3.93,5,17.82,12.8,16.36,17,4.8,17.17,17.2,4.76,22.2,14.55,14.29,18.04,,6,10.28,12.01,11.3,25,,,12.27,15.77,15.59,,9.5,20.43,,,,,,9.2,12.93,,-1.39,,,,5.9536259823,12,9,2,-3
Arizona,Green Bay,-7.5,-7.45,-13.39,-0.25,-15.98,-10.36,-9.96,-12,-12,-13.23,-11.45,-2.25,-12.3,-5.98,-16.1,-14.6,-15.98,-12,-13.63,-13.53,-35.05,-13,,,-5.31,-10.47,-6.19,-8.9,-7.5,-16.61,,,,,,-5.6,-6.67,,-16.16,,,,4.5090763338,13,20,3,7
Atlanta,Tampa Bay,-4,-2.16,-1.56,-3,-6.58,-2.45,4.21,-4,-8,-6.89,-3,3.17,-6,-0.43,-3.31,2.41,-2.9,-2,-2.73,-3.09,-9.7,-6,,,-1.94,-2.53,-6.5,-0.1,-3.5,-1.62,,,,,,-3.1,0.71,,-3.91,,,,3.193134846,31,10,3,-21
Cincinnati,Pittsburgh,-4.5,-4.94,-6.29,-2,-11.82,-6.66,-7.36,-9,-11.9,-6.16,-7.87,0.75,-6,-6,-4.68,-4.87,-4.41,-8,-7.14,-6.86,-7.71,-8,,,-6.28,-4.02,-9.9,-4,-4.5,-7.3,,,,,,-3.8,-6.35,,-18.59,,,,2.8562040279,17,10,3,-7
Denver,Oakland,5,6.46,6.81,7,4.94,6.76,9.63,3,9.4,5.18,7.88,7.35,7.3,1.23,15.58,16.45,14.96,8,3.86,2.85,-1.84,5,,,5.85,7.1,0.78,5.9,5,16.85,,,,,,5.9,6.07,,-2.46,,,,4.3285696503,10,31,3,21
Detroit,Minnesota,-3.5,-4.13,-5.66,0.25,-3.01,-6.03,-6.59,-5,-5.8,-5.59,-4.98,1.28,-8.3,-6.05,-4.89,-8.73,-2.55,-7,-10.17,-10.3,-9.28,-8,,,-5.29,-3.36,-5.78,-12.1,-3.5,-2.13,,,,,,-3.3,-3.08,,-16.08,,,,2.8680675398,23,13,3,-10
Houston,Kansas City,-7.5,-4.56,-3.96,-6,-8.95,-8.09,-8.87,-10,-14.2,-8.24,-8.45,-2.55,-11.5,-2.9,-13.98,-10.85,-10.64,-10,-9.15,-7.68,-1.73,-13,,,-3.62,-5.76,-6.36,-7.9,-7.5,-14.66,,,,,,-7.1,-5.01,,-5.93,,,,3.631146563,42,14,3,-28
Indianapolis,Jacksonville,7.5,11.85,8.2,7,6.96,13.67,11.5,13,18.7,16.17,9.03,7.56,14,15.73,21.95,12.24,16.99,11,13.64,14.64,14.81,7,,,12.91,10.98,9.57,30.6,7.5,15.31,,,,,,9.7,11.64,,27.93,,,,5.4193200915,13,23,3,10
Miami,Buffalo,3,-1.12,-5.29,-0.25,3.55,-2.14,-1.39,2,-11.5,-5.08,0.44,0.37,-2.7,-7.62,-5.21,-10.09,-5.18,-1,0.63,0.88,9.17,3,,,-0.63,-1.94,1.18,1.2,3,-9.53,,,,,,-1.3,-0.96,,2.42,,,,4.1310031197,7,17,3,10
