Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
N.Y. Jets,Buffalo,-2.5,-4.32,-5.68,-5,-0.88,-6.17,-7.38,-2,-9.6,-13.44,,-1.65,-2.8,-9.71,-8.47,-5.79,-4.89,-6,-13.57,-13.95,2.46,2,-10.2,,-6.2,-3.96,-1.91,,-3,-7.04,-4.39,-3.59,-8.65,-7.53,-12.6,-2.6,-13.15,,,,,,3.8215117061,3,30,6,27
New England,N.Y. Giants,3,4.08,1.02,5,5.67,3.83,4.44,6,5.8,-0.04,,5.27,9.4,1.92,3.69,6.96,3.63,3,-4.61,-4.91,12.77,4,5.96,,4.54,3.62,2.73,,3,5.8,2.95,4.58,1.24,2.6,0.6,4,0.6,,,,,,2.147204039,6,17,6,11
New Orleans,Chicago,5.5,3.64,8.76,3,3.47,6.61,6.16,4,16,13.98,,3.01,5.2,8.54,4.82,11.97,5.23,3,4.79,4.99,21.06,5,10.02,,4.11,2.98,7.18,,5.5,12.05,7.68,4.42,4.48,4.05,12.8,3.1,3.35,,,,,,3.8147083768,13,20,6,7
Seattle,San Francisco,3.5,5.49,5.1,4,2.75,7.31,5.11,3,14.5,13.49,,5.28,8.2,11.03,5.92,4.72,5.72,7,7.49,7.81,17.4,5,6.48,,6.95,4.14,11.13,,3.5,7.2,7.63,6.94,2.44,8.75,20.4,5.8,5.95,,,,,,3.9197485342,19,20,6,1
St. Louis,Atlanta,11,5.55,13.84,5,4.79,6.8,4.09,11,6.4,7.49,,7.79,9.9,1.98,9.84,8.01,9.23,10,12.88,13.34,14.2,6,8.07,,3.76,7.44,6.14,,11.5,9.16,2.17,3.62,2.95,7.2,5.5,5.2,6.17,,,,,,2.8128441941,0,36,6,36
Tennessee,Houston,10,7.45,4.81,9,14.03,9.37,5.72,16,16.2,10.02,,7.25,13.3,3.95,9.25,10.89,9.24,7,10.96,10.02,-4.92,16,11.32,,5.96,10.62,14.3,,10,15.04,4.51,3.26,6.76,5.87,13.1,10.2,6.01,,,,,,3.9929459626,17,38,6,21
Washington,Tampa Bay,-3,-3.21,-10.03,-3,-9.1,-5.03,-4.05,-6,-8.9,-13.3,,0.11,-6.8,-5.38,-1.9,-7.74,-1.07,-1,-14.46,-13.84,-30.98,-10,-10.72,,-1.56,-5.34,-4.5,,-3,-9.46,-2.9,2.93,-9.94,-1.3,-2.1,-3.5,-5.27,,,,,,3.9365499862,35,13,6,-22
Atlanta,New Orleans,-1.5,0.77,-3.81,-0.25,1.36,-0.01,-1.51,3,-8,-1.98,,0.92,0,1.97,0.54,1.12,0.02,-4,-1.96,-2.5,17.49,4,0.35,,0.35,1.28,2.26,0.9,-1.5,0.92,4.44,2.82,4.35,0.85,-9.9,-0.5,-1.28,,,,,,3.2200172107,45,17,7,-28
Buffalo,Washington,3,2.78,2.38,3,6.16,2.85,2.06,4,5.5,5.98,,3.5,-2.7,1.64,6.3,2.41,5.7,1,5.6,5.55,-0.88,3,6.55,,1.63,3.95,1.98,3.5,3,1.77,0.77,1.68,0.34,2.66,4.9,-0.2,3.66,,,,,,2.1620565265,7,24,7,17
Carolina,Tennessee,1.5,5.78,6.4,6,0.78,7.48,9.59,-1,13.6,7.06,,3.47,7.3,16.13,5.81,8.58,6.1,4,6.2,6.38,-8.02,1,8.83,,10.55,4.32,3.37,8.9,1.5,4.25,11.37,8.54,8.2,9.09,19.1,4.9,8.15,,,,,,4.3365900829,37,17,7,-20
Cincinnati,Baltimore,-2,-3.29,-5.33,-4,-5.76,-3.8,-5.2,-2,-10,-2.87,,-0.64,-1.3,-0.85,-3.41,-2.32,-1.6,-4,-2.63,-2.33,-3.82,-4,-3.86,,-4.09,-2.56,-0.4,-2.3,-2,-1.66,-1.84,-0.02,-4.52,-4.1,-20.7,-2.6,-6.85,,,,,,3.8645518925,26,34,7,8
Cleveland,San Diego,5.5,9.58,4.87,7,4.75,9.99,13.62,7,14.5,7.73,,8.63,13.9,5.73,8.86,11.2,7.64,9,4.54,3.92,6.92,6,12.59,,11.26,8.89,10.62,15.4,6,7.63,10.8,8.85,10.33,12.17,17.5,7.4,10.93,,,,,,3.1928898842,26,20,7,-6
Detroit,Dallas,-3,-2.4,0.46,-4,1.89,-4.43,-6.3,-3,-18.5,-0.92,,-0.85,-8.1,-5.18,-3.03,1.65,-1.63,-8,-1.81,-1.82,-4.55,-3,3.23,,-4.84,-0.21,-4.08,-8.8,-3,-1.53,-4.26,-4.35,-2.43,-4.62,-17.2,-5.7,-6.52,,,,,,4.8123758509,38,7,7,-31
Houston,N.Y. Jets,-3,0.6,-0.99,-1,-11.58,-0.91,0.51,-6,-6.8,-4.5,,-0.06,-4.3,12.62,-2.84,-1.55,-1.16,-2,-5.95,-6.12,8.13,-10,0.84,,5.31,-6.29,0.29,3.3,-3,-4.47,3.4,5.35,-5.9,-0.28,4.3,-1.9,-1.83,,,,,,4.9485584307,19,14,7,-5
Miami,New England,5.5,3.9,2.64,3,5.11,5.61,4.43,6,9.3,8.55,,5.63,5.1,3.65,8.5,8.21,7.88,6,12,12.3,5.64,6,8.1,,3.2,4.72,5.31,3.9,5.5,8.62,4.08,0.66,3.79,5.54,8.2,5.2,6.91,,,,,,2.1619533678,19,13,7,-6
Minnesota,Denver,3.5,3.55,1.22,2,-0.48,3,6.78,1,-3.9,-1.65,,3.43,1.8,-0.81,2.91,6.24,3.51,2,3.02,2.68,5.9,0,6.05,,5.35,1.76,3.09,5.1,3.5,0.39,6.54,5.7,5.16,7.07,4.7,2.1,3.03,,,,,,2.7578815851,20,28,7,8
N.Y. Giants,Philadelphia,2.5,2.17,-1.37,2,-2.4,3.04,3.97,-1,13.3,3.23,,2.71,1.5,0.12,5.05,2.31,4.19,1,-2,-0.95,1.01,0,5.72,,1.57,2.79,2.24,3,2.5,2.14,2.67,3.72,1.12,2.54,13.7,1,3.65,,,,,,3.4650690395,14,10,7,-4
Oakland,Kansas City,-3.5,-9.58,-7.81,-12,0.48,-12.47,-15.77,-4,-27.9,-17.72,,-7.15,-11.4,-16.2,-6.27,-14.15,-5.41,-9,-16.84,-16.75,-29.17,-5,-14.53,,-11.49,-8.35,-7.46,-16.6,-3.5,-13.69,-9.97,-12.54,-16.41,-12.64,-32.5,-9,-14.61,,,,,,6.6768208343,17,10,7,-7
San Francisco,Tampa Bay,-3.5,-4.83,-5.41,-5,-5.57,-7.42,-7.26,-8,-16.6,-9.5,,-2.55,-13.3,-6.63,-1.92,-7.49,-1.52,-5,-8.5,-7.87,-14.74,-11,-4.15,,-5.95,-4.84,-8.7,-10.8,-3.5,-14.4,-7.37,-2.24,-11.15,-4.93,-13.4,-7.6,-6.36,,,,,,3.8577281849,7,24,7,17
Seattle,Chicago,11,11.2,15.02,12,9.35,13.63,16.08,9,14.4,19.59,,9.7,12.6,12.36,14.82,11.52,13.5,14,17.37,17.23,10.85,13,18.34,,9.88,12.86,14.62,13.1,10,16.27,11.2,11.07,11.92,16.98,19.2,9.8,17.55,,,,,,2.9820276931,17,24,7,7
St. Louis,Green Bay,4,2.3,6.01,3,3.28,3.61,2.58,8,4.4,3.23,,3.65,6.9,6.44,5.15,2.32,5.26,5,-1.71,-1.57,19.55,6,2.3,,2.14,2.53,3.48,3.3,4,6.33,0.78,1.38,-3.76,4.79,0.9,3.5,3.25,,,,,,2.3224459461,24,34,7,10
Arizona,San Francisco,-6.5,-7.22,-9,-7,-11.13,-7.6,-8.87,-9,-0.6,-11.57,,-4.64,-13.7,-5.05,-8.77,-11.03,-7.21,-8,-16.15,-16.7,-14.9,-15,-13.84,,-3.64,-12.05,-4.6,-3.6,-6.5,-13.96,-3.1,0.65,-13.34,-7.77,4.7,-6.7,-5.85,-13,-5.69,-5.34,,,4.6694198023,13,16,8,3
Baltimore,Denver,1.5,-4.11,-6.34,-5,-1.27,-3.93,-6.18,-4,-3.7,-6.62,,-1.45,-4.8,-6.41,-1.78,-4.63,-1.03,1,-8.83,-9.3,5.1,-5,-5.69,,-3.75,-4.55,-2.24,-1.3,1,-6.33,-2.51,-0.7,-8.23,-2.95,-5.8,-3.4,-2.74,-6,-12.3,-1.64,,,2.1900206215,6,26,8,20
Chicago,Detroit,3,1.98,4.74,1,7.4,2.91,3.96,5,8.5,0.77,,1.75,6.7,3,1.72,2.05,1.96,2,1.77,2.57,-19.11,7,2.69,,3.22,0.89,3.53,6,3,0.39,2.9,2.97,-0.99,1.92,7.5,2.3,0.46,-2,-2.36,3.32,,,2.5393095751,16,24,8,8
Cincinnati,Seattle,-1.5,-5.03,-4.77,-7,-7.34,-4.33,-8.37,0,-0.2,-7.15,,0.35,3.3,-8.01,-3.96,1.97,-2.25,-4,-4.78,-4.76,-16.41,-5,-4.36,,-5.89,-4.22,-3.35,-3.2,-2,-0.31,-3.94,-3.81,-5.58,-5.42,-13.3,-3,-5.8,-12,-6.51,-5.53,,,3.5764198774,24,27,8,3
Indianapolis,Houston,13,14.28,8.77,15,15.81,16.53,17.95,17,27.7,19.05,,12.93,20.6,12.58,16.15,19.34,14.95,14,23.86,23.6,40.77,18,22.58,,12.12,17.5,15.44,16,13,21.66,11.74,11.72,16.2,17.18,29.9,14.7,10.46,19,12.44,11.25,,,4.6548064187,21,30,8,9
Jacksonville,Tennessee,-3.5,-8.6,-5.63,-10,-3.52,-8.82,-11.73,-10,-8.5,-11.57,,-5.93,-11.5,-11.45,-5.04,-12.24,-4,-6,-11.01,-10.77,-15.73,-8,-10.44,,-10.01,-7.43,-8.37,-8.6,-3.5,-12.25,-5.78,-8.24,-11.34,-9.17,-10.3,-8.5,-6.68,-12,-15.59,-5.33,,,2.5809171496,30,17,8,-13
Kansas City,Buffalo,6.5,9.45,9.87,8,12.09,11.22,10.54,10,24.1,9.01,,8.87,11.6,11.77,6.25,14.04,6.01,10,12.86,12.94,23.08,12,13.68,,13.05,7.34,12.67,10.2,6.5,13,8.82,10.11,9.65,11.36,32.2,10.1,6.26,10,13.94,6.79,,,5.1121202175,5,38,8,33
Minnesota,N.Y. Giants,5.5,11.24,6.67,11,5.94,11.74,14.58,6,8.1,14.45,,11.52,13.3,13.01,11.92,17.27,10.37,10,14.73,14.38,19.25,8,17.42,,13.66,9.7,8.19,14.8,6,12.32,10.82,9.91,13.26,15.14,16.8,9.9,10.08,17,14.28,5.82,,,3.4118448956,29,17,8,-12
New England,Cleveland,5.5,8.3,6.3,7,6.23,10.18,13.85,11,23.5,7.5,,8.87,13.5,9.29,6.07,12.58,4.99,6,8.03,8.85,14.77,10,9.94,,9.81,6.9,7.67,13.8,5.5,13.61,9.14,12.04,8,10.42,26.5,10.7,4.87,7,20.09,6.28,,,4.8124231931,3,9,8,6
New Orleans,Carolina,2,-2.77,1.87,-5,0.84,-2.58,-2.49,1,-5.4,-2.87,,0.22,-3.6,-6.48,-0.06,-0.12,0.52,-1,-0.94,-0.57,-24.95,2,-2.06,,-4.74,-1.74,-4.17,-3.2,1,-2.58,-2.16,-5.24,-3.93,-4.86,-5.9,-3.5,-3.65,-5,-8.61,-0.59,,,2.4022852919,23,20,8,-3
Philadelphia,N.Y. Jets,3,3.67,-1.73,2,2.81,3.04,5.31,8,0,-1.83,,3.83,6,1.06,-0.11,4.26,1.22,3,7.43,6.49,-2.93,3,2.76,,5.49,1.87,7.33,4.4,3,2.88,4.5,5.75,1.11,4.34,5.9,3.7,1.59,-2,7.55,3.9,,,2.5462835241,17,24,8,7
Pittsburgh,St. Louis,1.5,-2.67,3.21,-5,0.25,-4.81,-3.8,-3,-12.4,-9.21,,-4.67,-9,-5.08,-6.57,-5.13,-5.25,-3,0.97,1.24,5.33,-5,-2.76,,-0.66,-5.34,-3.51,-0.5,1,-8.04,-0.76,-0.24,-6.42,-5.62,-13.2,-5.7,-5.03,-10,3.16,-0.07,,,3.7101122494,33,21,8,-12
San Diego,Miami,-3,-7.01,-6.82,-8,-5.5,-8.5,-9.5,-6,-20.1,-13.04,,-5.71,-6.7,-10.24,-7.62,-6.44,-5.32,-6,-9.15,-9.17,-37.04,-6,-7.61,,-6.53,-7.81,-9.11,-5.2,-3.5,-10.65,-5.66,-4.25,-10.58,-9.44,-20.8,-7.5,-7.13,-13,-10.14,-5.31,,,3.8948083172,26,10,8,-16
Tampa Bay,Dallas,6.5,3.54,3.01,2,13.72,3.1,0.77,10,2.1,-4.01,,2.09,2.4,-6.89,2.04,4.03,2.67,2,3.02,3.08,-0.32,11,7.06,,1.32,6.13,10.16,1.7,6.5,10.77,2.89,-0.22,3.58,1.06,-3.1,2.2,-2.01,5,-4.48,9.77,,,4.6540096252,0,16,8,16
Arizona,Cincinnati,-3,-1.99,-8.39,-2,-0.98,-3.36,-1.85,-3,-2.9,-5.69,,-1.7,-4.7,-3.85,-3.17,-2.97,-2.24,-5,-7.91,-8.34,-22.03,-4,-5.13,,-0.52,-3.94,-3.86,,-3,-6.61,0.44,0.07,-5.01,-2.01,-7,-2.4,-6.67,-6,1.73,1.07,,,2.3256159733,14,17,9,3
Atlanta,Philadelphia,-5,-4,-8.91,-6,-11.7,-7.65,-7.06,-8,-19.1,-13.46,,-4.1,-11.5,-13.77,-2.86,-9.57,-3.43,-7,-17.78,-17.79,-24.35,-10,-7.3,,-4.19,-5.76,-9.03,,-4.5,-8.43,-2.39,-3.1,-8.08,-8.39,-18.7,-8.8,-8.03,-9,-17.78,-2.97,,,4.2409048183,23,16,9,-7
Baltimore,Jacksonville,7,7.81,6.3,8,9.98,9.18,10.54,10,2,11.23,,9.02,10.1,9.98,10.68,12.21,9.08,9,13.7,13.69,25.1,9,12.24,,6.63,9.12,8.42,,6.5,10.39,6.95,9.15,9.24,10.13,6.6,7,12.07,13,8.98,7.89,,,2.2222801793,17,24,9,7
Chicago,San Diego,2.5,2.17,1.04,2,-0.58,1.6,5.26,2,-8.2,0.01,,4.51,-1,-0.73,2.82,2.09,3.55,3,3.07,3.19,-9.38,-1,1.95,,2.88,1.61,2.59,,2.5,-0.48,4.21,3.5,0.83,3.67,2,1.4,2.28,-1,4.32,3.86,,,2.5419022653,7,20,9,13
Dallas,Washington,4.5,5.63,5.76,7,5.4,7.4,7.59,6,11.5,9.59,,8.77,10.7,4.59,9.87,9.8,7.86,7,13.99,13.72,8.59,8,9.79,,4.63,7.06,6.57,,4,7.4,5.18,5.74,5.51,7.76,26.4,7.5,10.24,6,11.36,4.1,,,4.0033414779,14,21,9,7
Denver,New England,2.5,0.41,-1.51,-1,1.7,-0.4,-2.49,1,-14.7,1.51,,1.1,-7.8,1.79,4.18,-1.13,3.6,-1,10.3,10.53,22.14,2,3.12,,-2.41,3.16,0.49,,2.5,0.15,-0.37,-4.71,-0.48,-1.54,-34,-3.5,2.08,3,-2.88,3.83,,,7.2342523067,30,26,9,-4
Detroit,Oakland,-3,-0.67,3.1,-2,-1.54,-2.26,-1.64,-6,-12.9,-1.92,,1.14,-6.7,1.1,0.63,-1.28,1.31,-3,-1.12,-1.58,-2.25,-11,-2.21,,-0.74,-0.72,-2.5,,-2.5,-4.16,0.64,1.04,-2.52,-1.75,-6.9,-2.5,-1.96,-1,3.42,-4.95,,,3.5188951375,13,23,9,10
Houston,Carolina,-6.5,-4.15,-4.55,-9,-7.4,-6.9,-8.9,-5,-4.7,-9.25,,-4.18,-8.7,-12.19,-5.11,-6.02,-3.64,-10,-5.17,-5.18,-18.08,-4,-5.88,,-7.37,-4.39,-7.98,,-6.5,-8.89,-4.56,-6.62,-7.77,-6.93,-28.7,-8.7,-10.46,-10,-10.6,-4.29,,,4.6122794748,10,14,9,4
Miami,Indianapolis,3,-1.81,-2.13,-1,-0.11,0.31,-2.06,5,6.7,-5.44,,3.68,2.9,-8.12,3.03,2.42,3.88,2,-1.23,-1.03,-29.42,5,-0.99,,-3.42,-0.31,3.36,,3,0.66,-0.56,-2.2,-2.31,-1.73,11.2,1.3,0.77,-3,-5.32,3.02,,,3.8523559145,23,17,9,-6
Minnesota,Green Bay,4.5,4.97,3.98,8,0.58,5.45,7.4,2,-4,5.3,,5.92,3.5,8.23,5.54,4.24,5.6,8,3.06,2.88,15.77,4,6.6,,7.06,2.79,7.53,,4.5,3.85,6.5,7.75,4.01,8.59,-0.5,4.8,7.03,8,6.84,5.35,,,2.8562248213,30,27,9,-3
N.Y. Jets,N.Y. Giants,-2.5,-0.76,-5.08,-2,1.64,-1.01,-3.02,-1.5,2.2,0.16,,-0.91,-5.2,-2.03,1.25,-1.67,1.28,-1,-2.63,-1.24,-11.39,2.5,-2.72,,-1.01,-0.52,-1.21,,-2,-1.12,-0.9,-3.61,-2.54,0.07,-7,-0.6,-0.32,-1,-1.96,2.93,,,2.2549396352,31,28,9,-3
San Francisco,St. Louis,-4,-1.43,5.31,-3,1.75,-2.21,-4.35,-6,-11.1,0.39,,-2.53,-6.3,1.68,-0.19,-2.66,-0.04,-7,-2.62,-2.59,7.92,-2,-2,,-2.61,-1.52,0.21,,-2,-5.51,-0.85,-1.46,-3.23,-3.54,-26.8,-3.6,-4.04,5,-1.22,0.47,,,5.6314768586,10,30,9,20
Seattle,Pittsburgh,4.5,5.61,6.06,8,1.32,6.72,8.51,2,-3.5,8.37,,7.58,5.2,7.7,10.79,6.42,9.11,7,3.71,3.53,1.35,7,8.38,,5.21,6.11,8.08,,4.5,6.04,5.95,8,4.63,8.13,24.2,6.4,12.1,8,3.2,5.17,,,4.3224477022,16,23,9,7
Tampa Bay,New Orleans,8,6.91,6.94,8,13.19,9.34,8.84,15,9,7.02,,9.33,10.7,3.34,10.2,10.38,8.66,6,13.93,13.09,25.11,15,12.28,,4.97,9.03,11.9,,8,14.5,6.45,7.82,8.17,8.91,5.5,8.7,10.29,12,9.46,11.3,,,2.9337367996,17,14,9,-3
Carolina,Tampa Bay,-3,2.6,-3.14,2,-8.63,-0.1,5.38,-6,1.4,-3.08,,-0.5,-0.2,1.75,-0.83,0.76,0.54,1,-4.05,1.37,-11.33,-7,1.26,,7.32,-0.92,-1.88,,-3,-3.56,4.69,6.35,-0.62,3.5,8.8,0.7,0.26,-6,8.03,-2.7,-5.85,,4.1294184974,24,27,10,3
Cincinnati,Houston,5.5,-0.52,1.18,1,2.72,3.03,-1.62,6,4.1,8.88,,5.88,2.8,7.84,7.06,3.99,6.39,4,4.96,-1.9,5.14,4,2.83,,-3.7,3.1,6.38,,5,3.56,0.04,2.19,1.98,0.82,10,2.2,3.64,1,-6.24,2.15,0.75,,3.0626498368,27,34,10,7
Dallas,Buffalo,4,3.95,8.59,5,4.77,5.74,6.82,5,5.2,7.46,,6.53,7.3,5.53,7.43,6.66,5.86,7,8.1,8.1,10.31,7,4.94,,4.46,3.55,6.6,,4,7.13,4.73,6.27,2.95,7.24,15.4,6.6,6.3,4,8.51,3,3.29,,2.2718173646,6,10,10,4
Detroit,Chicago,2,1.55,5.62,1,1.77,1.53,1.99,1,-4.6,3.79,,1.65,-1.8,5.29,3.04,1.55,2.91,-1,0.85,0.37,1.72,0,2.68,,0.95,2.05,1.35,,2,1.46,1.9,2.75,0.93,0.57,-14.4,-0.6,0.82,4,1.95,1.93,1.51,,3.5237281883,10,12,10,2
Green Bay,Philadelphia,4.5,3.87,4.11,3,5.42,4.53,3.46,2,9.1,7.94,,5.28,7,3.12,6.57,6.35,5.32,1,6.76,14.9,14.36,3,8.1,,-0.45,8.63,1.34,,4,4.79,3,3.42,5,2.79,-0.6,1.4,4.16,8,-2.85,2.43,7.75,,2.6108298984,17,14,10,-3
Jacksonville,Indianapolis,-6,-11.56,-10.37,-15,-9.82,-11.11,-14.79,-9,-6.4,-13.07,,-7.08,-10.8,-13.58,-8.47,-11.83,-6.58,-9,-15.19,-12.4,-20.35,-7,-14.38,,-13.09,-10.31,-8.92,,-5.5,-12.6,-8.21,-11.63,-13.4,-13.29,-23.6,-9.8,-15.06,-18,-15.11,-6.65,-12.19,,3.7676464345,23,28,10,5
Kansas City,Cleveland,9.5,14.33,10.89,13,12.83,14.6,18.46,15,17.8,17.26,,13.63,16.2,17.04,12.67,16.16,10.23,14,22.13,21.43,14.08,18,18.23,,16.46,12.55,14.45,,10,18.81,12.95,14.36,14.21,16.39,54.4,12.9,15.86,12,29.46,9.67,9.93,,7.660802935,20,41,10,21
N.Y. Giants,Atlanta,10.5,9.6,12.71,12,14.56,12.57,13.46,12,26.7,15.45,,10.36,17.9,8.67,10.49,15.89,9.35,12,19.31,10.27,24.98,16,16.37,,8.75,12,12,,10,15.23,8.46,9.51,11.93,12.46,23,12.3,12.37,12,25.37,7.24,11.34,,4.1661639789,27,7,10,-20
Oakland,N.Y. Jets,-3,-1.2,1.67,-2,-3.34,-1.07,-3.2,3,-10.8,0.46,,0.73,-3.5,-0.28,-0.07,-1.47,1.03,-3,-3.63,-0.37,6.4,-1,-0.85,,-2.45,-0.23,1.1,,-2.5,-1.89,-1.02,0.7,-2.89,-1.46,-21.1,-1.1,-1.6,-2,-6.33,2.55,-0.16,,4.4061708165,27,24,10,-3
Pittsburgh,Arizona,7.5,4.24,1.23,3,11,5.11,4.07,12,2.4,7.28,,2.96,2.9,3.66,6.03,3.83,6.11,3,14.54,11.37,23.94,11,9.41,,1.86,7.37,6.51,,7,6.47,3.24,1.06,4.36,3.64,-23.9,1.2,4.31,11,4.59,9.38,4.65,,6.2247556939,15,28,10,13
San Diego,Minnesota,-5.5,-8.22,-11.5,-12,-8.57,-8.95,-12.05,-4,-3.5,-9.94,,-7.57,-8.4,-10.22,-7.89,-7.43,-6.03,-8,-13.74,-21.77,-25.23,-6,-10.6,,-7.61,-9.32,-7.53,,-6,-9.07,-7.13,-7.11,-11.86,-11.97,-8.5,-4.7,-13.27,-19,-8.07,-6.53,-11.13,,3.1135144056,28,42,10,14
St. Louis,Baltimore,7,4.05,8.66,4,5.48,6.01,4.64,10,5.7,11.86,,4.67,4.2,10.04,4.1,4.81,4.15,4,8.62,15.37,11.58,5,6.45,,3.22,5.41,7.41,,7,4.68,4.28,4.45,3.89,5.9,15.9,2.9,3.31,17,6.67,4.45,10.95,,3.5310909551,22,33,10,11
Tennessee,Miami,5,5.34,4.26,4,3.67,4.56,5.66,4,5.5,5.68,,4.25,5.2,8.18,1.91,7.19,1.49,5,3.4,4.6,-1.62,4,5.91,,7.04,3.77,5.59,,4.5,6.07,4.73,6.34,3.5,5.88,13.1,4.3,2.02,-2,8.31,3.02,4.4,,2.5173645223,7,31,10,24
Washington,Seattle,-3,-2.49,-5.01,-5,-2.86,-3.23,-3.6,2,-6.8,-4.01,,-2.54,-2.2,0.15,-4.53,-1.91,-2.56,-6,-8.05,-13.8,-11.11,-1,-4.87,,-0.35,-4.99,-1.47,,-3.5,1.03,-0.65,-2.9,-4.3,-3.08,-18.4,-2.6,-7.49,-6,0.02,-1.41,-9.03,,3.6082829998,20,27,10,7
Buffalo,Houston,7,4.99,7.44,6,9.81,6.73,6.84,10,-7.1,11.51,,5.94,5.1,10.03,8.08,5.22,7.03,4,7.93,4.65,12.25,8,8.11,,3.61,6.93,8.14,,7,4.86,4.42,4.54,6.24,5.17,-6.3,3.4,6.78,11,2.7,6.59,8.45,,4.0394101083,12,10,11,-2
Carolina,Washington,6,8.45,7.44,9,6.77,7.87,10.37,4,14.1,9.03,,6.29,8.4,8.47,7.32,8.73,5.75,7,9.11,12.8,12.87,4,10.88,,9.95,8.49,8.14,,6,7.97,7.57,8.31,7.78,8.48,23.4,7.5,9.13,8,7.09,5.68,8.21,,3.4104346303,17,20,11,3
Chicago,St. Louis,-6,-6.19,-0.65,-8,-4.04,-6.12,-7.04,-8,-11.2,-5.09,,-4.41,-6.6,-2.17,-6.71,-6.02,-3.87,-7,-10.97,-13.2,-3.1,-7,-8.96,,-4.84,-8.29,-5.38,,-6,-9.63,-2.7,-5.25,-6.69,-7.21,-15.8,-5.6,-9.92,-7,-4.48,-5.18,-5.87,,2.8802734545,23,21,11,-2
Cincinnati,Kansas City,-6,-11.88,-6.77,-13,-13.26,-10.13,-11.42,-12,-12.3,-8.35,,-7.37,-13.3,-4.66,-6.71,-9.73,-5.24,-9,-12.3,-9,-21.05,-16,-12.9,,-12.06,-11.69,-10.07,,-6.5,-13.02,-6.1,-6.12,-11.61,-10.1,-23.4,-8.2,-13.59,-13,-8.48,-7.46,-12.29,,3.8028674753,19,24,11,5
Cleveland,Arizona,6,6.23,2.74,4,10.18,6.46,6.24,9,5.6,8.32,,4.94,7.5,4.2,7.36,7.38,6.15,3,6.06,6.35,12.09,12,11.29,,3.46,10.03,8.61,,6.5,9.02,4.02,1.85,7.08,5.64,-19,4.4,5.35,10,-3.47,9.66,1.32,,5.4078498181,6,44,11,38
Denver,San Diego,8,10.01,8.88,12,10.07,9.46,10.96,9,1.9,10.61,,9.72,7.8,9.57,11.25,8.24,8.96,6,14.2,8.65,3.63,11,13.43,,9.12,11.15,9.9,,8,8.56,8.57,6.68,9.75,10.36,-1.8,5.9,12.09,11,6.93,10.3,4.09,,3.0151856274,8,37,11,29
Indianapolis,N.Y. Jets,6,11.46,7.92,12,6.97,10.35,12.78,8,13.7,10.7,,8.99,11.7,8.8,9.5,11.59,7.69,8,13.96,13.35,14.08,5,14.65,,11.32,11.6,9.36,,6.5,12.28,9.33,12.53,11.08,11.68,13.6,8.3,12.47,12,6.76,8.59,10.35,,2.2906544013,31,38,11,7
Miami,Baltimore,5.5,4.77,2.26,4,6.8,4.42,5.72,7,7.8,4.55,,4.96,6.2,3.44,3.79,5.81,4.03,3,4.24,5.65,1.26,5,5.85,,5.53,4.01,6.21,,6,5.69,4.89,3.29,4.66,3.72,14.1,4.7,2.39,5,3.63,4.98,-1.62,,2.1419457531,6,9,11,3
New England,Dallas,4,5.3,3.64,4,8.67,5.04,5.65,8,18.3,5.85,,4.95,8.6,6.5,1.32,8.31,2.21,2,-1.45,7.9,6.48,6,7.06,,5.52,5.44,8.87,,4,6.66,4.4,6.23,6.09,4.16,38.3,5.7,1.13,2,0.51,5.81,-0.41,,6.7315742638,0,12,11,12
New Orleans,Atlanta,8.5,8.67,9.26,9,7.79,8.56,8.35,7,13.1,10.15,,8.36,13.1,6.39,8.39,9.98,7.37,9,14.22,16.25,4.54,8,11.97,,8.17,10.45,9.99,,8.5,10.55,6.3,4.88,8.34,7.52,10.7,8.4,8.68,7,7.36,5.33,9.13,,1.981727709,20,23,11,3
Oakland,Minnesota,-4.5,-4.37,-4.17,-7,-0.34,-3.78,-5.64,1,-0.8,-4.29,,-3.87,-4.1,-3.84,-4.23,-2.04,-2.25,-7,-6.15,-9.45,1.95,1,-4.4,,-4.44,-4.94,-1.54,,-4.5,-3.73,-2.89,-5.04,-4.48,-4.52,-16.6,-1.3,-9.18,-7,-3.13,-0.71,-0.74,,3.3436635734,18,28,11,10
Philadelphia,N.Y. Giants,3,5.27,-3.75,6,4.69,4.74,5.72,8,4.7,2.6,,5.65,6.4,1.86,4.3,8.4,3.85,6,7.91,5.45,-5.73,7,6.7,,6.78,4.23,5.43,,3.5,8.32,5.2,3.46,4.01,6.21,17.6,7,5.43,1,5.24,5.78,-4.06,,3.3197286276,10,28,11,18
San Francisco,Pittsburgh,4,5.24,11.23,6,5.93,7.88,5.05,4,9.4,14.15,,6.85,10.3,8.58,10.62,9.84,8.07,6,2.47,3.8,13.31,11,8.54,,2.42,8.08,9.36,,4,11.21,4.01,4.3,6.65,5.98,14.8,6.3,7.97,13,0.7,5.18,10.81,,3.1195074766,14,30,11,16
