Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
Atlanta,Philadelphia,-1.5,-4.68,1.85,1,-1.57,-0.91,-3.72,0.01,-2,3.42,,2.25,0.8,5.32,-2.9,-0.84,-1.11,-1,-1.97,2.61,-6,1.52,-2,-1.5,,-2,-4.68,-4.68,-1.24,-3.3,-3,,,3,,,-2,1.9,,-5.7,-1.46,0.96,0.01,-1.06,-3,1,0.01,-1.5,2.8773594733,10,14,1,4
Baltimore,Indianapolis,-3,0.44,13.37,3,0.46,0.11,0.5,-1,2,-1.18,,2.25,-0.7,0.22,-0.26,-0.38,2.48,-2,-0.46,9.83,1.5,9.77,-5,-2.5,,-3,0.44,0.44,-3.27,-1.8,-3,,,-14,,,2,4.4,,-2.69,0.58,1.87,2,-0.02,-4,3,4,-3.5,4.8254358751,24,7,1,-17
Buffalo,Houston,4.5,9.11,12.52,5,7.1,9.38,8.76,9,7,5.22,,2.25,4.5,4.82,10.21,11.29,7.02,5,15.02,5.5,20.5,11.39,13,5,,8,9.11,9.11,10.39,4.5,4,,,11,,,7,10.2,,11.39,10.68,8.85,11,9.11,15,17,8,10.5,2.7468171511,7,22,1,15
Carolina,New Orleans,7,4.09,1.98,4,4.36,4.83,3.45,12,3,10.32,,2.25,4.2,8.92,6.49,2.77,5.22,3,7.21,10.35,1.5,-1.07,6,6.5,,7,4.09,4.09,1.78,-0.4,5,,,-4,,,3,3.8,,7.39,1.36,4.51,5,4.14,3,-2,6,19.5,3.418536799,23,20,1,-3
Cleveland,Cincinnati,-3.5,1.23,-5.53,2,-0.79,-2.73,-2.37,-2,-2,-0.48,,2.25,-3.2,-0.58,-2.9,-2.68,-1.3,-2,-10.15,6.55,-7,-17.21,-7,-3.5,,-1,1.23,1.23,-5.26,-4.7,-3,,,-11,,,-2,-3,,-3.51,-6.39,-1.61,2,-2.53,-5,-6,-1,-10.5,3.382814304,27,13,1,-14
Detroit,Green Bay,3,-3.61,-0.42,1,-1.57,-1.01,-0.31,-1,0.01,-2.48,,2.25,1.4,-3.88,-1.19,-0.12,0.92,-1,-0.98,4.69,-1,-7.06,-1,1.5,,-1,-3.61,-3.61,-3.79,-4.1,2,,,-3,,,0.01,0.6,,-2.06,-6,-1.89,-2,-1,-3,-5,-1,7.5,2.1046462886,3,17,1,14
Jacksonville,Seattle,3,4.5,-0.54,3,3.29,3.61,6.58,5,6,2.42,,2.25,3.9,1.32,2.16,7.9,2.48,2,1.98,1.75,7,-7.85,5,3,,6,4.5,4.5,6.09,2.5,3,,,-4,,,6,0.4,,6.58,-1,2.24,4,3.14,8,1,2,2.5,2.6225113038,14,26,1,12
Kansas City,N.Y. Jets,3,0.38,-2.44,-0.25,2.96,1.04,-2.33,3,-2,1.42,,2.25,2.1,1.92,1.09,0.18,1.61,2,-3.6,-6.09,-4,-2.21,4,3,,3,0.38,0.38,3.67,-3.3,3.5,,,21,,,-2,-3.1,,0.79,-4.87,-0.23,3,1,1,1,-3,3.5,4.7462406338,7,27,1,20
Miami,Denver,-4.5,1.16,-10.49,0.25,-0.97,-2.49,-2.64,-4,-2,-3.78,,2.25,-3.1,-4.28,-3.78,-1.47,-1.04,-4,-1.66,-1.9,0.25,2.64,-4,-4.5,,-3,1.16,1.16,-2.29,-3.9,-3.5,,,-3,,,-2,-4.8,,-4.33,-1.22,-2.36,-2,-2.5,-2,-2,-3,-7.5,2.568174359,10,34,1,24
Minnesota,Tampa Bay,6,2.77,4.32,2,5.02,5.42,8.14,13,7,9.42,,2.25,7.6,9.72,3.62,6.06,4.08,5,0.25,8.99,1.5,8.91,6,6,,4,2.77,2.77,6.01,2.2,5,,,14,,,7,7,,4.21,6.09,3.38,2,4.26,5,-3,3,19.5,3.21243404,24,13,1,-11
N.Y. Giants,Arizona,3,6.56,5.7,3,3.76,3.86,4.2,1,4,2.32,,2.25,2.7,3.72,2.83,4.39,3.16,1,3.65,10.67,7,9.49,0.01,3,,3,6.56,6.56,3.33,-0.3,1,,,4,,,4,8.2,,3.76,2.06,3.97,9,3.74,4,1,5,-1.5,2.4304098103,19,42,1,23
New England,Oakland,7.5,15.64,10.11,6,13.1,14.64,19.65,15,17,16.32,,2.25,11.2,15.62,16.58,22.15,12.44,11,21.05,6.59,26.5,15.88,20,8.5,,14,15.64,15.64,19.98,12.1,7,,,17,,,17,9.8,,21.02,2,12.29,8,15.25,24,7,10,15.5,4.7952198634,20,30,1,10
Pittsburgh,Tennessee,7,7.72,10.64,6,8.23,12.5,17.83,15,17,14.42,,2.25,10.1,13.92,12.39,16.61,8.72,11,19.01,8.25,24,15.28,17,7.5,,14,7.72,7.72,15.47,12.1,7,,,14,,,17,11.3,,15.81,2,10.36,3,11.7,19,11,8,22.5,4.0722252469,7,34,1,27
San Diego,Dallas,4.5,6.12,12.93,6,10.11,7.75,11.28,4,10,4.52,,2.25,5.8,4.42,14.03,12.62,10.53,8,10.3,2.66,4,7.47,9,4.5,,11,6.12,6.12,10.55,7,4,,,10,,,10,2.2,,18.74,4.83,7.07,3,6.56,12,4,5,1.5,3.9838654016,28,24,1,-4
