Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
San Francisco,St. Louis,-5.5,-2.98,-5.12,-1,0.68,-3.47,-5.3,-6,-6,-7.48,,2.25,-2.8,-5.68,-1.51,-4.4,-0.85,-5,-0.6,0.83,-7,5.09,-2,-5.5,,-5,-2.98,-2.98,-3.42,-6.5,-4,,,-14,,,-6,-3,,-4.35,-5.97,-3.44,-1,-3,-3,-1,-3,-10.5,3.2018881209,25,28,1,3
Washington,Chicago,6,5.15,5.79,3,4.92,6.65,6.43,7,5,4.32,,2.25,5.1,3.22,7.25,9.76,4.99,5,11.78,2.78,12.5,13.83,11,6,,6,5.15,5.15,8.09,2.6,4,,,7,,,5,7.3,,7.5,5.26,3.49,6,5.89,13,8,3,10.5,2.1531080933,7,9,1,2
Arizona,St. Louis,1,-0.81,0.15,2,2.74,0.66,0.25,0.01,-2.5,1.8,,0.52,0.9,8.65,-5.53,0.79,-5.06,1,2.78,-3.2,-1.55,11.83,2,1,,0.01,2.68,-4.72,,-0.93,-1.5,,,1,,,4.9,-2.6,,4.41,-2.03,0.19,3,0.79,2,8,-1,-0.5,3.2149248306,17,12,2,-5
Carolina,New England,-3,-6.74,-4.41,-0.25,-4.99,-4.98,-13.08,-2,-9.5,-0.99,,0.43,-3.1,-6.19,-5.85,-9.15,-3.58,-5,-5.32,-2.16,-4.27,-14.17,-7,-3,,-1,-8.23,-8.01,,-6.3,-3,,,-6,,,-15.5,-7.6,,-12.3,-6.41,-4.65,-5,-4.99,-8,-1,-2,-3.5,3.9947267324,17,27,2,10
Chicago,Detroit,-2,-1.14,-3.22,1,-0.25,-2.15,-8.4,-3,-3,2.3,,-0.14,-1.7,-1.81,-14.67,-1.74,-4.35,-4,2.23,-3.12,-2.91,-2.22,-1,-2,,1,-3.19,0.92,,-1.96,-2.5,,,-1,,,-9.8,-3.1,,-0.62,2.44,0.83,3,-1.74,-4,-5,2,-9.5,3.7431611863,6,38,2,32
Cincinnati,Minnesota,3,9.03,7.53,4,5.78,7.9,19.08,-2,11.5,6.44,,5.89,4.5,5.51,21.9,18.42,15.51,5,11.69,11.78,11.27,10.19,7,4,,2,12.04,6.68,,7.83,3,,,-1,,,15.9,10.5,,6.44,8.41,4.2,2,6.68,11,7,5,-5.5,5.9927321816,8,37,2,29
Dallas,Washington,5.5,6.24,4.61,2,2.24,4.73,9.36,9,5.5,12.4,,2.43,5.8,12.4,1.43,10.39,4.78,3,0.53,3.65,2.91,1.81,3,5.5,,2,8.68,4.53,,2.43,6,,,-3,,,8,5,,-1.93,1.16,1.86,3,4,6,1,4,12.5,3.9823171647,14,13,2,-1
Denver,San Diego,3,5.21,-2.17,1,1.27,-0.27,-4.44,0.01,-3.5,3.7,,0.61,0,5.25,-6.95,1.36,-11.38,1,-4.82,-3.21,-1,-1.76,0.01,2,,0.01,8.73,3.05,,-1.69,3,,,-1,,,1.5,0.8,,-1.52,-2.19,3.14,2,0.01,-1,-3,2,-1.5,4.0999061778,17,20,2,3
Green Bay,Cleveland,7,7.22,-1.66,2,5.13,4.87,1.44,11,4,9.73,,2.25,7.8,7.87,-0.47,2.74,-0.63,6,3.03,3,4.82,2.37,8,7,,10,6.66,7.75,,0.24,7,,,7,,,1.7,-1.8,,5.21,3.69,5.62,5,5.21,9,8,2,10.5,3.7494799639,26,24,2,-2
Houston,Pittsburgh,-6,-5.94,-8.14,-4,-3.75,-7.36,-13.32,-10,-14.5,-3.77,,-2,-6.2,-3.13,-22.63,-5.45,-17.46,-8,-7.11,-11.25,-11.73,-8.76,-7,-6,,-4,-3.46,-10.05,,-6.01,-4,,,-1,,,-12.4,-13.2,,-7.03,-11.97,-6.55,1,-6.2,-6,-2,-8,-15.5,5.2227313097,27,7,2,-20
Indianapolis,Jacksonville,9,11,7.53,4,8.99,8.76,10.92,10,8,13.15,,2.57,8.7,11.68,6.64,15.41,9.85,7,7.55,4.6,4.36,7.49,13,9,,9,11.03,10.97,,5.33,9,,,7,,,7.2,4,,13.44,4.31,7.87,7,8.7,14,-1,2,17.5,3.3110251685,3,10,2,7
N.Y. Giants,New Orleans,3,0.62,-2.12,2,2.55,2.33,9.24,2,7,4.33,,3.98,2.2,0.37,11.09,-0.57,8.91,1,-3.62,9.43,-2.09,-5.62,0.01,3,,0.01,-3.25,3.81,,-2.06,3,,,1,,,1.7,5.5,,4.53,-1.47,0.37,3,2,-1,10,5,2.5,3.8785048666,10,27,2,17
N.Y. Jets,Miami,6,0.08,-3.1,5,3.15,1.01,-9.96,10,-2,6.23,,-2,4.8,5.97,-22.49,-0.85,-18.66,2,4.49,-11.89,0.73,13.78,3,6,,9,0.14,-0.02,,-0.48,6.5,,,7,,,-4.1,-2.3,,11.53,2.42,7.41,4,3,5,-7,6,10.5,8.349972495,7,17,2,10
Oakland,Kansas City,-1.5,-1.55,-2.17,2,-2.82,-4.21,-9.84,-4,-5,1.19,,-1.3,-2.3,-0.13,-16.37,-6.22,-15.58,-3,-4.29,-7.39,-3.64,-4.34,-6,-1.5,,-3,0.53,-3.56,,-3.49,-1.5,,,-1,,,-6.9,-4,,-7.14,-2.17,-1.36,-1,-3,-8,-3,-3,-5.5,4.5330986459,23,17,2,-6
Philadelphia,San Francisco,13.5,7.61,-0.33,8,12.02,10.22,8.52,18,12.5,14.34,,1.37,11.7,9.95,-4.44,12.28,0.5,5,10.12,-0.21,10.82,5.5,19,13.5,,19,3.27,13.92,,7.44,12.5,,,15,,,1.9,5.3,,22.91,7.16,12.12,8,10.12,19,5,8,26.5,7.0930666382,3,42,2,39
Seattle,Atlanta,1,-2.56,0.35,2,2.21,-3.18,-10.8,-4,-4.5,-0.77,,-0.04,-2.7,-1.08,-11.47,-3.87,-5.4,-1,-5.69,-2.89,-10.64,-1.45,-2,0,,-1,-4.81,-1,,-3.41,0,,,-1,,,-10.2,-9.3,,0.48,-2.32,-1.79,4,-2.7,-5,-3,-1,-8.5,3.8109753782,18,21,2,3
Tampa Bay,Buffalo,2,4.25,4.54,2,-0.06,-0.69,0.12,0.01,-4,6.97,,1.68,0.5,8.83,-0.42,-3.47,6.67,-1,-5.27,1.72,-11.45,-6.74,-4,2,,-3,7.15,1.61,,-3.6,2,,,-1,,,-1,1.4,,-8.47,-6.58,0.68,0.01,0.12,-8,-14,1,1.5,4.1036691712,3,19,2,16
Tennessee,Baltimore,-3.5,2.23,0.45,1,-0.33,-2.68,-3,-8,-3,-0.32,,2.25,-2.9,-0.64,2.31,-2.27,2.63,-3,-10.7,-0.21,-8.73,-9.23,-6,-3.5,,-3,4.81,-0.51,,-2.84,-4,,,-6,,,0.01,-0.1,,-8.38,-5.82,-3.5,1,-2.27,-7,3,-2,-17.5,3.3235295997,10,25,2,15
Buffalo,Atlanta,2.5,3.06,5.51,2,6.54,2.86,3.4,-3,5,3.17,,2.58,2.3,4.22,2.05,7.36,2.03,3,-7.85,4.75,-2.17,-3.4,9,2.5,,5,4.32,1.68,6.86,4.54,3,,,3,,,-2.6,-0.01,,-8.3,4.38,4.14,-2,3.03,11,13,2,-9.5,3.5536190004,24,16,3,-8
Chicago,Cincinnati,-3,-0.52,5.67,-1,-1.77,-1.78,-2.29,-2,-8,4.9,,-0.14,-1.7,7.35,2.95,-5.54,1.36,-5,-5.74,5.82,-5.31,-14,-8,-3,,0.01,-2.38,1.05,-8.54,-1.04,-3,,,-5,,,-3.6,-5.6,,7.45,-9.38,-3.96,3,-1.74,-10,-1,-3,-7.5,4.6625375066,24,7,3,-17
Denver,Kansas City,3,-2.56,-2.84,0.25,-0.21,-2.51,-11.19,-4,-11,2.03,,-1.8,-1,6.89,-11.06,-12.44,-8.83,1,2.87,1.59,5.83,6.41,-3,2.5,,3,-1.91,-3.42,-0.17,0.1,3,,,2,,,-27,-5,,-27.99,2.19,3.83,-4,-1.4,-3,6,2,-8.5,8.4436016832,10,30,3,20
Green Bay,Tampa Bay,-3.5,-2.97,-7.77,-3,-1.6,-5.41,-13.48,1,-7,1.05,,-3.82,-4.4,-0.82,-11.74,-15.7,-8.15,-3,-14,-6.17,-14,-14,-1,-3.5,,6,-4.41,-1.7,-0.17,-0.89,-2.5,,,-1,,,-23.9,-14.6,,-20.55,4.8,1.88,-9,-3.91,-4,-4,-3,-3.5,7.2274103139,17,16,3,-1
Indianapolis,Cleveland,13.5,14.24,8.21,8,12.29,14.93,20.6,20,23,22.19,,7.15,15.7,19.56,16.29,19.45,15.3,11,15.25,9.24,14,14,22,13.5,,16,14.54,14.34,17.72,15.14,14,,,11,,,38.9,12,,27.64,5.83,10.07,11,15.19,19,4,5,28.5,6.9773780065,6,13,3,7
Miami,Carolina,-3,4.16,-0.67,2,3.02,1,-0.71,-7,2,9.59,,0.87,-3.7,9.02,6.02,2.51,6.17,-1,12.1,-3.08,16.97,16.06,2,-2.5,,-4,4.68,3.64,0.27,3.17,-3,,,-2,,,4.9,0.3,,-4.11,2.16,-2.02,-1,0.14,-2,-5,0.01,-10.5,4.015948226,24,27,3,3
Minnesota,New Orleans,4,0.45,-7.05,1,2.22,-0.26,-2.92,8,-3,5.24,,0.3,2.8,6.13,-1.9,-7.54,-3.77,1,0.14,-2.32,-3.74,11.4,2,3.5,,3,0.25,0.91,-6.35,0.34,3.5,,,3,,,-7.1,-2.3,,-13.8,-4.5,2.78,4,0.4,-4,-7,3,13.5,4.8293893387,16,33,3,17
N.Y. Jets,Jacksonville,2.5,4.49,2.47,2,4.58,3.21,2.21,2,2,7.59,,1.44,2.7,9.38,-3.92,2.86,-0.52,-1,-0.13,6.27,7.12,14,3,2.5,,4,5.74,3.33,3.16,5.44,2.5,,,-2,,,-10.9,5,,-1.61,4.3,6.58,1,3.08,5,3,5,3.5,4.1119563938,26,20,3,-6
Philadelphia,Oakland,8.5,11.57,8.67,6,11.91,11.77,12.49,14,10,19.86,,5.66,10.6,18.06,17.07,5.4,16.99,8,14,8.99,14,14,13,9.5,,14,11.28,13.35,13.61,14.09,8.5,,,6,,,18.8,11.7,,13.7,9.02,11.23,10,11.81,16,4,10,12.5,4.065008752,20,23,3,3
Pittsburgh,New England,3,3.67,11.23,5,5.32,7.09,13.7,4,10,13.21,,6.85,6.9,10.28,13.24,13,17.61,5,14,7.01,14,14,-1,3.5,,2,3.59,3.76,0.79,10.3,3,,,-5,,,28.7,8.5,,13.08,4.34,3.09,7,6.88,4,6,5,1.5,6.7693995757,23,20,3,-3
San Diego,N.Y. Giants,5.5,-1.03,-4.43,1,4.28,-0.98,-10.97,7,-6,8.82,,-3.03,1.1,4.16,-7.65,-7.63,-8.63,1,-1.22,-4.96,-7.74,8.8,8,5,,12,-1.91,-0.4,2.67,0.28,6.5,,,7,,,-35.1,-8.7,,-23.36,2.59,6.8,-1,-0.06,3,-16,1,7.5,10.182249661,23,45,3,22
San Francisco,Dallas,-6.5,0.27,-3.9,-1,-2.95,-4.17,-7.91,-9,-6,2.98,,0.27,-6.4,10.4,-6.05,-5.3,-5.89,-5,-4.79,-4.1,0.83,-19.33,-5,-6.5,,-3,1.68,-1.94,-2.72,1.71,-6.5,,,-6,,,-9.6,-2.9,,-12.99,-3.43,-2.74,-4,-4.05,-10,-12,-3,-16.5,4.6372828915,34,31,3,-3
Seattle,Arizona,6.5,10.72,7.13,7,8.17,8.79,15.53,9,16,16.34,,3.8,7,18.03,7.18,11.34,6.79,7,8.18,6.67,16.26,14,5,6.5,,5,11.07,10.67,7.18,10.66,6.5,,,-3,,,53,10.5,,24.51,2.89,5.38,6,7.18,6,3,6,9.5,10.091343015,12,37,3,25
St. Louis,Tennessee,6.5,1.11,4.07,1,2.6,3.52,-4.61,6,-1,17.08,,2.28,4.7,10.03,7.73,0.16,6.66,5,-4.29,2.41,-0.03,2.22,7,6,,7,0.73,1.46,6.45,2.39,6.5,,,9,,,-26.9,4.7,,-5.3,8.55,3.35,0.01,3.18,4,-1,3,8.5,7.5885362529,27,31,3,4
Arizona,San Francisco,2.5,-3.2,-0.63,1,0.49,-0.92,-6.94,1,-3,-3.16,,-2.72,-0.4,-5.11,-2.58,-6.15,-3.82,1,-2.49,-1.46,-7.73,-9.17,3,1.5,,5,-3.65,-2.38,0.73,1.67,3,,,14,,,-20,-4.3,,-9.49,-3,3.9,-2,-1.05,4,1,1,4,5.8909028171,14,31,4,17
Atlanta,Minnesota,6,5.26,9.91,6,7.86,8.41,7.51,7,9.5,14.62,,4.68,6.1,14.56,10.45,8.16,8.23,6,14,5.84,14,14,8,6,,6,5.56,4.98,11.59,9.67,5.5,,,14,,,8.8,11.4,,10.32,3,4.44,8,7.93,10,7,4,5.5,3.0096022737,10,30,4,20
Baltimore,N.Y. Jets,7,-0.17,1.73,2,0.73,-1.39,-8.43,4,-5.5,1.56,,-1.2,4.6,-0.27,-2.87,-9.49,-3.33,3,-4.54,-2.44,-9.9,-14,0.01,5.5,,2,0.35,-0.73,-0.41,1.04,7.5,,,10,,,-77,-5.5,,-16.57,3,3.66,-6,-0.22,-1,-12,0.01,5.5,15.737382487,3,13,4,10
Carolina,Green Bay,7,4.23,3.78,7,5.65,8.74,9.57,9,6.5,13.18,,4.98,7,14.29,8.5,12.22,6.68,5,16.54,6.35,14,10.07,11,7,,5,6.14,2.99,8.81,9,7.5,,,14,,,5.8,12.4,,9.63,3,4.42,9,8.65,10,4,6,15.5,3.3169387184,29,32,4,3
Cincinnati,Houston,10,14.78,21.09,10,15.75,15.97,25.66,11,17.5,17.78,,12.83,11.6,16,24.32,29.33,21.41,12,14,15.59,14,14,14,11,,2,13.83,16.08,11.24,18.07,9.5,,,7,,,63,17.1,,49.86,3,8.05,16,14.39,14,8,13,16.5,12.708435049,10,16,4,6
Jacksonville,Denver,4,3.38,8.42,4,3.53,3.75,4.84,7,10.5,10,,3.32,2.7,8.65,6.45,7.87,4.56,3,3.13,3.23,-7.28,14,2,4,,2,3.93,2.94,4.74,5.86,4,,,7,,,13,2.3,,5.73,3,-0.23,4,3.44,3,-1,1,3.5,3.0689785823,20,7,4,-13
Kansas City,Philadelphia,1.5,0.9,1.96,1,1.82,-0.42,2.51,-2,-1,3.6,,0.87,-1.4,2.29,-3.8,3.76,-2.62,-1,-5.08,-0.38,1.9,-16.21,-2,1.5,,-2,1.17,0.53,3.52,1.51,2,,,-7,,,27.2,0.6,,0.18,3,-1.63,-5,0.24,1,-5,-2,-1.5,5.8563769976,37,31,4,-6
N.Y. Giants,St. Louis,3,2.71,4.17,3,6.3,4.64,3.32,2,10,5.66,,3.86,4.5,4.66,4.87,7.36,4.67,2,5.64,4.76,3.08,14,4,3,,0.01,1.14,4.6,4.74,2.59,3,,,3,,,27.2,7,,18,-3,2.71,5,4.5,8,5,4,1.5,5.5823674741,24,44,4,20
New England,San Diego,5,11.26,-1.42,6,6.37,5.88,6.17,9,10,8.88,,1.92,5.6,10.46,0.87,6.64,1.35,5,8.29,3.52,1,14,8,5,,5,12.57,9.95,11.37,10.02,5.5,,,3,,,-37,7.9,,0.41,-3,7.46,2,6.18,8,-2,4,9.5,9.3258685716,41,17,4,-24
New Orleans,Buffalo,0,1.01,-0.18,1,-3.22,-1.3,-3.32,1,-0.5,5.76,,-0.4,-0.7,6.84,-0.57,1.64,0.34,-2,-5.31,1.34,-14,-14,-4,0,,-2,2.2,-0.4,2.02,1.85,0,,,-11,,,-2.8,1.1,,-0.52,3,-2.55,-2,-0.55,-5,-9,-1,0.5,3.3525187776,7,19,4,12
Oakland,Dallas,3,0.77,-7.8,0.25,3.08,0.23,-5.99,1,5.5,3.45,,-0.07,2.2,-2.01,-2.29,2.45,-1.39,1,4.31,0.21,6.62,7.74,2,3,,2,-1.78,2.76,-0.81,-0.43,3,,,-7,,,-57,0.1,,0.66,-3,-0.39,1,0.71,2,-9,-1,3.5,11.558452551,13,19,4,6
Tampa Bay,Detroit,6.5,10.48,11.5,8,12.57,10.67,12.26,5,8.5,16.4,,5.43,6.9,18.51,18.03,14.71,12.12,7,14,9.59,14,14,13,7,,4,12.47,8.85,8.87,12.35,6,,,10,,,25.8,14.6,,14.09,3,7.35,11,11,11,1,9,2.5,4.7650068044,13,17,4,4
Tennessee,Indianapolis,-7,-6.2,-5.22,-4,-8.01,-7.47,-14.34,-11,-11,-1.8,,-1.67,-6.4,-6.45,-10.73,-8.81,-7.81,-5,-3.97,-3.14,-5.73,-14,-11,-7,,-9,-6.91,-6.48,-10.76,-4.72,-6.5,,,-14,,,-87,-5.3,,-17.99,-3,-4.11,-8,-6.47,-12,5,-2,-18.5,16.030910378,31,10,4,-21
Washington,Seattle,2,4.66,5.16,2,0.66,2.85,6.74,-1,-1,4.9,,1.66,0.8,5.92,1.45,4.5,2.49,2,-3.26,1.61,1.62,2.9,3,2,,3,5.01,4.41,6.26,6.88,2.5,,,7,,,17.2,6.1,,15.15,3,1.61,-1,2.74,4,-7,0.01,-3.5,4.1499910102,17,20,4,3
Arizona,Carolina,-3,-3.67,-0.98,-2,-6.2,-4.49,-3.43,-7,-12,-4.1,,-1.32,-3.9,0.67,-3.91,-5.58,-2.88,-1,-2.32,-5.23,-6.9,-14,-6,-3,,-4,-2.44,-5.3,-8.06,0.92,-3,,-0.78,-4,-6.75,-2.9,-0.2,-2.2,,-10.6,3,-4.08,-5,-3.96,-9,-10,-3,-8.5,3.0696386639,24,20,5,-4
Atlanta,New England,3,-0.62,9.34,5,1.98,5.47,9.43,3,-3,10.35,,6.61,4.5,6.1,12.33,9.71,9.51,5,12.57,9.39,12,-2.18,2,3.5,,-2,-0.22,-1.02,-0.24,6.44,2,,8.31,-4,9.28,7.65,15.5,8.5,,12.04,3,3.54,5,5.45,1,3,2,3.5,5.1058772279,31,28,5,-3
Buffalo,Miami,3,0.05,-2.1,-1,0.87,-0.79,-7.12,5,-0.5,-2,,-1.62,3.1,-0.11,-6.74,-5.31,-2.34,1,-6.69,-3.98,7.75,14,5,2.5,,11,-0.97,1.03,1.49,-0.23,2.5,,-5.83,3,-5.98,-5.26,-14,-2,,-8.88,-3,3.51,-5,-0.98,5,-3,2,-0.5,4.8760964916,14,20,5,6
Cleveland,Chicago,3,3.73,-3.51,3,2.38,0.56,0.24,3,-2.5,-3.18,,0.46,0.8,1.58,-6.6,0.35,-2.57,1,0.41,-2.22,-2.4,1.66,2,3,,2,4.67,3.1,2.29,4.76,2,,-0.76,3,-2.46,-0.17,-0.6,2.4,,-4.93,-3,1.02,-3,1.01,6,-9,2,2.5,2.8979099824,10,20,5,10
Dallas,Philadelphia,-3,-5.55,-5.3,-2,-7.16,-4.35,-4.73,-5,-6,-1.99,,-0.76,-4.2,2.51,-4.01,-1.17,-2.63,-4,-7.49,-0.95,-14.4,6.86,-6,-3,,-7,-5.2,-5.9,-4.17,-1.16,-3,,0.03,-11,-2.84,-3.08,-2.7,-3,,-3.44,-3,-3.85,-6,-4.11,-7,-3,-3,-6.5,2.6331764051,10,33,5,23
Denver,Washington,7,7.23,5.68,4,10.4,6.35,4.8,6,6.5,5.56,,3.9,7.1,-0.68,3.19,8.13,3.4,3,11.84,3.77,14,12.69,9,7,,7,4.66,9.67,5.51,6.35,7,,0.58,5,4.1,1.64,-7.2,7.5,,8.52,-3,8.44,4,6,11,5,6,8.5,3.5292640422,19,21,5,2
Detroit,Baltimore,1.5,-0.3,4.66,-0.25,0.58,1.68,0.75,-2,-1,8.86,,4.26,3.4,7.5,3.79,10.09,3.77,2,-11.87,5.05,-7.75,-14,-2,1.5,,-1,-3.67,2.64,3.14,1.03,-1,,4.6,3,11.23,3.46,0.8,5.3,,9.72,-3,-2.69,3,2.32,1,2,-3,-3.5,3.9470279085,17,35,5,18
Green Bay,New Orleans,3,2.58,-2.28,-1,2.5,1.16,-3.5,4,8,5,,1.98,2.2,-1.66,3.02,3.63,3.14,1,1.77,0.15,3.25,-4.76,1,3,,5,-2.37,6.23,-4.92,-0.11,3,,-1.37,-3,3.37,-2.24,-12.6,-1.1,,6.37,-3,1.76,2,1.63,1,2,1,1.5,4.1583528024,3,52,5,49
Houston,Tennessee,3,-0.63,-2.36,0.25,2.56,1.93,1.33,2,5,2.66,,0.9,5.2,0.67,-1.51,1.3,-0.8,-1,3.93,2.1,3.65,4.74,7,3,,7,-3.3,1.95,3.2,2.27,3,,-4.27,1,0.23,1.41,-10.6,1.9,,8.11,-3,1.42,-1,1.42,10,-5,0.01,3.5,3.6066524809,34,20,5,-14
Jacksonville,Cincinnati,3,-0.13,-3.3,-1,-4.18,-3.61,-1.9,4,-4,-8.73,,-4.28,-1.8,-6.9,-8.27,-9.68,-5.87,-1,-5.32,-3.14,-5.25,-5.77,-4,1.5,,6,0.51,-0.83,-1.09,-0.39,2.5,,-3.28,-8,-11.95,-4.58,-0.8,-7,,-6.33,2.21,-3.06,-4,-3.31,-4,-3,-3,0.5,3.96112392,20,23,5,3
N.Y. Jets,Tampa Bay,-3,0.54,-2.4,-3,0.51,-1.92,-3.13,4,5,-4.22,,-3.89,-5.3,-3.64,-10.75,-5.71,-4.25,-5,2.39,-6.23,9.65,-14.67,1,-3,,7,-0.97,1.67,-0.17,-0.26,-3,,-3.76,-4,-8.08,-5.77,-13.7,-6.4,,-2.08,-3,2.16,-7,-3.05,1,-7,1,5.5,4.4952725853,12,14,5,2
San Diego,Pittsburgh,3,1.72,11.69,2,1.05,3.8,6.74,0.01,-6.5,2.63,,2.33,2.8,5.82,-1.1,10.22,-1.86,1,7.37,2.83,14.05,-13.35,3,3,,2,1.17,2.57,0.05,5.43,3,,6.79,3,9.99,5.42,11.3,6.2,,10.03,3,3.36,4,2.8,2,1,1,-0.5,4.2284703589,24,22,5,-2
