Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhatif,linewann,linetsr4,linedwig,linestd,week,hscore,rscore
San Francisco,Arizona,3,0.87,1.99,2,4.7,3.28,4,4.8,5.72,3.2,2.25,5.66,6.82,6.99,1.01,6.87,3,5.31,3.5,8.87,1.81,1,3,,1,0.87,0.87,4.33,5.73,3,-2.73,,,,,,3.1,-4,-0.92,-3.64,0.78,2.68,-0.28,3.05,0.4,0.4,5,,0.01,,3.74,4.63,7.3,2.5,,2.1,11.13,-1.26,0,10.2,2.8472558512,1,20,17
Seattle,Tampa Bay,6,6.95,10.21,6,10.48,6.54,9,8.5,9.92,4.2,2.25,8.28,10.12,0.9,7.36,2.16,8,-1.56,6.5,-3.33,5.79,9,6,,5,6.95,6.95,10.05,8.63,6,4.03,,,,,,3.8,8,6.5,6.64,-3.47,4.8,5.75,7.03,7.1,3.2,5,,9.1,,6.55,8.41,10,10.31,,9.7,9.23,7.28,8.48,2.3,2.686599644,1,20,6
St. Louis,Carolina,1.5,-1.86,3.51,0.25,-4.2,2.17,1,0.5,-0.48,1.7,2.25,5.82,-0.38,6.56,1.77,5.59,4,2.26,1,14.67,-0.78,3,1.5,,0.5,-1.86,-1.86,0.73,3.45,1,-3.7,,,,,,1.8,4,0.08,2.29,0.4,-0.23,-6.11,1.78,-0.6,-0.1,2,,6,,1.73,0.68,2.8,2.73,,6.6,8.26,0.93,1.86,7.4,2.6104173014,1,13,27
Washington,Miami,3,-0.19,-0.13,2,-0.18,0.55,3,0.8,1.92,-3.6,2.25,-1.08,1.32,2.61,-4.56,3.74,1,-2.44,3.5,-0.33,4.32,-1,3,,1.5,-0.19,-0.19,-0.67,0.34,3,2.63,,,,,,4.8,5,-4.07,0.21,-1.33,0.96,-0.54,0.65,-1.6,-3.2,1,,-4.5,,3.84,-3.77,4.7,4.29,,2.1,-6.42,-6.44,-3.55,8.5,3.0378112145,1,16,13
Arizona,Seattle,-3,-4.86,-2.64,-3,-1.34,-2.42,0.01,-1.67,0.07,,-2,1.15,-1.68,-15.86,-0.43,-8.5,-6,7.54,-4.5,4.09,7.26,1,-3,,1,-6.44,-3.65,-1.63,-1.68,-2.5,-5.63,,,,,-2.19,-5.4,-2,-3.3,-7.09,-3,-3.95,-6.69,-2.18,3.5,-1.1,-4,,0.5,,-2.18,-5.59,4.6,-1.48,,-3.5,-2.9,-3.79,-8.92,-9.9,3.9018207988,2,23,20
Baltimore,N.Y. Jets,9.5,2.18,3.41,5,14.76,6.69,9,7.21,10.07,,2.25,5.34,7.02,9.9,7.25,13.03,7,5.07,1,1.33,-1.39,12,9,,2,0.61,3.74,10.45,7.67,11,4.03,,,,,5.6,2,5,7.74,8.41,-3,6.06,1.57,6.14,16.8,6,7,,10.8,,6.84,5.04,10.9,5.1,,9.5,10.2,6.14,13.02,5.8,3.9614903613,2,20,13
Carolina,Houston,6.5,8.28,-2.12,6,1.94,3.26,10,4.19,7.47,,2.25,3.31,6.62,-2.2,4.08,-5.68,5,-6.9,8,-14.8,5.23,8,6,,3.5,9.25,7.46,4.83,2.44,6,1.9,,,,,3.55,-1.9,4,1.99,-9.87,-3,3.13,10.75,4,3.5,-1.2,4,,5.8,,4.48,1.01,9.6,4.63,,1.5,11.9,-0.72,-10.78,-7.3,4.7363550677,2,21,34
Chicago,Kansas City,12.5,7.85,8.34,4,13.62,8.38,12,6.98,11.77,,2.25,11.73,13.82,2.39,7.1,4.59,9,10.84,8,9.4,7.36,10,11.5,,5,6.87,8.88,8.5,10.18,13,5.97,,,,,5.54,6.4,14,8.47,-1.37,6.91,7.17,2.11,8.21,7.6,6.3,9,,7.4,,5.73,7.76,6.2,5.45,,8,16.9,8.21,-2.96,10.2,3.4782831175,2,20,10
Cleveland,Cincinnati,-7,-3.34,-7.95,-2,-16.57,-8.23,-6,-6.4,-9.13,,-2,-6.06,-10.68,-19.32,-14.12,-15.93,-7,-18.86,-2.5,-18.13,-24.01,-10,-7,,-5.5,-3.21,-3.68,-8.7,-6.01,-6,-13.2,,,,,-5.7,-3.6,-11,-9.18,-4.29,3,-4.57,-2.27,-7,-8.1,-13,-4,,-17.3,,-6.05,-7.16,1.1,-3.34,,-12.1,-10,-12.11,-1.98,-2.5,4.9518477665,2,51,45
Denver,Oakland,10,18.26,1.88,9,16.42,12.54,14,10.5,13.52,,5.3,17.74,15.42,12.87,19.21,5.79,13,5.36,14,5.8,-0.98,17,10,,2,19.24,17.51,16.3,19.26,9,8.83,,,,,8.75,6.4,16,12,9.35,3,10.51,7.26,12.96,20.3,13.9,12,,19.2,,10.49,15.73,12.8,5.99,,11.3,15.4,12.96,9.35,11.2,5.0108701504,2,23,20
Detroit,Minnesota,3,-0.61,3.43,0.25,-1.43,-0.13,2,-1.82,4.02,,2.25,-1.1,3.82,-4.48,3.61,-12.06,2,-5,-0.5,-0.2,-23.73,3,2.5,,6,-0.81,-0.55,2.41,-1.97,3,-3.4,,,,,-2.61,-0.4,2,-1.37,6.01,-3,-1.21,-2.34,-0.54,-0.8,0.2,-1,,6.1,,-1.25,-4.12,1.8,1.61,,1,-4.4,-0.54,9.04,-3.8,3.6245875569,2,20,17
Jacksonville,Atlanta,10,7.17,4.2,5,14.61,9.89,8,7.37,8.82,,2.25,17.22,7.32,12.85,12.87,12.23,8,14.16,7,8.74,15.97,12,10,,3,6.64,7.78,10.99,12.04,10.5,11.07,,,,,5.48,4.5,11,12.14,22.37,-3,8.48,-3.87,9.8,9.8,13,8,,20,,8.22,7.1,10,4.89,,13.2,13,16.08,10.64,19,4.2072629679,2,13,7
Miami,Dallas,-3.5,1.37,-4.06,1,-3.02,-1.62,-3,-1.89,-2.08,,-2,-1.03,-7.88,-7.01,0.47,-0.59,-6,-2.59,0.01,-13.6,-1.67,1,-3.5,,-3,0.48,2.24,0.81,0.4,-3,-10.6,,,,,-2.1,-2.1,-3,-1.44,5.51,3.36,-0.09,1.45,-1.03,-2.7,-0.4,-1,,6.2,,2.32,0.67,4.1,-3.47,,-4.5,-1.5,1.16,-2.33,1.2,2.8679448912,2,20,37
N.Y. Giants,Green Bay,3,2.89,-7.39,5,0.93,0.28,4,4.7,1.42,,-2,4.54,-1.78,-7.01,-2.28,-1.25,-1,4.14,1.5,-0.76,3.51,6,3,,6,2.27,3.48,-1.41,-1.67,3,-1.9,,,,,4.5,-2.3,-5,5.4,10.56,-1.76,1.44,-0.7,0.93,6.1,-6.1,2,,-2.3,,3.2,0.19,1.4,3.13,,-4.2,-10.5,0.31,10.56,-5.4,4.2213131296,2,13,35
New England,San Diego,3.5,8.46,-0.2,2,-0.54,4.51,4,3.11,6.42,,2.25,8.69,3.52,0.21,9.94,-1.1,1,1.89,6.5,2.4,2.9,5,3.5,,-1.5,7.56,9.3,5.48,8.86,3.5,0.93,,,,,1.56,3,4,1.85,-4.79,3.45,5.58,-1.31,5,12.6,5.3,6,,14,,6.26,0.34,5.5,1.93,,6.6,-2.3,5.15,-12.15,7.2,4.7135647628,2,38,14
Philadelphia,Washington,7,5.65,-1.27,2,6,5.06,7,7.15,6.12,,-2,11.5,1.62,-6.2,6.43,0.01,6,1.78,7,1.58,6.29,10,7,,4,4.72,6.6,9.55,3.77,6,5.97,,,,,6.68,0.5,8,8.14,1.56,-3,4.94,3.39,5.97,7.7,3.1,3,,8.5,,6.15,8.87,8.3,5.35,,3.2,13.3,6.42,-2.92,1.2,3.9326508049,2,12,20
Pittsburgh,Buffalo,10,10.22,12.15,6,8.86,8.23,12,4.87,12.32,,5.3,3.62,12.12,18.92,7.99,13.73,12,-5.72,11.5,-4.79,3.75,9,10,,2,10.28,10.39,5.72,9.13,9.5,10.6,,,,,2.73,10.2,8,1.54,0.42,-3,7.32,4.68,9.13,13.3,3.3,11,,4.3,,7.83,-0.81,10.5,3.46,,12.4,9.2,0.46,-0.02,20,4.5989000877,2,26,3
St. Louis,San Francisco,3,5.1,-5.41,4,6.45,1.2,0.01,1.43,0.92,,-2,0.31,1.32,-12.9,-1.75,-6.18,1,-0.07,4,-8.4,-3.56,4,3,,2.5,4.93,5.29,5.14,1.59,3,0.97,,,,,1.07,-2.6,5,5.74,-5.21,-3,2.1,6.52,2,5.4,-6.4,2,,5,,2.54,1.65,12,3.57,,-4.3,-4.8,3.33,-7.33,-6,4.9171167681,2,16,17
Tampa Bay,New Orleans,-5.5,0.96,7.2,2,-4.46,-2.42,-4,-0.86,-1.48,,2.25,-6.08,-6.48,2.6,-3,2.43,-2,-17,1.5,-24.62,-22.02,-3,-5,,-3.5,-0.19,2.12,-3.9,-4.22,-3,-3.87,,,,,-2.78,-2.8,-5,-10.11,-5.5,3,-2.03,-0.36,-2.79,2.5,-3.7,1,,1.4,,3.11,-8.37,4.1,-2.79,,-3.3,-6.8,-8.63,-5.5,8.1,3.9405502751,2,31,14
Tennessee,Indianapolis,-7,-4.57,7.63,-3,-8.19,-4.19,-6,-4.29,-6.68,,2.25,-4.54,-4.28,-8.11,-2.03,-5.23,-4,-1.41,-2.5,-2.6,2.19,-9,-6.5,,-0.5,-4.21,-4.95,-4.79,-1.43,-9,-14.17,,,,,-4.15,-1.9,-11,-8.25,-4.13,3,-0.97,-5.83,-4.54,-9.9,-2.1,-2,,-5.6,,-1.71,-7.2,0.01,-0.98,,-10.4,-8.7,-6.9,-15.29,7.7,4.5192642184,2,20,22
Atlanta,Carolina,-4,-1.09,-4.16,-1,-5.37,-4.42,-1,-1.66,-6.11,,-3.34,-3.29,-5.1,-13.23,-6.4,-9.18,-7,-3.31,-1,-8.2,-3.31,0.01,-4,,-1.5,-2.39,-0.1,-4.98,-8.99,-3.5,-10.7,-19.52,,,,-2.77,1.1,-7,-4.96,12.47,6,-1.36,-10.76,-3.67,-6.6,-4.1,3,,-5.3,-1.16,0.79,-10.54,2,-0.72,,-4,-11.52,-2.72,12.69,1.7,5.1402438129,3,20,27
Baltimore,Arizona,9,4.97,-6.03,6,18.13,6.35,7,8.65,8.96,,1.32,6.89,3.82,2,2.68,3,8,0.95,5,-2.82,0.95,13,7.5,,3.5,4.98,4.95,12.74,10.75,9,1.9,1.45,,,,8.3,5.7,5,18.89,12.33,6,10.87,2.31,5,6.9,1,11,,12.4,3.19,7.78,-6.24,13.3,2.51,,4,13.28,14.35,12.31,-1.6,5.1807055707,3,26,23
Chicago,Dallas,3,2.02,-3.35,3,1.51,-0.15,2,2.84,1.73,,-3.33,0.21,-1.9,-6.22,-3.11,1.25,2,-5.83,3.5,-8.8,1.55,5,3,,1,2.5,1.58,6.5,2.38,3,-14.2,-7.01,,,,3.05,2.6,5,-3.69,-0.3,-6,3.94,-5.43,1.3,-0.5,-1.2,2,,0.9,-1.12,4.2,-8.74,5.7,1.36,,-4,10.08,2.13,-0.31,-8.7,3.4956061008,3,10,34
Denver,Jacksonville,3.5,6.35,6.14,3,2.19,3.48,5,3.34,6.54,,2.92,0.12,5.06,1.44,2.13,3.95,7,-14.32,4,-10,-14.32,1,3.5,,0.01,10.15,3.51,4.89,7.56,3.5,-1.8,17.55,,,,2.79,2.1,5,20.24,6.97,-6,1.57,3.06,3.21,7.1,2.9,1,,-0.8,3.36,4.68,10.76,8,1.93,,2.3,17.02,-6.48,6.95,-2.2,4.3914842176,3,14,23
Green Bay,San Diego,-5.5,0.78,-4.81,0.25,-8.72,2.02,-1,1.01,3.39,,6.5,0.78,2.46,6,0.62,12.44,1,13.9,-0.5,15.8,13.9,-4,-4.5,,-7,-0.93,2.19,-1.45,1.77,-3.5,10.5,6.07,,,,-3.77,2.1,-3,-0.15,-20.85,6,0.86,0.21,0.93,-3.9,-0.6,1,,3.5,9.02,1.14,6.66,2.7,-0.83,,10.5,-3.8,-5.5,-20.87,10.5,5.6650144915,3,31,24
Houston,Indianapolis,-6.5,-4.2,5.65,-4,-5.91,-1.5,-5,-1.78,-2.65,,2.25,-2.94,-2.19,2.61,1.98,3.11,-4,3.37,-6.5,13.4,3.37,-9,-5.5,,-3.5,-7.25,-1.78,-6.25,-3.28,-6,-3.3,14.86,,,,-4.2,-1.5,-3,15.5,-2.69,6,-1.46,-0.62,-2.87,-5.9,6.6,-2,,-5.4,2.74,-3.38,0.16,-2.8,-1.16,,-2.7,-14.81,-6.96,-2.71,-3.2,5.2938389455,3,24,30
Kansas City,Minnesota,3,2.19,0.26,2,7.44,-1.88,1,2.15,1.01,,-6,-0.14,-0.1,-6,-3.86,-8.5,1,-18.68,0.01,-6,-18.68,4,2.5,,5.5,4.62,-0.22,7.58,1.29,2,-13.2,-11.61,,,,1.75,-1.8,2,-22.3,-36.14,-6,0.46,-1.93,-0.06,-2.3,-6.7,0.01,,2.1,-3.81,4.33,-8.34,9,-0.01,,-7.3,-6.96,2.56,-36.39,-10.7,8.3470951413,3,13,10
N.Y. Jets,Miami,3,4.08,-0.49,2,3.19,3.7,4,5.26,5.06,,2.25,6.06,2.35,-1.37,3.51,0.25,4,9.24,2,16.66,11.5,5,3,,4,4.09,4.08,4.71,8.94,3,-1.9,0.72,,,,3.33,5.6,4,6.21,0.65,6,3.91,-1.83,4,-2.5,2.9,4,,8.5,1.5,4.27,-2.34,6.3,3.1,,0.3,9.24,1.65,0.63,-2.8,2.6121059986,3,31,28
