Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhatif,linewann,linetsr4,linedwig,linestd,week,hscore,rscore
Dallas,St. Louis,13.5,20.99,8.95,14,20.1,17,15,9.17,11.23,,15,21.84,14.4,6,18.18,18.17,12,6,17.5,6,6,15,13.5,,3,19.93,23.1,10.39,29.45,11,15,25.58,34.19,,,6.96,13.7,8,42.13,34.78,17.78,12.12,9.12,15,18,13.6,14,,21.9,13.77,7.53,30.38,-7,8.38,,20.6,36.14,42.55,33.77,30.2,9.410662686,4,35,7
Detroit,Chicago,-3,-0.12,5.5,0.25,-4.46,0.66,-4,-4.59,1.17,,7.83,0.5,2.51,7.53,3.31,5.67,1,-1.04,-0.5,-6.62,-1.04,-5,-2.5,,-2.5,-0.81,0.51,-1.59,1.03,-3,2.6,1.11,2.89,,,-6.37,2.1,3,-4.49,-4.42,-4.77,-2.99,2.58,0.5,-0.2,-0.1,-4,,-2.1,4.04,-0.87,2.92,-4.3,2.24,,6.8,-2.99,-5.42,-4.33,9.6,3.8766939857,4,37,27
Indianapolis,Denver,10,16.13,10.86,8,13.74,12.94,10,9.06,8.52,,8.12,17.87,11.36,12.74,15.7,10.61,10,6,15,6,16.57,13,10,,4,16.61,17.96,15.23,26.86,9.5,13.7,15.39,15.39,,,7.61,11.9,11,19.37,3.33,6,8.39,3.5,12.5,13.9,8.7,9,,22.2,8.69,7.3,18.74,8.9,6.71,,12.5,19.63,22.67,3.3,24,5.237668631,4,38,20
Miami,Oakland,4,7.03,-2.79,4,8.27,5.73,8,4.77,1.6,,1.53,9.49,1.71,0.2,6.04,1.87,1,13.35,7,-0.43,-4.82,8,4,,1.5,5,8.64,7.57,6.92,5,4.9,3.77,10.99,,,4.98,2.5,-3,18.77,-22.15,14.66,5.84,1.6,6.04,10.1,4.8,7,,9,2.62,6.98,-10.42,8,1.49,,1.4,10.31,19.5,-22.1,6.7,6.0308851663,4,17,35
Minnesota,Green Bay,-2,-5.23,-7.45,-2,-1.18,-5.07,-2,0.49,-1.74,,-0.07,1.74,0.34,-0.13,-0.65,2.52,-4,-18.5,-3.5,-6,-18.5,-2,-2,,-0.5,-9.45,-2.17,-5.87,-14.37,-1,-4.8,-17.19,-17.21,,,1.86,-2.7,-3,-28.22,-20.89,-11.18,-1.45,-2.83,-2.7,-1.3,-7.3,0.01,,-7.1,1,0.94,-27.53,-11.6,-0.88,,-3.6,-8.58,-26.45,-21.04,-3.8,6.9077657456,4,16,23
N.Y. Giants,Philadelphia,-2.5,5.57,-11.05,3,-3.99,-2.04,-1,2.3,-1.57,,1.46,0.69,4,-9.71,-4.04,-5.06,-1,-9.32,4,-8.12,-9.32,-4,-2.5,,-3.5,6.13,5.05,-3,5.84,-3,-10.2,6.49,-0.21,,,2.46,0.9,-5,-5.79,29.63,12.06,0.63,-3.86,-2.47,-4.8,-0.1,1,,-5.3,-2.47,2.14,5.79,-12.8,0.71,,-2.8,-6.66,-4.96,29.98,-4.6,6.8713387251,4,16,3
San Diego,Kansas City,12.5,8.92,8.55,5,14.18,9.99,12,8.35,6.66,,4.42,9.79,8.75,6.38,11.89,6.07,8,15.51,9.5,17.78,15.51,12,12,,8,9.27,9.07,9.68,17.58,12,8.2,14.84,16.99,,,8.16,8.4,11,19.83,31.44,1.28,8.47,4.43,9.27,4.1,6,9,,11.3,3.87,6.49,7.08,16.9,3.39,,9.3,9.41,17.56,31.35,10.5,5.2712737238,4,16,30
San Francisco,Seattle,-2,-0.14,0.24,-2,-4.54,-1.64,1,1.08,1.76,,-2.53,0.36,7.59,-7.64,-1.87,-2.08,1,-11.82,-0.5,-15.06,-11.82,-1,-2,,1.5,1.29,-1.81,2.53,1.64,-1,-6.4,3.53,-5.91,,,0.08,0.4,3,-7.22,-8.39,-5.88,-1.99,-5.3,-0.5,7.2,-2.9,-1,,-0.1,-0.38,0.67,3.29,-7.5,1.2,,3.3,-9.13,-6.8,-8.21,-4.2,3.5875810071,4,3,23
Buffalo,Dallas,-10.5,-8.24,-7.81,-7,-10.96,-11.41,-10,-9.44,-8.84,,-10.91,-6.8,-6.42,-19.36,-19.33,-12.58,-13,-15.28,-8.5,-15.73,-11.81,-7,-10.5,,-7,-7.42,-9.11,-8.45,-9.88,-10,-24.4,-9.15,-12.18,-21.1,-7.79,-5.14,-5.4,-16,-19.48,-23.86,-3.04,-4.72,-13.56,-9.24,-25.8,-6.2,-8,-13.38,-9,-9.34,-0.52,-14.13,-4.3,-4.04,,-19,-17.83,-19.73,-23.87,-16.9,5.622688685,5,24,25
Denver,San Diego,0,2.51,3.38,4,-1.42,2.93,1,1.2,1.46,,2.21,-1.9,2.97,3.91,-0.36,4.08,4,9.22,1,6.74,18.2,0.01,0,,-0.5,6.02,-0.99,1.17,7.96,1,2.5,5.52,1.92,0.3,4.85,-0.49,2,3,-0.47,38.49,9.64,0.72,9.08,2.1,16.3,0.4,2,1.14,1.2,4.14,3.49,10.34,-1.2,2.72,,5.6,16.24,-0.23,38.52,-0.2,6.4774418411,5,3,41
Green Bay,Chicago,3,13.45,7.59,9,6.36,11.37,7,6.62,9,,11.4,10.55,6.7,16.83,15.72,12.1,9,12.1,12.5,5.61,15.5,6,4.5,,0.01,13.67,13.6,11.43,19.78,3.5,13.7,14.4,17.72,17.4,15.35,0.78,9.5,7,22.79,31.51,3.4,5.87,3.84,11.21,14,7.7,5,18.06,17.4,10.46,4.67,21.43,4.4,6.72,,14.1,8.7,22.54,31.5,19.9,6.2189999294,5,20,27
Houston,Miami,4.5,11.93,10.1,8,6.59,10.84,7,9.36,7.26,,10.24,15.58,6.2,11.72,16.3,9.78,8,18.32,11,18.2,18.32,7,5.5,,3.5,12.6,12.04,12.33,19.58,5.5,8.2,11.52,16.32,14,9.54,6.69,9.7,6,13.69,19.76,13.54,6.13,3.59,10.62,18.6,6.8,5,14.28,13.5,8.69,4.59,15.61,6.3,4.87,,12.1,13.18,15.61,19.85,17.3,4.3442721611,5,22,19
Indianapolis,Tampa Bay,10,13.19,10.08,8,15.44,9.64,9,11.2,5.73,,5.23,13.66,5.86,1.58,11.3,2.57,7,17.05,13,14.47,17.05,14,10,,3,17.85,11.1,15.51,18.69,11,3.1,10.73,7.42,9.9,8.45,12.84,8,6,10.49,37.55,6,8.91,6.07,9.95,13,3,10,10.67,13.1,5.3,8.41,12.17,9.7,3.75,,6.3,13.96,10.86,37.56,13.3,5.9877948728,5,33,14
Kansas City,Jacksonville,-2.5,1.81,2.22,-1,3.39,-0.85,-1,1.75,-0.91,,0.44,1.37,0.29,-6.02,1.29,-0.31,1,-8.16,2,-12.53,-8.16,-1,-2.5,,-3.5,-0.63,3.91,0.34,-0.75,-1,0.1,-3.44,-5.28,-2.2,0.14,-0.16,0.3,4,-4,-62,-12.57,-1.2,-5.39,-0.47,2.7,-1.8,-2,-3.8,2.3,0.74,1.47,-6.65,-4.7,0.37,,-4.8,8.14,-2.07,-62,-1.6,9.9314123845,5,7,17
N.Y. Giants,N.Y. Jets,3.5,10.92,6.22,5,5.31,7.71,6,6,5.15,,6.55,0.87,5.43,5.72,13.41,5.74,2,3.84,10,13.47,2,3,4,,3,12.16,9.78,3.68,18.98,3.5,1.7,14.52,12.92,16.5,10.91,4.29,4.4,5,16.33,8.82,-1.2,2.72,7.03,5.87,17.3,5.7,6,16.87,3.8,5.24,1.24,18.55,-4.8,3.87,,7.8,10.47,17.26,8.77,14,5.3120788958,5,35,24
New England,Cleveland,16,18.4,7.35,14,21.88,16.71,17,17.47,11.62,,12.95,19.07,11.48,16.04,25.7,17.37,13,6,20,6,6,23,16,,6.5,17.29,22.23,19.65,23.57,14.5,13.2,12.02,14.02,23.4,11.68,15.36,13.2,12,23.2,39.58,9.81,13.85,11.29,16.52,31.9,6.7,15,19.5,28.7,13.84,10.8,13.06,20,8.24,,18.3,28.8,24.49,39.28,26.9,6.9336971537,5,34,17
New Orleans,Carolina,3.5,-0.2,-9.71,-1,-7.09,-2.96,3,-1.53,-4.31,,-3.45,-1.66,-3.23,-9.01,-6.26,-6.65,-2,0.91,-2,-0.63,-3.19,2,2,,-1,1.42,-2.8,-4.63,1.65,3,-7,0.52,-4.68,-7.2,-2.59,-2.84,0.2,3,-8.38,-5,1.68,-0.86,-2.86,-2.91,-3.9,-1.9,3,-4.92,-4.5,-4.43,1.64,-3.12,-8.4,-0.76,,-5.7,-4.3,-6.59,-5.05,-5.3,3.4394651456,5,13,16
Pittsburgh,Seattle,6,4.66,4.87,3,5.69,5.51,3,3.18,4.32,,1.11,6.41,3.93,5.42,3.99,5.43,4,6,6.5,6,6,8,6,,4.5,3.39,6.81,8.58,2.58,6.5,4,2.55,3.32,3.8,3.45,3.38,3.8,7,6.57,-21.36,2.75,6.78,4.46,5.42,23.3,0.8,7,5.82,7.2,6.06,4.74,-0.73,0.4,2.57,,7.9,8.23,5.67,-21.48,8.8,5.4585526984,5,21,0
San Francisco,Baltimore,-3.5,1.1,-1.22,-0.25,-2.89,-0.18,-1,-2.29,1.02,,1.25,-1.05,3.68,-3.69,-1.3,-0.19,-1,9.08,0.5,8.48,5.64,-7,-2.5,,-1.5,2.57,-0.63,-1.51,1.29,-3,2.4,4.04,1.02,-1,3.17,-2.24,0.1,2,-0.75,22.27,3.89,-2.25,-6.43,-0.26,0.1,-0.5,-4,2.56,-4.5,0.7,-0.78,3.3,-10.2,1.32,,4.1,-5.91,-0.32,22.41,0.6,4.4967737079,5,7,9
St. Louis,Arizona,-3.5,-6.75,-7.83,-4,-4.67,-7.07,-4,-2.76,-5.5,,-7.84,0.22,-3.35,-10.8,-14.8,-6.52,-6,-11.78,-5.5,-4.76,4.32,-4,-3.5,,-1,-6.33,-7.3,-0.74,-6.51,-1,-17.7,-7.89,-11.88,-13.5,-7.15,1.7,-4.4,-4,-16.67,-19.27,-1.12,-1.87,-3.6,-6.17,-14.2,-5.9,0.01,-12.51,-11.4,-3.49,2.23,-13.76,1.3,-2.37,,-15.3,-16.88,-15.7,-19.26,-13.5,5.1670152846,5,31,34
Tennessee,Atlanta,8,12.6,13.79,8,9.25,10.86,8,7.7,7.29,,7.7,14.92,6.48,13.52,13.1,9.01,7,18.91,11.5,9.47,5.88,11,8,,5,14.13,11.24,13.53,18.05,9,7.2,13.74,13.02,13.1,11.01,6.73,9.6,9,12.67,10.49,19.54,6.28,4.11,11.13,14.7,5.6,6,13.47,14.6,8.07,7.5,14.85,4.5,5.22,,12.7,16.83,13.83,10.49,16.1,3.5110665116,5,20,13
Washington,Detroit,3.5,1.81,0.63,4,6.22,2.54,5,5.43,1.55,,0.95,1.13,2.09,4.45,0.17,4.15,1,-0.5,1.5,-2.52,-2.11,4,3.5,,1.5,3.38,-0.15,3.57,2.42,4.5,2.4,3.96,0.32,2.4,3.04,4.43,2.3,6,7.09,-0.15,0.62,3.54,3.17,2.41,5.4,0.01,5,3.46,4.8,4.42,6.12,1.53,2,1.23,,0.7,-7.46,6.48,-0.15,2.9,1.9722219734,5,34,3
Arizona,Carolina,5.5,3.51,2.38,3,4.11,4.66,5,2.69,4.97,10.1,3.43,-0.25,3.69,3.39,6.78,3.79,6,4.24,3.5,-8.63,4.24,7,5.5,9.45,-1.5,3.42,3.62,4.85,8.83,3.5,0.9,,7.52,6.7,6.76,-1.06,4.1,8,9.34,12.17,0.73,1.15,2.76,4.11,10.9,4,1,9.58,9.4,3.92,2.81,6.71,-2.5,3.94,,5.1,12.18,9.42,12.27,7.8,3.4256183602,6,10,25
Atlanta,N.Y. Giants,-3.5,-3.48,-5.98,-4,-5.09,-3.37,0.01,-1.44,-2.58,-9.4,-1.32,0.46,-1.65,-3.78,-1.92,-1.41,-3,-8.17,-3.5,-2.46,-8.17,-2,-3.5,-6.86,0.01,-4.55,-2.6,-2.88,-9.62,-3.5,-2.9,,-5.68,-5.7,-5.78,-2.17,-1.2,-5,-11.26,-19.65,-0.3,-0.68,1,-2.89,-5.7,-2.7,0.01,-4.86,-0.8,1.06,-1.47,-8.59,-4.9,0.35,,0.3,-5.81,-9.9,-21.27,-3.6,3.925073551,6,10,31
Baltimore,St. Louis,9.5,12.97,8.83,10,16.63,10.37,9,9.72,9.95,12.2,7.59,15.07,10.92,9.71,9.8,8.4,12,7.66,9,3.91,-5.78,13,9.5,13.88,6,14.99,11.16,12.34,19.3,10,5.8,,8.82,10.7,12.48,8.75,8.3,7,11.46,3.59,6.19,9.58,11.5,9.98,12.2,5,10,6.85,9.3,7.23,9.21,14.84,6.8,4.53,,13.2,15.5,11.69,1.25,11.6,3.3118707059,6,22,3
Chicago,Minnesota,4.5,6.64,3.17,4,4,2.8,7,4.87,0.91,8.8,-1.37,2.87,5.89,-4.74,2.98,-0.76,3,-0.75,4,1.2,1.98,6,4.5,3.53,7.5,10.04,3.11,6.71,13.12,6,-3.8,,-0.18,1.7,4.87,5.38,3.6,2,-1.31,12.18,1.95,5.11,0.5,2.93,-1,0.01,6,0.57,4.7,0.65,3.63,9.66,1,2.44,,0.5,7.07,-0.45,12.03,-0.2,3.6433957642,6,31,34
Cleveland,Miami,4,7.66,2.23,8,1.55,6.22,5,5.23,4.36,14.6,5.55,2.75,3.11,4.81,8.93,4.88,7,6.55,5,5.91,7.61,5,4,10.37,1,11.38,6.4,6.33,22.86,5,2,,10.32,8.7,9.86,1.37,7.3,5,8.6,-5.53,5.97,4.76,-0.23,5,4.4,4.4,3,10.08,10.9,4.49,3.31,16.92,1,3.84,,9.3,1.86,8.84,3.05,8,4.0873676958,6,41,31
Dallas,New England,-5.5,-0.57,-6.13,-1,-7.54,-3.38,0.01,-2.15,-1.05,-1.7,-0.27,-6.85,0.14,-0.99,-8.38,-1.61,-2,-5.88,-1,-1.53,-6.21,-5,-5.5,-3.19,0.01,1.56,-5.6,-3.1,-1.17,-4,-1.5,,-4.28,-8,-1.72,-2.66,-1.9,-8,-8.91,-6.03,1.67,-4.03,-2.47,-2.11,-2.2,-3,0.01,-6.29,-8,0.58,-2.02,2.36,-7.8,-0.08,,-1.1,-5.34,-8.38,-6.21,-8,3.0591121001,6,27,48
Green Bay,Washington,3,4.21,-1.11,3,0.53,3.21,4,4.96,-2.21,4.3,1.82,5.67,0.91,-0.92,3.69,0.82,1,0.05,5.5,-5.06,0.05,5,3,5.66,1.5,6.29,2.04,7.47,8.1,3.5,-0.8,,3.92,3.4,3.26,6.74,3.4,2,2.02,-46.97,1.14,4.85,6,3.54,8.7,1.2,5,4.18,2.3,2.44,4.01,1.75,4.4,2.74,,4.7,6.88,1.76,-46.66,4.4,8.0894437063,6,17,14
Jacksonville,Houston,7,7.33,8.84,6,12.01,5.78,9,5.29,2.55,6.7,3.94,5.39,1.32,6.03,8.69,5.81,5,2.02,5,1,18.5,11,7,5.81,1,9.37,5.51,6.61,11.53,7,1.3,,4.52,5.7,6.1,2.56,6.7,3,2.14,17.78,6.21,8.64,8.5,5.76,4.3,2.6,8,1.36,11.4,3.95,6.56,9.14,9.2,2.11,,6.9,9.05,3.45,16.6,5.7,3.3177873926,6,37,17
Kansas City,Cincinnati,-3,1.96,5.65,2,0.01,1.57,1,2.67,1.92,1.2,2.87,3.87,-0.26,0.76,2.9,1.99,1,1.94,0.01,-2.73,-17.69,2,-2,2.56,-3.5,5.1,-1.68,6.21,7.68,-3,0.5,,-0.08,1.4,3.41,-0.05,2.3,-5,-1.4,-17.73,2.3,1.69,-1.54,1.73,1,0.3,2,1,2.8,3.77,2.28,4.25,-3.3,1.76,,4,10.33,-0.31,-14.66,0.01,3.4832260485,6,27,20
N.Y. Jets,Philadelphia,-4,-2.32,-6.42,-2,-0.1,-2.77,0.01,-0.6,-0.83,-9,0.27,0.67,-0.09,-6.18,-4.43,-2.35,1,-6.28,-2.5,4.37,16.17,-1,-4,-6.42,-4,-1.62,-3.39,0.45,-1.35,-3,-5.5,,-5.28,-6.1,-1.46,-0.12,0.3,-4,-11.75,28.2,0.22,1.79,1.5,-1.81,-14.7,-2.7,0.01,-9.22,1.3,-0.72,1.44,-6.32,-5,0.57,,3.4,-6.32,-10.79,25.55,-5.8,5.7220284905,6,9,16
San Diego,Oakland,9.5,9.23,4.05,8,11.44,7.22,12,10.8,-2.36,9.5,3.67,16.42,-0.14,2.3,6.32,3.36,6,5.95,9.5,2.13,2.52,16,9.5,11.68,4,11.1,7.49,8.27,14.94,10.5,0.2,,5.62,6.5,4.67,10.77,7.3,4,10.66,11,1.9,10.44,1.18,6.9,3.2,2.8,11,13.35,11.6,3.5,8.95,3.31,4.9,1.71,,0.7,13.2,10.81,19.02,8.8,4.6380292633,6,28,14
Seattle,New Orleans,6,13.82,10.76,11,11.1,11.99,9,8.62,12.01,17.6,11.43,10.69,11.61,15.46,16.61,11.36,10,8.26,14,11.84,8.26,8,7,20.54,1.5,13.74,13.99,12.12,18.75,6.5,10.2,,16.72,16.8,14.35,7.38,9.7,3,21.14,13.31,0.31,6.13,10.5,11.4,0.01,8,4,19.44,15,10.01,8.28,14.62,-1.2,6.48,,9.6,27.08,20.97,10.67,19.4,5.3710680403,6,17,28
Tampa Bay,Tennessee,3,-0.98,-0.91,1,-1.5,-0.35,2,-0.32,1.3,-3,0.79,-2.38,1.18,-0.16,-2.49,1.95,1,-4.23,-1,-5.36,-2.65,0.01,2,-1.31,2.5,-1.92,-0.14,0.44,-1.73,1.5,-1.3,,-2.98,-3.7,0.2,-2.03,0.3,5,-3.16,-9.93,-9.94,0.5,1,-0.54,-4.7,-1,2,-1.59,-1,2.22,1.89,-4.07,-3.6,1.11,,2.5,7.38,-2.66,-10.33,-1.5,2.5182512414,6,13,10
Buffalo,Baltimore,-3,1.27,-5.93,-2,3.36,-0.71,-3,-2.43,2.85,1.5,-0.5,2.06,-0.87,-8.47,1.14,-3.2,-5,2.7,0.01,5.9,-0.5,-3,-2.5,2.66,-6.5,0.3,2.3,0.6,0.19,-3,-6.3,2.27,5.12,3.3,-1.32,-4.73,-0.6,-2,2.52,10.65,0.68,-0.91,0.01,-0.18,-9.2,1.7,-4,3.58,4.1,-1.36,-0.68,-3.82,-1.2,1.06,,-6.5,-3.66,2.88,10.9,3.3,3.7730343866,7,19,14
Cincinnati,N.Y. Jets,6,6.49,2.04,7,3.87,5.05,7,5.42,1.23,10.2,5.21,9.12,2.05,4.57,7.25,4.82,5,1.92,5,1.64,12.11,6,6,5.67,5,7.91,5.5,2.95,10.81,6,1.4,5.57,4.42,4.8,3.76,4.54,4.9,2,2.99,3.45,0.73,4.27,5.49,4.9,12.7,2.9,6,6.87,6.1,4.16,5.7,6.51,0.2,3.12,,0.2,10.45,3.2,1.99,5.6,2.4979323011,7,38,31
Dallas,Minnesota,9.5,10.73,5,9,10.63,8.96,11,9.19,3.7,11.4,5.21,16.27,3.73,5.64,12.86,5.38,10,15.25,14.5,6,15.25,11,9.5,10.19,9.5,10.54,10.96,12.29,13.84,10,4.6,8.95,7.62,9.1,9.2,8.36,6,6,9.68,20.99,7.14,7.69,11.5,9.23,12.5,6.4,9,12.16,10.6,6.2,6.76,12.02,-2.1,5.97,,11.9,12.48,9.23,20.56,13.1,3.8389463359,7,24,14
Denver,Pittsburgh,-3.5,-3.95,-9.92,-5,-12.71,-8.98,-6,-6.55,-10.1,-11.2,-8.85,-11.32,-4.12,-18.78,-17.51,-11.62,-6,-6,-9,-14.63,-6,-8,-4.5,-12.19,-3,0.08,-9.78,-9.98,-6.21,-3.5,-14.7,-1.17,-10.78,-11,-8.54,-0.76,-6.7,-4,-19.96,-34.14,0.73,-5.84,-8.5,-8.85,-9.5,-10,-3,-19.4,-20.1,-8.3,-2.55,-4.03,-6.7,-4.08,,-13.1,-4.21,-18.9,-31.55,-17.7,6.257317621,7,31,28
Detroit,Tampa Bay,2.5,-1.19,-3.08,-2,-1.76,-3.17,-4,-5.07,-2.34,-4.8,0.38,-4.75,-1.38,-6.38,-3.9,-1.64,-1,-4.69,-1.5,-8.53,0.86,-5,1,-2.41,-2,-1.3,-1.22,-3.12,-4.43,1,-5.1,-0.05,-0.88,-1.8,-0.25,-3.34,-3.5,1,-5.53,11.22,1.03,-2.39,-1.78,-2.41,-6,-3.9,-1,-6.5,-13,-1.24,-3.02,-5.79,-4,-1.06,,-11.5,-8.26,-5.69,9.75,-7.1,3.1673718455,7,23,16
Houston,Tennessee,-1.5,-1.69,1.32,-1,-2.09,-1.34,-2,-0.27,-3.53,-3.3,-1.79,3.36,-1,-2.87,-6.37,-0.11,-1,-2.67,-1,-1.63,-1.01,-3,-1.5,-3.62,1.5,-1.92,-1.51,-1.48,-1.89,-1,-3,-0.92,-3.98,-5,-1.08,0.84,-1.9,3,-4.59,-9.04,-9.7,-0.8,-1.5,-1.69,1.6,-2.8,1,-2.66,-6.2,1.15,0.38,-4.91,-1.9,0.74,,-0.6,-2.1,-5.02,-9.11,-4.8,2.510507641,7,36,38
Jacksonville,Indianapolis,-3,-2.13,2.72,-2,1.51,-2.08,-2,-2.11,-1.3,-6.3,-2.15,-2.26,-2.24,1.17,-5.14,3.03,-1,-7.39,-3,-7.36,-6.44,-1,-3,-3.39,-2.5,-5.73,-0.59,-2.23,-1.46,-3,-2.8,-1.51,-2.18,-4.2,-1.66,-4,-0.9,-6,-5.29,-1.66,-9.48,2.06,-1.8,-2.13,-5.4,-1.7,0.01,-4.73,-3.7,0.44,-0.11,-6.92,8.5,-2.35,,-0.5,-9.25,-4.35,-0.81,-3,2.7621744007,7,7,29
Miami,New England,-17,-19.88,,-20,-23.64,-17.44,-16,-16.55,-19.46,-25.4,-16.76,-20.09,-17.28,-15.14,-26.66,,-19,-6,-17.5,-6,-6,-21,-17,-24.3,-4.5,-23.14,-19.98,-18.96,-17.01,-14,-16,-15.6,-22.88,-28.6,-20.78,-12.18,-13.6,-13,-29.98,-51.82,-10.18,-12.08,-21.5,-17.5,-26.3,-14.7,-10,-26.59,-27.8,-9.64,-6.88,-35.43,-9.7,-8.63,,-15.7,-16.01,-29.46,-53.71,-29,8.4360229403,7,28,49
N.Y. Giants,San Francisco,9.5,14.41,8.72,11,15.27,11.83,7,10.49,7.21,14,9.09,16.03,3.7,11.91,13.91,8.62,12,7.57,11,11.91,17.57,11,9.5,21.77,0.01,13.68,15.23,9.53,22.44,10,5.9,12.15,17.82,19.4,12.48,5.8,9.3,8,20.51,14.51,2.01,9.22,12.41,11.91,21.8,13,10,15.3,18.4,7.9,9.42,14.51,-2.1,5.01,,16.6,7.91,22.63,15.87,21.1,5.5915949818,7,33,15
New Orleans,Atlanta,7.5,3.43,-0.45,4,1.07,2.15,7,4.12,1.23,5.8,3.29,5.29,2.18,1.56,-8.25,3.13,5,-5.54,1,-11,-11,8,6,2.58,3.5,5.55,0.01,1.66,8.81,7,-1.5,3.9,1.22,1.7,2.8,1.89,2.7,5,-1.5,-1.72,1.31,3.96,3.29,2.7,2.9,1.8,6,1.87,5,2.13,4.06,3.85,1.1,1.07,,7.5,-3.3,-0.4,-0.07,-0.1,2.8322580202,7,22,16
Oakland,Kansas City,2.5,-1.43,6.88,-1,-2.69,-0.17,0.01,-1.22,-2.14,-2,-0.78,-3.87,-1.45,2.62,-0.97,3.17,-1,-0.17,2.5,9.44,-6.76,-2,2,-1.61,3,-3.56,0.56,-0.86,-1.35,1,-0.3,0.1,-1.88,-2.7,-0.93,-1.77,-0.5,4,-3.79,-14.53,-0.56,0.12,6,-0.93,-9.2,-1.3,0.01,-2.84,-0.6,3.04,0.63,-4.56,-0.1,2.37,,2.3,-3.85,-3.36,-16.37,0.7,3.5455648835,7,10,12
Philadelphia,Chicago,6,5.78,8.57,4,5.63,5.93,4,4.26,2.67,5.8,1.56,2.28,1.06,9.34,1.41,7.53,7,9.05,6,8,9.05,6,6,10.65,2,2.94,8.81,4.15,8.33,5.5,4.3,3.45,5.82,5.4,5.93,1.65,3.4,6,9.84,12.76,-0.07,3.62,7.6,5.8,18.1,6.7,5,9.65,7.9,6.68,5.75,1.97,2.3,3.12,,0.9,12.25,10.2,10.5,11.6,3.3712964504,7,16,19
Seattle,St. Louis,8.5,14.43,10.31,12,14.6,11.04,9,9.47,7.55,13.6,13.19,12.64,4.87,12.79,17.42,9.59,11,7.6,13,9.17,18.37,8,8.5,16.68,4,16.12,12.83,11,17.45,9,7.4,12.17,14.32,14.4,13.28,7.57,6.6,8,15.96,5.9,6.32,7.16,12.5,12,-1.8,9.7,8,15.19,8,9.05,8.4,14.44,4.8,6.17,,18.7,15.36,15.62,4.71,17.3,4.2699813139,7,33,6
Washington,Arizona,8,10.18,7.54,7,12.2,8.02,4,5.2,6.03,8.1,6.62,8.8,1.64,9.23,3.2,7.48,7,8.15,8,9.97,8.15,4,8,15.97,1.5,8.35,12.19,2.94,12.97,6,4,8.77,12.52,13.4,8.86,1.29,4.5,8,16.15,9.86,1.48,5.8,7.1,8,5,9.8,7,10.49,8.5,6.45,6.39,6.46,2.2,2.48,,10.7,8.42,17.52,7.58,14.7,3.8380366832,7,21,19
Carolina,Indianapolis,-7,-10.19,-7.64,-10,-17.32,-10,-5,-7.39,-8.19,-20,-7.24,-14.97,-5.61,-6.67,-15.31,-3.23,-8,-16.04,-9,-16.49,-16.04,-11,-7,-13.92,-1.5,-11.5,-9.48,-8.11,-7.65,-6,-7,-8.37,-14.14,-15.5,-10.14,-5.28,-6.9,-7,-18.73,-40.69,-5.24,-5.94,-1.5,-9,-23.6,-9.7,-5,-14.74,-15.2,-3.21,-4.18,-15.56,-1.5,-2.67,,-4.3,-18.43,-17.82,-31.21,-14.6,6.0855266454,8,7,31
Chicago,Detroit,5,3.97,-0.04,3,9.49,3.96,8,10.04,4.18,4.1,-1.14,2.49,1.5,2.25,3.98,3.31,2,4.12,3.5,-4.08,13.84,10,5,5.76,3,4.83,3.15,7.37,1.67,4.5,-0.3,2.54,1.26,2.4,1.71,9.42,3.3,3,5.35,9.51,0.91,7.2,0.39,3.38,9,4.9,7,5.77,10.2,3.85,6.93,-0.66,2.1,0.41,,11.8,2.27,6,14.53,4.7,3.2854269314,8,7,16
Cincinnati,Pittsburgh,-3.5,-3.25,-6.89,-6,-6.81,-5.16,-1,-1.13,-0.35,-5.8,-4.79,-2.69,2.13,-11.33,-4.18,-6.85,-4,-10.88,-6,-10.97,-3.07,-3,-3.5,-6.58,-1.5,-1.51,-5.85,-7.22,-5.38,-1,-9,-1.95,-6.84,-5.7,-4.66,-0.86,-2.6,-5,-9.99,-3.13,0.39,-2.54,-5.76,-5,-13.9,-4.1,-2,-7.61,-4.1,-4.33,-1.49,-4.51,-4,-0.8,,-5.8,-8.63,-8.54,-13.88,-7.6,3.3848873464,8,13,24
Denver,Green Bay,3,-2.46,-5.35,-4,-7.31,-4.19,0.01,-2.14,-7.96,-6.9,-3.79,-3.19,-3.62,-10.71,-7.96,-4.65,-1,-9.79,-3.5,6,-9.79,0.01,1.5,-9.88,1,-0.27,-4.76,-6.31,-4.15,1,-8,-2.24,-7.24,-7.8,-6.65,-0.18,-2,-2,-13.58,-38.24,-0.18,0.62,1.52,-3.79,-5,-6.3,1,-9.7,-3.5,-3.55,0.86,-5.63,-6,-0.82,,0.5,-0.69,-12.99,-42.35,-6.9,6.7589861025,8,13,19
