Week,Day,Date,,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,spread
6,Sun,October 18,box,W,MIN,,BAL,33,31,426,0,448,0,-3
6,Sun,October 18,box,W,KC,@,WAS,14,6,268,0,265,2,6
6,Sun,October 18,box,W,JAX,,STL,23,20,492,3,262,1,-9.5
6,Sun,October 18,box,W,GB,,DET,26,0,435,2,149,3,-14
6,Sun,October 18,box,W,PIT,,CLE,27,14,543,4,197,4,-14
6,Sun,October 18,box,W,HOU,@,CIN,28,17,472,2,296,3,4
6,Sun,October 18,box,W,BUF,@,NYJ,16,13,296,2,414,6,9.5
6,Mon,October 19,box,W,DEN,@,SD,34,23,328,0,311,1,3.5
7,Sun,October 25,box,W,IND,@,STL,42,6,391,0,272,2,-13.5
7,Sun,October 25,box,W,DAL,,ATL,37,21,414,1,298,3,-4
7,Sun,October 25,box,W,NO,@,MIA,46,34,414,4,334,3,-6.5
7,Sun,October 25,box,W,CIN,,CHI,45,10,448,0,279,4,-1.5
7,Sun,October 25,box,W,ARI,@,NYG,24,17,288,2,327,4,7
7,Sun,October 25,box,W,SD,@,KC,37,7,403,0,203,3,-5
7,Sun,October 25,box,W,GB,@,CLE,31,3,460,0,139,2,-7.5
7,Sun,October 25,box,W,PIT,,MIN,27,17,259,1,386,2,-4
7,Sun,October 25,box,W,NE,@,TB,35,7,414,2,240,3,-14.5
7,Sun,October 25,box,W,BUF,@,CAR,20,9,167,0,425,4,7
7,Sun,October 25,box,W,NYJ,@,OAK,38,0,447,0,263,4,-6
7,Sun,October 25,box,W,HOU,,SF,24,21,336,1,297,2,-3
7,Mon,October 26,box,W,PHI,@,WAS,27,17,262,0,308,4,-7
8,Sun,November 1,box,W,MIA,@,NYJ,30,25,104,1,378,1,3.5
8,Sun,November 1,box,W,TEN,,JAX,30,13,430,0,330,2,-3
8,Sun,November 1,box,W,MIN,@,GB,38,26,355,2,351,0,3.5
8,Sun,November 1,box,W,STL,@,DET,17,10,362,1,289,1,3
8,Sun,November 1,box,W,BAL,,DEN,30,7,292,0,200,1,-4.5
8,Sun,November 1,box,W,DAL,,SEA,38,17,362,1,308,2,-10
8,Sun,November 1,box,W,IND,,SF,18,14,410,0,295,2,-13
