HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEPFZH,LINEBIHL,LINEBURD,VSCORE,HSCORE,WEEK
Indianapolis,Detroit,7,1.72,2.94,3.79,-2.28,3,2.08,1.64,7.8,0.11,5.51,4.33,4.5,5.3,3.21,6.83,7.6,4.34,8.47,7,3.71,2,2.19,6.52,4.1,18,30,9
Miami,Green Bay,4.5,9.24,10.5,9.2,11.18,9.25,13.39,11.44,9.8,12.31,9.68,10.46,11.6,6.8,8,10.1,9.01,10.16,8.21,5,13.18,8,9.47,13.47,11.3,20,28,9
N.Y. Giants,Philadelphia,3.5,0.55,4.16,-4.07,-27.74,-6.75,4.06,6.64,3.9,-1.77,1.29,-1.06,-2.9,1.7,-2.94,-2.45,-1.14,0.04,0.76,2,1.35,1,5.11,0.64,-2.4,7,24,9
San Diego,Oakland,-7,-10.65,-12.33,-13.42,-20.81,-10.75,-14.14,-11.38,-11.5,-15.46,-7.56,-10.05,-14,-9.1,-12.38,-12.23,-13.14,-11.39,-10.53,-11,-10.56,-14,-14.18,-12.32,-13.5,15,13,9
San Francisco,St. Louis,-7,-8.51,-0.93,-12.14,-13.57,-16.5,-9.94,-5.99,-13.5,-9.35,-5.7,-8,-11,-3.5,-10.75,-4.41,-7.8,-8.08,-5.38,-10,-5.36,-15,-0.36,-8.49,-6.9,34,24,9
Seattle,Kansas City,-4,-6.28,-10.13,-12.85,-12.07,-8.25,-6.91,-3.22,-11.8,-8.6,-2.94,-7.11,-18.1,-3.3,-11.26,-9.02,-5.74,-8.44,-2.97,-5,-7.2,-7,-8.91,-7.36,-17,24,19,9
Tampa Bay,Minnesota,3,-2.73,-0.45,3.74,14.04,-3.25,-4.27,-5.9,-4.8,-6.21,0.19,0.42,-5.1,2.1,3.11,2.87,2.08,-1.23,-0.97,2,-2.25,-4,-1.33,1.72,-0.8,13,41,9
Washington,Tennessee,4,-0.23,1.95,0.23,2.43,3,0.94,2.68,0.9,0.06,0.46,4.12,4.6,0.2,-2.69,1.02,2.16,1.7,2.89,3,2.47,-1,-0.22,1.74,5.7,27,21,9
Arizona,Washington,-10,-12.78,-13.28,-18.14,-16.7,-14.5,-13.72,-9.37,-17.6,-14.48,-10.27,-10.45,-14.9,-6.1,-13.05,-9.11,-14.94,-13.84,-11.7,-13,-16.19,-13,-15.94,-17.41,-18.9,15,16,10
Atlanta,Tampa Bay,-7,-10.95,-8.34,-16.43,-9.05,-15,-13.29,-1.73,-10.2,-7.13,-6.8,-7.07,-8,-4.2,-14.1,-10.78,-12.74,-10.41,-7.03,-10,-10.13,-11,-6.8,-15.83,-11.6,27,14,10
Chicago,Indianapolis,-7,-9.92,-10.54,-10.45,-10.76,-13.5,-11.39,-8.85,-11,-10.87,-7.76,-8.87,-12.23,-7.5,-8.08,-11.74,-11.63,-10.71,-10.3,-7,-11.06,-14,-11.72,-13,-12.1,24,27,10
Cincinnati,Baltimore,-6,-7.25,-10.11,-11.97,-10.39,-7.5,-8.29,-3.78,-12.6,-6.07,-5.71,-5.45,-4.9,-2.2,-12.19,-14.08,-10,-7.82,-5.23,-7,-4.58,-8,-8.3,-10.34,-1.3,27,7,10
Cleveland,N.Y. Giants,-10,-9.41,-15.38,-15.18,-21.07,-22.5,-13.06,-8.42,-16.9,-13.18,-9.3,-8.71,-13.6,-5.9,-12.61,-12.59,-12.17,-12.23,-6.67,-9,-10.09,-10,-16.8,-10.93,-14.9,24,3,10
Detroit,Miami,2.5,-1.72,-1.14,-2.35,-2.98,-2.5,0.6,2.77,0,-0.41,0.41,-2.83,-0.5,-2.4,-1.97,-4.87,-0.07,-0.52,2.34,3,-0.02,-2,-2.29,-0.27,1.1,23,8,10
Green Bay,Minnesota,-3.5,-7.07,-2.37,-0.62,6.35,-8.5,-9.51,-8.2,-9,-3.96,-2.1,-1.98,0.3,2,-3.46,1.55,-1.64,-3.79,-4.28,-1,-3.82,-8,-2.8,-5.75,3.7,26,20,10
N.Y. Jets,Denver,3,7.57,2.47,4.64,1.62,5,13.42,11.63,12.9,8.75,4.29,5.42,8.1,1.3,4.09,0.45,3.03,6.55,0.82,3,9.42,9,2.81,8.63,8.4,30,23,10
New England,Buffalo,2.5,0.54,-4.42,3.29,2.64,-0.5,-0.8,-1.07,0.4,1.07,2.74,1.85,0.4,2.1,3.29,1.15,2.26,1.29,6.25,2,2.55,-2,-4.45,3.89,3,16,13,10
New Orleans,San Francisco,5.5,7.29,7.17,9.09,11.19,6,10.93,9.24,3.9,11.46,6.58,7.89,10.2,5.3,7.68,10.03,7.62,8.8,16.33,5,10.12,9,5,10.77,9.7,15,31,10
Oakland,Kansas City,3.5,1.58,1.91,0.96,-3.47,-6.5,2.73,5.62,2.8,3.42,2.79,3.55,1.49,4.4,-0.18,5.51,3.57,2.59,6.4,6,1.97,3,1.31,2.83,2.4,31,49,10
Philadelphia,Dallas,3,7.43,10.71,11.7,4.47,8,10.37,8.66,4.5,3.55,6.53,8.84,7.2,9,10.58,9.64,5.5,7.68,7.8,1,8.58,7,11.48,11.08,4.9,13,16,10
Seattle,San Diego,4.5,4.58,6.49,4.83,13.68,11,6.9,8.76,2.9,3.99,4.49,3.07,0.8,3.4,3.16,3.98,5.33,4.74,3.23,5,4.22,5,6.3,6.68,0.3,15,17,10
St. Louis,Carolina,13.5,8.68,10.05,8.63,13.27,15.5,13.83,14.99,15.2,11.01,10.27,8.33,11,5,6.67,4.6,11.48,10.62,9.27,12,9.36,12,11,11.68,7.9,27,24,10
Tennessee,Pittsburgh,7.5,6.42,9.16,6.15,9.83,6,10.27,13.08,14.3,8.18,7.14,6.36,3.4,0.6,4.75,2.34,6.61,7.49,6.27,11,6.14,6,6.75,9.21,7,7,9,10
Buffalo,Chicago,7,8.69,15.84,4.67,8.65,7,10.26,11.34,8.5,4.72,9.28,8.51,10.1,7.5,4.31,10.6,12,9.13,10.52,9,9.69,10,12.34,14.91,8.2,3,20,11
Carolina,New Orleans,-2,0.11,-2.36,0.62,-0.6,4.33,-1.48,0.29,3.3,-2.14,3.31,3.8,2.6,1.5,0.78,2.02,3,1.18,-5.74,6,1.95,-1,-2.61,1.98,4,20,10,11
Cleveland,New England,,-8.84,-7.47,-13.49,-20.13,-19.33,-8.39,-0.05,-9.5,-7.68,-8.12,-7.21,-14.9,-3.5,-12.29,-5.48,-13,-9.87,-11.04,-10,-9.82,-7,-9.72,-10.77,-16.1,11,19,11
Dallas,Cincinnati,9,4.8,7.45,10.98,6.85,16,5.77,6.49,6.7,5.59,8.51,7.02,4.1,8.5,10.39,14.02,13,8.3,6.39,12,5.37,7,7.75,9.04,10,6,23,11
Denver,Oakland,3,-1.45,5.83,0.66,1.08,8.67,-0.93,-2.23,-2.3,-3.61,1.41,1.02,-5.1,1.9,0.83,1.55,2,-0.1,-1.42,2,-0.59,-4,5.56,1.3,-3.6,24,27,11
Detroit,Atlanta,8.5,10.57,9.77,11.31,8.73,11,14.14,11.74,8.1,6.83,9.45,7.79,9.5,7.4,10.26,8.86,11,10.17,10.62,9,11.49,10,10.07,14.07,8.8,10,13,11
Indianapolis,N.Y. Jets,6,1.46,3.46,3.67,4.85,5,1.81,2.77,3.2,3.06,3.74,3.61,4.9,4.3,3.67,6.31,4,4.03,9,5,4.58,1,3.06,4.19,6.2,15,23,11
Jacksonville,Seattle,7.5,3.31,10.72,1.99,2.66,-1,5.03,4.09,4.4,4.25,5.02,6.41,4.2,3.2,1.77,6.27,2,4.54,3.81,9,5.35,4,8.73,5.87,1.7,28,21,11
Minnesota,Arizona,13.5,16.01,15.01,14.09,25.06,22.33,20.19,19.24,10.4,12.25,15.29,11.51,9.6,7.6,12.54,12.52,19,15.47,16.77,15,17.94,17,12.81,21.94,14.3,14,31,11
N.Y. Giants,St. Louis,-2,2.92,9.74,2.95,-2.94,-0.67,6.12,7.19,3.2,6.84,1.78,2.62,4.7,6.6,2.73,5.47,1,3.89,-0.2,-1,5.01,6,11.44,3.95,4.5,38,24,11
Pittsburgh,Philadelphia,3.5,3.35,6.11,0.12,-7.12,2.33,4.74,3.93,4.8,3.68,5.28,3.55,13.6,3.9,-0.7,4.16,3,5.05,4.76,6,11.4,2,5.76,5.01,11.8,26,23,11
San Diego,Miami,-4.5,-13.75,-14.28,-11.95,-6.8,-10.67,-17.71,-14.55,-6.2,-12.84,-7.89,-10.35,-12.2,-7.9,-10.17,-12.84,-11,-11.72,-7.53,-8,-11.47,-15,-15.98,-14.22,-11,17,7,11
San Francisco,Kansas City,-3.5,-8.44,-1.13,-7.82,-6.74,-5.67,-9.13,-6.32,-7,-7.29,-4.76,-5.28,-9.7,0.9,-6.15,-3.01,-7,-6.89,-5.79,-6,-7.82,-12,-1.68,-8.49,-9.2,7,21,11
Tampa Bay,Green Bay,9,7.03,9.09,10.4,11.78,12,7.51,10.25,6.4,5.38,7.68,7.99,8.2,7.6,9.64,9.53,10,8.83,8.28,9,11.55,7,9.29,12.1,14.1,15,20,11
Tennessee,Baltimore,4,6.7,10.29,4.87,5.93,7.33,9.34,15.04,10.2,3.88,6.69,5.41,7.6,2.6,4.92,1.88,7,7.28,9.63,8,7.78,5,9.99,7.52,6.2,24,23,11
Baltimore,Dallas,7,9.38,15.24,8.05,1.97,-3,11.03,11.32,8.3,8.15,7.24,7.92,13,8.6,6.58,9.33,6.23,8.67,8.57,7,10.18,8,16.94,11.16,9.8,0,27,12
Chicago,Tampa Bay,-7.5,-9.46,-8.64,-9.19,-4.12,-9,-7.07,-4.36,-4.2,-14.83,-5.59,-7.9,-7.1,-6.8,-8.33,-12.64,-10.08,-8.41,-8.15,-7,-5.82,-10,-8.69,-10.27,-8.5,10,13,12
Denver,San Diego,10,12.94,22.66,13.63,9.72,11,15.77,17.64,10.8,16.31,9.84,13.15,16.4,11.4,12.68,16.2,13.81,14.3,11.66,16,11.28,16,21.86,15.47,12.8,37,38,12
Green Bay,Indianapolis,-4.5,-4.04,-0.91,-4.55,-8.33,-8,-2.63,-2.2,-1.1,-7.68,-0.72,-1.1,-0.2,0.1,-3.86,-1.23,-1.3,-2.78,-3.32,-1,-3.37,-4,-1.26,-2.25,-2.1,24,26,12
Kansas City,Buffalo,2.5,-0.76,-4.51,2.03,12.15,0,-2.33,2.01,-0.7,-1.31,3.14,-0.23,-6.7,4.3,1.64,3.36,5.09,0.22,5.41,0,0.43,-1,-4.36,3.17,-4.3,21,17,12
Miami,N.Y. Jets,3.5,6.08,9.68,3.59,0.48,6,6.19,7.67,6.9,10.34,6.95,8.21,10.2,7.7,3.35,11.44,6.03,7.38,7.61,4,9.24,6,8.89,7.22,11,20,3,12
Minnesota,Carolina,9.5,10.3,10.42,1.33,1.3,7,15.67,15.65,8.5,9.06,7.74,7.01,4.3,2.2,0.84,3.59,5.49,7.61,7.68,8,7.57,9,9.12,8.81,4.2,17,31,12
N.Y. Giants,Detroit,5,2.25,8.99,4.91,-12.96,0,2.23,4.9,3.5,6.21,3.85,4.82,0.2,6.1,4.72,8.58,4.07,3.95,2.17,4,4.11,2,8.87,4.33,3.2,31,21,12
New England,Cincinnati,7,11.06,8.88,12.42,14.22,16,10.52,6.86,8.6,5.21,10.06,10.06,10.7,9.3,11.27,11.77,12.75,10.45,13.58,10,8.66,7,9.25,13.29,10.3,13,16,12
New Orleans,Oakland,-3,-2.27,5.36,-0.62,2.41,-5,-0.38,0,-2.4,-1.93,-0.87,-0.31,-3.3,1.3,-0.31,2.42,-2.43,-1,0.42,-5,0.69,-2,3.9,-0.65,-1.4,31,22,12
Philadelphia,Arizona,7,13.71,14.96,17.06,17.42,10,12.13,12.31,9.9,13.38,12.15,13.09,13.9,10.4,15.19,17.16,16.42,13.78,13.41,12,13.76,12,13.38,18.17,15,9,34,12
Pittsburgh,Jacksonville,3,9.22,9.16,8.75,3.9,8,9.52,10.14,6,6.53,7.16,8.57,13.2,4.6,7.43,12.38,8.42,9.18,9.81,4,12.34,7,6.12,10.98,14.9,34,24,12
San Francisco,Atlanta,5.5,1.73,10.35,3.55,9.06,-1,1.74,2.66,4.8,4.71,4.47,3.07,3.8,6.2,3.51,7.37,5.19,3.99,3.47,4,4.87,2,10.5,4.82,4.7,6,16,12
St. Louis,Washington,5,4.27,1.27,5.33,6.22,11,5.49,4.65,4.5,6.4,5.82,6.05,9,6.1,6.25,4.94,7.91,5.86,3.65,6,6.11,3,1.37,6.07,9.5,33,20,12
Tennessee,Cleveland,16,19.85,22.04,19.42,20.86,21,18.47,21.26,18.2,15.47,17.03,16.59,18.9,8,17.41,19.39,19.29,18.94,19.18,20,18.67,15,18.04,22,19.6,10,24,12
Arizona,N.Y. Giants,-6,-9.84,-10.43,-12.97,-15.41,-8.8,-7.75,-3.52,-4,-11.18,-6.06,-5.87,-6.3,-4.6,-11.5,-8.61,-9.83,-7.85,-4.36,-5,-5.12,-9,-10.31,-9.22,-7.6,31,7,13
Baltimore,Cleveland,15,16.85,20.92,18.52,21.18,25,16.53,13.06,16.6,18.97,15.32,16.24,20.6,11.8,16.38,22.4,18.85,18.22,15.13,20,17.83,12,21.18,20.28,22.9,7,44,13
Carolina,Green Bay,0,-3.38,-0.61,-0.34,-3.96,2.4,-3.19,-0.47,-2.1,-3.91,0.99,-1.4,-3.5,3,0.03,3.45,0.74,-0.78,1.43,-2,1.31,-3,-0.23,0.07,-2.1,14,31,13
Cincinnati,Pittsburgh,-4,-9.97,-7.52,-11.66,-16.44,-14.2,-5.86,-2.82,-5.8,-7.63,-6.08,-5.83,-5,-4.4,-9.78,-11.28,-10.57,-7.57,-7.77,-5,-5.37,-8,-7.02,-8.09,-3.1,48,28,13
Dallas,Minnesota,-7,-10.96,-7.22,-3.65,-1.67,-4.8,-10.38,-8.05,-5.1,-8.59,-2.96,-3.98,-6.4,1.2,-3.17,-1.08,-2.52,-5.62,-3.92,-2,-5.71,-11,-5.72,-5.83,-5.1,27,15,13
Detroit,New England,6,7.4,6.98,5.17,-5.6,7.8,9.38,13.19,8.9,7.01,6.01,7.35,9.2,4.3,4.89,5.92,3.75,7.26,0.73,7,8.83,7,7.21,7.65,11.1,9,35,13
Indianapolis,Miami,5.5,-0.53,0.18,4.11,14.7,1.2,0.89,2.64,1.5,3.3,2.58,1.71,3.8,-0.1,3.77,0.56,3.27,2.39,3.61,6,2.61,-1,-0.62,2.62,5,17,14,13
Jacksonville,Tennessee,-3,-9.56,-5.2,-5.85,-9.33,-3.2,-7.18,-8.04,-4,-8.35,-3.91,-3.76,-5.2,-5.8,-4.78,-5.53,-4.6,-5.75,-7.86,-3,-4.65,-10,-8.54,-6.28,-4,13,16,13
N.Y. Jets,Chicago,7,11.23,9.69,9.04,4.68,3.2,10.42,12.1,6.6,8.64,9.74,10.12,8.9,9.4,8.24,13.24,12.69,10.14,10.17,10,11.31,10,10.46,14.3,13.2,10,17,13
Oakland,Atlanta,11.5,15.52,13.3,15.03,18.74,11.6,15.04,13.95,15.3,20.66,13.47,14.05,18,12.9,13.82,16.47,17.22,15.77,16.77,16,16.55,15,14.85,17.75,19.9,14,41,13
San Diego,Kansas City,-3,-6.77,-5.94,-5.28,-2.49,-4.8,-6.34,-5.08,-2,0.74,-1.64,-0.04,1.3,-2.6,-4.35,-4.45,-4.55,-3.36,-3.94,-3,0.08,-10,-6,-5.16,4,16,17,13
Seattle,Denver,-3,-5.85,-9.33,-7.35,0.56,-9.2,-2.65,-2.43,-1.2,-6.72,-1.6,-3.55,-5.9,-2.6,-6.65,-6.5,-4.43,-4.9,-4.18,-4,-1.78,-6,-7.93,-4.82,-3.8,38,31,13
St. Louis,New Orleans,13.5,4.59,2.31,4.02,0.12,6.4,5.32,6.42,6.2,3.8,5.95,5.67,1.5,4,3.97,3.21,7.08,4.49,0.75,8,2.94,5,3.05,5.85,0.9,31,24,13
Tampa Bay,Buffalo,4,2.24,-0.49,6.28,13.35,1,3.31,2.07,-1.1,2.55,4.07,4.1,-0.5,6.4,5.77,8.32,6.55,3.39,7.03,4,2.23,2,0.45,6.37,2.1,17,31,13
Washington,Philadelphia,7,3.28,7.43,2.24,-3.03,2.4,4.05,8.09,5.1,-3.06,5.01,4.3,4.2,1.5,-0.97,0.31,3.81,3.88,4.3,7,6.65,2,7.93,4.68,6.7,23,20,13
Atlanta,Seattle,1,-1,0.88,-1.14,8.69,-5.14,0.87,2.95,-7,2.08,-0.4,0.4,-2.1,3.6,-1.25,0.56,-3.18,-0.78,-1.74,-1,0.68,-1,3.71,0.88,0.1,30,10,14
Buffalo,Miami,3.5,-3.2,2.55,-0.92,1.89,-2,-1.42,0.45,1.9,-0.73,0.58,-1.83,0.9,-1.8,-0.73,-2.74,0.63,-0.3,2.05,2,-0.05,-3,1.71,-0.87,0.4,33,6,14
Carolina,St. Louis,-8,-2.59,-0.17,-1.46,-4.28,-5.71,-0.75,-0.6,0.9,1.9,0.08,0.21,5.8,2.4,-2.11,2.12,0.41,0.15,-0.68,0,2.9,-3,0.46,0.35,5.4,3,16,14
Chicago,Green Bay,-2.5,-1.57,-1.69,0.31,4.05,1.29,1.36,1.09,3.7,-1.49,0.57,0.36,5.9,-1.3,-0.92,-3.53,-2.23,0.5,-1.14,2,3.51,-3,-0.79,-0.79,6.2,28,6,14
Cincinnati,Arizona,4,0.07,4.48,3.22,7.1,0.43,0.82,1.41,-3.6,4.79,3.63,3.77,5.7,1.3,1.94,2.42,3.54,2.88,4.03,4,5.25,-1,4.15,4.54,8.1,13,24,14
Jacksonville,Cleveland,14.5,11.49,13.79,12.9,13.6,20,11.71,8.76,21.7,12.17,12.16,12.77,17,4.5,11.48,11.83,7.09,13,9.47,16,12.51,11,9.78,12.77,13.3,0,48,14
Minnesota,Detroit,9,4.48,4.5,0.38,-5.2,-0.14,4.94,6.61,4,2.09,6,4.86,0.3,4,0.48,5.09,5.67,3.85,7.22,4,5.57,4,4.6,5.15,1.8,17,24,14
N.Y. Jets,Indianapolis,2.5,3.03,3.11,0.9,-3.78,2.71,4.39,6.82,6.7,4.41,2.39,3.47,8.1,1.4,0.94,1.9,1.44,3.71,-0.09,5,4.87,3,3.26,3.59,7.5,17,27,14
New England,Kansas City,1,-0.64,1.07,-1.35,3.18,1.86,1.61,1.22,-1.1,1.01,0.48,-0.37,-1.6,1.3,-1.3,-1.58,-1.49,-0.26,5.54,0,-1.33,-2,3.27,0.12,-5.4,24,30,14
New Orleans,Denver,0,1.42,1.01,1.8,0.51,-2.14,3.3,2.86,-1.9,0.43,1.32,2.43,0.2,1.2,1.33,2.89,0.81,1.66,4.98,-1,4.52,2,0.91,2.82,4.2,38,23,14
Philadelphia,Tennessee,-3,-0.28,-1.02,0.93,-1.45,0.14,1.61,0.63,1.9,0.15,-0.31,3.57,5.4,5.6,1.17,3.91,2.13,1.5,-0.12,1,2.12,-0.25,-1.22,2.07,5.3,15,13,14
Pittsburgh,Oakland,-3,-4.36,1.46,-1.59,-5.93,1.71,-2.37,-1.28,-8.1,-10.11,-1.09,-3.09,-8.3,0.2,-1.91,1.01,-5.08,-3.45,-3.74,-5,-2.75,-3,0.79,-1.79,-9.6,20,21,14
San Diego,San Francisco,-2.5,0.9,-2.98,0.91,2.35,3,0.19,1,2.3,1.4,3.02,3.7,2.6,-1.6,0.5,-0.48,2.37,1.42,2.79,3,2.33,-3,-4.97,2.16,2.7,45,17,14
Tampa Bay,Dallas,10,14.53,10.78,13.22,13.93,4.57,13.96,11.95,16.6,10.68,10.69,11.84,17.9,10.4,12.2,11.22,13.47,12.67,12.08,11,12.79,11,13.28,15.38,17.5,7,27,14
Washington,N.Y. Giants,6,3.87,4.46,2.88,-7.81,1.86,4.14,6.15,3.9,-5.7,4.07,6.82,6.7,2.1,0.29,2.09,2.77,4.12,9.44,7,7.32,2,4.75,5.76,6.6,9,7,14
Baltimore,San Diego,13.5,18.2,18.48,16.67,16.13,13,18.33,16.95,15.9,19.24,11,14.12,19.8,14,14.61,18.72,15.78,16.77,12.03,17,16.44,16,20.85,19.06,24,3,24,15
Chicago,New England,2,-0.83,-1.73,0.4,1.87,6.67,1.08,3.52,3.5,1.3,0.98,1.08,4.9,0.3,0.68,-1.4,-2.12,1.02,-4.74,3,1.98,-1,0.52,0.2,2.9,17,24,15
Cleveland,Philadelphia,-14,-14.53,-11.43,-15.43,-12.02,-20.67,-10.87,-5.11,-18.8,-13.88,-8.72,-11.38,-16.1,-9.3,-13.15,-13.22,-13.42,-13.03,-9.87,-13,-10.38,-12,-11.13,-12.94,-15.6,35,24,15
Dallas,Washington,-6,-8.21,-8.81,-6.93,-12.94,-2.33,-6.27,-4.99,-6.7,-7.21,-2.7,-4.35,-6.8,0.01,-3.65,-1.93,-3.86,-5.15,-5.05,-2,-4.58,-6,-7.01,-4.6,-6,13,32,15
Denver,Seattle,10,10.53,14.24,9.87,8.29,10.33,10.21,12,9.9,10.76,7.42,9.76,10.8,9.1,9.36,10.52,10.01,10.49,9.7,11,9.79,11,15.74,11.48,11.2,24,31,15
Green Bay,Detroit,3.5,-2.03,0.21,-0.25,-7.42,-0.67,-0.01,-0.76,-1.7,1.05,2.24,1.77,4.4,2.5,-0.06,2.98,2.86,0.83,1.9,2,0.64,-2,1.46,1.23,2.7,13,26,15
Indianapolis,Buffalo,6,3.36,-1.01,6.92,12.64,5.33,3.46,3.88,-0.6,5.04,5.55,5.4,5,7.7,6.38,7.38,7,4.96,5.65,5,5.71,3,-0.41,6.83,9.9,20,44,15
Jacksonville,Arizona,15,13.62,14.06,15.73,20.27,18.33,11.92,9.47,20.1,15.13,13.31,16.72,24.2,6.9,13.92,12.75,17.52,15.98,12.87,18,16.39,14,12.16,16.07,25.5,10,44,15
Kansas City,Carolina,2.5,0.43,-2.57,-1.14,6.68,-2,0.68,2.5,-1.5,0.26,3.5,-1.44,-3.3,2.2,-0.89,1.1,4.89,0.06,2.84,0,-0.88,0.25,-0.45,2.7,-4.3,14,15,15
Miami,Tampa Bay,2.5,4.92,3.72,-0.1,2.23,4,5.82,7.87,5.6,3.65,4.99,2.64,0.8,3.5,0.1,3.7,3.6,3.93,3.66,2,5.86,4,4.82,4.95,6.8,16,13,15
N.Y. Giants,Pittsburgh,3.5,1.54,0.84,0.99,-10.36,3.67,4.66,5.52,5,1.04,1.14,2.1,0.7,2.7,1.78,3.47,-0.54,1.99,-2.61,3,1.08,2,1.84,2.72,1.7,10,30,15
Oakland,N.Y. Jets,3.5,-0.4,0.62,1.92,-2.87,-3.67,-0.63,0.53,1,4.1,2.86,3.3,2.8,5.9,2.23,6.39,4.65,2.58,7.6,5,3.93,0.25,2.57,3.42,5.6,7,31,15
San Francisco,New Orleans,3,-4.86,-2.13,-4.05,-9.58,-6,-3.07,-2.17,2,-1.81,0.2,0.34,3,-1,-3.21,0.46,-0.9,-1.31,-8.44,0,2.04,-5,-2.83,-1.66,9.1,31,27,15
St. Louis,Minnesota,3.5,-6.4,-1.93,0.67,6.45,-4,-5.01,-4.4,-8.8,-4.98,-0.42,-3.22,-5,2.9,0.88,2.13,1.68,-2.99,-0.96,0,-4.39,-9,0.73,-1.11,-5.5,29,40,15
Tennessee,Cincinnati,13,20.39,14.43,17.84,18.65,15.33,16.75,19.27,24.6,15.99,15.54,15.03,17.6,10.6,15.97,16.32,18.6,17.5,16.34,18,16.82,15,15.62,20.02,20.2,3,35,15
Arizona,Baltimore,-15,-17.92,-17.61,-19.25,-14.91,-25,-11.76,-6.96,-14.4,-17.69,-11.03,-17.32,-27.6,-8.7,-16.3,-15.62,-17.1,-17.26,-12.13,-18,-16.45,-15,-17.3,-16.93,-28.9,13,7,16
Buffalo,New England,4.5,7.73,9.36,5.93,8.88,5.67,7.57,10.15,10.9,4.27,6.83,5.02,7.9,4,5.56,4.03,4.8,6.06,-1.09,5,6.02,7,9.15,6.85,2.6,13,10,16
Carolina,San Diego,8.5,11.5,11.9,11.42,12,6.5,11.05,11.46,8.9,10.54,8.53,9.88,10.5,7.9,10.48,12.5,11.1,10.67,7.41,12,11.13,10,10.21,12.25,13.6,22,30,16
Cincinnati,Jacksonville,-10.5,-9.03,-6.55,-10.16,-10.4,-10.33,-6.84,-2.39,-15.3,-10.97,-5.98,-8.48,-17.7,-6.2,-8.56,-8.39,-11.5,-9.58,-5.09,-13,-7.37,-10,-7.77,-7.86,-16.5,14,17,16
Cleveland,Tennessee,-16,-18.92,-16.2,-16.34,-12.54,-18.5,-12.13,-11.68,-25.8,-14.87,-12.81,-12.22,-18.2,-10,-13.89,-13.72,-17,-15.79,-12.98,-17,-13.49,-16,-18.46,-16.04,-18.2,24,0,16
Dallas,N.Y. Giants,-6.5,-5.99,-4.98,-4.68,-9.5,-1.83,-3.54,-4.43,-7,-7.64,-1.13,-2.26,-6.1,1,-3.97,-2.94,-1.4,-3.54,1.78,-1,-2.35,-6,-3.18,-2.71,-5,17,13,16
Kansas City,Denver,-3,-3.59,-5.59,-2.27,-2.14,-4.5,-2.71,-2.46,-3.2,-5.97,-0.31,-4.78,-4.4,0.01,-1.88,-0.41,1,-3.15,-2.79,-4,-3.84,-3,-5.34,-0.75,-7.4,7,20,16
Miami,Indianapolis,3,6.04,5.28,1.51,2.76,6.83,5.01,7.22,6.1,5.24,4.85,5.11,5.8,3.9,1.73,6.26,4.3,5.22,6.07,4,5.55,6,3.28,5.64,6.6,20,13,16
Minnesota,Green Bay,8,7.51,5.09,2.2,5.19,5.67,7.92,10.7,8.8,6.29,6.28,3.52,-1.7,5.1,2.29,4.47,4.9,4.94,7.25,4,4.39,8,4.79,6.36,-2,33,28,16
N.Y. Jets,Detroit,6.5,4.62,5.11,4.67,-2.06,9.5,4.04,6.21,6.2,1.46,4.61,5.95,4.6,3.8,4.25,4.16,4.4,4.91,3.87,4,5.71,4,4.86,5.18,4.7,10,7,16
New Orleans,Atlanta,10,13.43,15.66,13.32,14.09,10,12,11.9,11.3,11.89,9.52,12.01,14.8,10.3,12.3,12.94,11.8,13.04,16.52,12,13.79,12,15.44,13.54,19,7,17,16
Pittsburgh,Washington,-1,1.72,3.22,2.65,-1.37,5.83,1.19,2.01,1.1,2.96,2.24,1.81,6.2,1.8,4.98,4.24,-0.1,3.02,2.08,2,4.07,1,0.97,2.71,6.5,3,24,16
San Francisco,Chicago,5.5,1.01,6.86,2.34,-0.25,-10.83,0.21,1.51,1.9,5.8,4.49,4.68,7.6,6.5,2.47,9.39,6.3,3.94,4.73,3,6.71,3,4.98,4.74,12,0,17,16
Seattle,Oakland,-6,-10.2,-6.5,-9.63,-4.03,-6.83,-7.19,-5.87,-6.3,-8.77,-4.42,-6.58,-10.3,-4,-8.33,-6.3,-8.4,-7.58,-6.18,-7,-7.1,-10,-6.7,-7.56,-10.6,24,27,16
Tampa Bay,St. Louis,-1,7.54,5.23,6.81,8.81,5.5,6.89,6.04,7,3.21,6.18,8.16,8.4,8.9,6.41,7.24,8,7.23,8.18,8,8.08,10,7.13,8.43,12.1,35,38,16
Atlanta,Kansas City,-4,-7.44,-6.69,-7.5,-0.92,-3,-4.45,-1.82,-8.6,-4.03,-13.31,-5.84,-13.2,-1.3,-6.39,-5.56,-8,-5.76,-3.4,-6,-5.67,-7,-3.59,-6.03,-11.1,13,29,17
Baltimore,N.Y. Jets,6,3.9,10.3,4.74,2.81,6,3.12,2.77,3.2,9.66,3.87,5.04,10.9,10.8,4.39,11.98,6,6.09,5.91,8,6.07,5,13.7,5.91,6.9,20,34,17
