Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linematt,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhat,linewann,linestd,vscore,hscore,week,difference
Arizona,Kansas City,-3.5,-5.22,-0.26,-4,-6.27,-5.16,-4.12,-2,-38.12,-6.19,,1.23,-5.8,3.66,-8.55,-4.01,-5.22,-2,-12.4,-0.79,-12.04,-6,-12,-3.5,,-3,-2.17,-8.78,-3.62,-9.7,-2.5,0.19,-7.86,-5.5,-2.37,-1.9,-4.1,-5,-17.73,-17.16,3.05,-1.67,-6.83,-4.56,-9.4,-11.7,-4,,-14.9,-5,-3.25,3.8,-1,1.05,,,,,6.9105025099,23,20,5,-3
Carolina,Cleveland,7.5,8.39,-1.01,6,6.22,5.83,7.1,10,9.81,5.52,,3.13,6.18,8.9,4.15,4.16,3.84,6,3.62,7.85,3.57,6,13,7.5,,12,9.86,7.09,8.59,8.97,8,6.31,0.94,4.6,4.97,7.2,7.2,7,0.9,20.68,3.4,9.26,-4.12,6.2,4.7,10.9,7,,9.2,4,6.75,12.5,-1.1,6.35,,,,,3.1957179304,12,20,5,8
Chicago,Buffalo,10.5,12.61,9.2,7,12.54,11.19,17.59,13,28.87,15.21,,9.62,8.44,13.21,12.55,16.76,13.79,11,6,3.82,6,6,13,10.5,,-6,13.11,12.21,12.68,21.67,11,13.19,9.14,17.8,10.7,15.4,8.4,10,15.92,31.08,8.01,7.32,11.03,11.75,13.8,13.6,9,,16.2,13,11.29,18.6,7.4,9.8,,,,,5.2929026397,7,40,5,33
Denver,Baltimore,4,1,5.24,1,9.17,0.88,2.78,5,-1.47,-2.81,,-7.05,2.8,-8.34,-4.31,-1.32,-0.53,1,-3.39,-1.62,-4.21,-6,6,4,,4,4.39,-1.88,5.79,6.81,4.5,2.66,-2.16,-3.2,0.54,-2.25,1.1,5,-4.51,-4.32,5.45,6.29,-3.28,1,0.01,5.3,3,,5.2,-4,7.19,-7.9,0.6,-1.5,,,,,4.1628291694,3,13,5,10
Green Bay,St. Louis,-3,-0.71,0.15,-2,1.1,-2.25,-4.54,-1,-3.7,-3.36,,-6,-0.85,-10.42,-5.33,0.64,-4.06,-5,0.98,-5.47,0.45,6,-1,-3,,5,-1.8,0.31,-1.85,-4.36,-3,-1.12,-2.56,1,-0.42,-6.9,-3.8,4,-0.01,0.93,-2.23,0.68,-4.77,-1.46,-16.2,-1.3,-1,,-5,-4,-3.05,-4.8,-3.8,0.1,,,,,3.7084429513,23,20,5,-3
Indianapolis,Tennessee,18.5,23.13,18.76,19,20.98,19.3,31.56,19,32.31,21.12,,18.93,19.23,23.51,16.75,24.53,17.39,17,6,15.24,6,-6,21,18.5,,15,30.26,20,18.13,36.32,18.5,22.62,16.74,24.4,17.5,25.5,13.8,14,23.44,13.92,6,13.95,15.46,18.96,20.7,19.7,16,,24.3,17,20.48,38.1,18.9,14.5,,,,,5.242127199,13,14,5,1
Jacksonville,N.Y. Jets,7,5.47,6.04,4,8.18,5.02,3.86,7,-10.19,3.74,,1.52,3.36,0.98,2.81,3.25,2.86,6,2.23,11.32,2.74,6,9,7,,2,3.18,7.78,7.04,8.55,6.5,2.31,1.54,4.3,2.63,13,3.9,8,5.83,23.43,-1.15,5.6,3.02,4.1,10.3,9,5,,6.1,3,7.04,1.5,11.6,4.2,,,,,3.9218185143,0,41,5,41
Minnesota,Detroit,6.5,15.04,8.17,9,12.43,10.36,12.83,10,14.12,9.95,,10.62,6.06,10.32,8.64,13.38,7.18,9,6,9.13,6,6,12,7.5,,5,16.58,14.04,14.19,13.5,6,11.61,10.44,17.1,10.77,-3.1,10.2,5,19.38,1.9,4.74,9.51,6.85,10,8.1,13.4,10,,15.5,9,8.89,21.7,11.1,5.95,,,,,3.9973034433,17,26,5,9
N.Y. Giants,Washington,4.5,3.31,0.18,3,2.54,2.24,4.22,5,-2.64,-0.44,,2.27,3.21,-3.22,0.91,4.34,1.12,2,-4.25,7.74,-4.53,6,1,4.5,,1,6.58,0.16,0.34,4.77,4,5.59,-1.06,3.5,0.99,1.15,4.8,5,-3.01,-5.91,11.77,4.51,2.5,2.52,4.7,2.6,6,,0.2,1,5.09,8.1,2.2,3.3,,,,,2.6198772519,3,19,5,16
New England,Miami,9.5,19.61,9.34,10,11.97,13.15,25.91,11,37.36,14.39,,13.31,6.21,12.8,11.68,23.06,8.6,9,6,5.24,6,-6,13,9.5,,14,20.71,18.65,7.31,21.68,9.5,17.77,17.74,23.1,14.85,12.5,10.9,11,24.06,-0.59,9.93,7.05,9.96,11.99,12.5,16.1,12,,18.9,9,14.45,18.4,7.3,9.6,,,,,6.5304572734,10,20,5,10
New Orleans,Tampa Bay,6.5,10.11,13.39,7,3.54,10.45,15.9,8,14.31,18.75,,13.69,3.08,21.51,17.03,18.05,13.73,9,6,8.49,6,6,8,7,,4,11.81,8.83,6.69,16.04,7.5,12.68,12.54,16.7,10.88,3.9,6.2,9,16.64,22.97,5.85,2.39,10.06,9.65,16.9,9,4,,9.6,14,6.98,25.6,9.7,8.2,,,,,4.9133490122,21,24,5,3
Philadelphia,Dallas,2,2.07,-0.64,3,1,0.24,2.64,-1,-2.26,-4.4,,6.39,0,5.31,1.67,-1.15,2.45,2,-7.22,-1.33,-6.49,-6,-2,2,,13,5.06,-2.73,0.63,-0.97,2.5,3.47,-4.36,-3.3,2.02,-8.15,2.4,5,-8.91,-15.75,7.33,0.55,-1.43,0,-1.4,-2,-1,,-1,1,-1.03,3.1,-3.8,4.05,,,,,3.9713704858,24,38,5,14
San Diego,Pittsburgh,3.5,6.85,9.93,5,4.45,7.58,11.08,5,11.11,18.55,,7.97,2.84,9.72,14.97,17.46,13.4,6,6,4.49,6,2.51,4,4,,2,3.39,12.99,1.17,6.57,3,7.47,8.04,20.7,7.78,2.9,1.7,2,19.82,3.46,2.29,4.81,7.52,6,5.8,6,5,,3.8,14,7.2,9.4,0.01,4.85,,,,,5.3360281569,13,23,5,10
San Francisco,Oakland,3.5,3.5,7.66,2,-1.23,3.36,3.78,2,-21.64,7.07,,4.37,0.25,6.08,5.9,5.02,5.58,6,-0.49,5.6,-1.02,-6,-3,3.5,,-2,8.15,-1.1,6.7,10.66,4,9.23,0.24,2.1,2.18,15.9,3.1,8,-6,5.94,6.96,0.21,-3.78,3.84,5.7,1.3,-1,,3.9,7,5.12,11.9,11.5,5.35,,,,,5.9418040037,20,34,5,14
Arizona,Chicago,-10.5,-13.57,-9.05,-9,-9.3,-13.22,-18.83,-8,-42.16,-9.05,-14.6,-11.82,-17.16,-7.27,-11.28,-19.48,-12.94,-13,-24.39,-5.52,-24.68,-24.39,-12,-10.5,-22.22,4,-11.75,-17.77,-11.29,-17.78,-10,-12.52,-14.57,-20.8,-12.74,-13.2,-12.7,-13,-25.83,-20.34,-10.95,-8.47,-9.44,-12.52,-21.9,-15.6,-9,-11.69,-21.9,-12,-10.5,-0.14,-2.3,-7.13,,,,,7.2049573244,24,23,6,-1
Atlanta,N.Y. Giants,3,2.16,3.01,3,0.52,3.22,0.92,0.01,-4.83,6.09,7.5,5.3,5.27,9.27,8.31,1.75,6.57,5,2.47,2.24,3.04,2.47,1,3,2.94,9,1.57,2.72,2.48,0.01,3,1.01,2.23,2.7,5.57,-2.5,-1.2,4,1.2,19.99,-5.59,2.28,-2.34,2.7,2.3,1.5,-1,6.13,-0.4,8,3.03,2.5,1.1,6.1,,,,,3.1293611984,27,14,6,-13
Baltimore,Carolina,3,6.24,4.8,6,6.19,6.73,6.47,4,3.31,10.01,8.7,10.02,5.47,8.44,11.01,9.15,7.96,5,10.61,5.49,11.26,10.61,3,4,11.4,1,5.8,6.69,5.19,8.81,2.5,5.36,7.13,8.6,5.9,10,3.2,5,10.41,19.49,3.08,2.9,1.79,6.24,9.4,5.2,3,7.9,7.5,9,4.24,5.9,10.1,7.06,,,,,2.5616974197,23,21,6,-2
Dallas,Houston,13,13.93,9.34,11,14.09,13.37,11.72,13,23.31,11.63,9.9,11.22,12.65,5.66,12.97,22.51,12.41,12,24.1,13.03,24.32,24.1,16,13,22.2,1,10.58,18.05,12.74,15.02,12.5,8.61,18.13,20.7,9.21,23.2,6.4,11,21.94,69.42,5.99,10.15,-4.37,12.65,30.6,15.9,10,9.9,17.3,18,13.89,8.5,6,11.71,,,,,5.6875666503,6,34,6,28
Denver,Oakland,14.5,21.85,17.43,13,19.14,17.6,29.21,16,41.7,20.71,16.5,11.73,17.96,17.91,16.37,24.29,11.19,14,25.82,8.44,25.91,25.82,20,15,27.71,9,23.02,21.12,19.19,29.14,15,20.26,23.43,24,21.53,26.2,14.8,9,27.03,17.98,11.73,13.15,-5.57,17.91,13.8,19.2,13,22.28,27.2,12,16.78,27.3,13,12.84,,,,,6.7388340346,3,13,6,10
Detroit,Buffalo,-1,-3.72,-1.39,-2,-0.65,-2.06,-3.78,0.01,-10.21,-1.96,0.8,-5.44,-4.03,-3.26,1.26,-3.96,0.98,-3,-2.04,-2.36,-1.91,0.84,-3,-1,-1.3,-4,-7.22,-1.55,-3.32,-3.77,1,-2.35,-1.17,-3.3,-2.16,-7.3,-6.4,6,-0.33,-2.44,-4.93,-3.13,-1.3,-2.16,-2.5,-2.4,-2,-3.32,-4.1,1,-3.09,-13.2,0.1,1.11,,,,,2.7427276982,17,20,6,3
N.Y. Jets,Miami,2.5,9.79,5.47,5,3.8,5.61,10.85,1,-8.12,7.82,5,10.37,-1.89,8.48,3.91,12.21,3.97,1,8.37,5.82,8.37,8.37,0.01,2.5,9.55,9,11.25,8.38,3.9,12.31,3,10.48,11.63,11.7,7.88,6.15,3.7,5,6.55,33.85,9.42,2.39,-0.04,5.19,2.7,5.2,1,9.02,1.1,3,5.19,19.1,1.9,6.35,,,,,4.3262398477,17,20,6,3
New Orleans,Philadelphia,-3.5,-0.44,0.01,1,-4.23,-0.87,-0.72,0.01,-23.57,1.44,1,-1.33,-7.11,2.11,1.36,-1.11,1.08,-1,-2.86,3.61,-2.66,-2.86,1,-3,1.07,-5,1.2,-2.26,-0.03,-0.88,-3,0.94,-2.17,-0.2,1.56,-5.8,-3.5,-5,-3.37,24.09,-2.36,0.71,-0.51,-0.2,1.3,-1.1,-2,2.15,-6.1,3,-2.02,2.8,1.6,1.25,,,,,4.3651900669,24,27,6,3
Pittsburgh,Kansas City,7,0.55,-3.22,-1,4.4,0.57,-4.35,3,0.62,2.78,-3,3.97,5.86,2.25,-5.45,0.4,-2.51,3,-2.61,4.78,-2.29,4.9,3,5.5,-3.57,7,0.91,0.02,2.78,-4.91,6.5,-2.41,-1.07,-1.4,-3.05,9.2,1.2,10,-3.89,11.94,-3.28,5.42,-7.91,0.55,-2,2.6,2,-2.98,3.1,-3,-3.03,-4.7,3.6,3.36,,,,,3.8191908283,7,45,6,38
San Francisco,San Diego,-9.5,-7.96,-2.73,-7,-17.53,-9.21,-5.92,-9,-21.53,-3.83,-9.6,-6.86,-13.54,-2,-10.68,-12.64,-9.86,-8,-15.76,-4.89,-16.03,-10.93,-18,-9.5,-14.57,-11,-3.65,-14.44,-7.3,-9.01,-9,-0.44,-5.87,-11.2,-4.75,-8.85,-6.4,-12,-17.56,-11.39,4.54,-8.3,-2.8,-8.3,-4.8,-14.7,-11,-5.26,-16.1,-11,-6.29,1.1,-6.7,-6.1,,,,,4.7704382227,48,19,6,-29
St. Louis,Seattle,-3,0.1,3.67,2,-0.64,0.42,0.17,-3,2.99,6.24,5,-2.56,-6.71,10.3,5.53,-2.3,4.99,1,-0.47,-0.91,0.08,10,-5,-2.5,0.76,4,-0.4,0.1,-0.24,-2.4,-3,-0.82,-0.97,-0.9,3.08,-10.45,-4.2,-6,-1.11,13.75,-7.07,-1.52,2.45,-0.4,9.3,-3.3,-3,2.73,-1.9,5,-3.03,5.8,7.8,-1.87,,,,,4.3017785331,30,28,6,-2
Tampa Bay,Cincinnati,-5.5,-6.71,-5.07,-6,-8.63,-6.04,-8.25,-3,7.09,-5.14,-5.7,-7.4,-9.68,-11.65,-6.15,-2.65,-4.55,-8,-6.24,-5.33,-7.01,-6.24,-3,-5.5,-9.38,3,-7.63,-6.09,-6.47,-12.61,-5.5,-5.92,-7.17,-6.2,-6.35,-11.5,-9,-11,-9.5,-40.87,-3.53,-4.85,-1.12,-6.2,-7.5,-7.9,-8,-9.34,-3.1,1,-4.5,-0.22,-3.2,-4.61,,,,,3.7507736716,13,14,6,1
Washington,Tennessee,10,12.41,11.75,11,10.53,10.6,12.04,12,-0.26,12.65,9.3,5.81,9.79,10.45,9.53,10.41,9.56,9,14.97,9.19,16.41,1.94,13,10,15.73,6,14.2,10.88,13,19.96,9.5,11.99,10.43,11.6,12.2,15.6,6.4,5,17.21,-5.27,5.61,7.83,-4.14,10.45,18,14.6,9,10.85,9.2,10,10.39,18.9,13.7,6.61,,,,,3.6647069623,25,22,6,-3
Atlanta,Pittsburgh,-2.5,6.58,3.85,2,-6.27,1.06,7.03,-2,-13.58,0.36,2,2.35,1.69,6.38,2.35,1.77,2.6,1,0.69,2.54,0.43,4.64,-11,-2,2.23,1.5,11.47,1.84,-2.21,7.67,-1.5,,5.93,4.4,4.92,-4.3,-1.3,3,-1.3,11.46,5.07,0.27,-2.21,1.8,6.5,-5.8,-2,5.14,-13.5,-3,3.05,14.9,-4.3,2.48,2,-7,,,5.3802849344,38,41,7,3
Buffalo,New England,-6,-0.9,-4.95,-5,-7.63,-5.17,-6.82,-7,-9.56,-7.57,-3.1,-4.15,-4.54,-8.2,-6.14,-3.34,-3.04,-6,-4.72,-1.69,-4.75,-16.36,-8,-6,-3.86,-3,-3.73,1.47,-3.96,-7.98,-6,,-2.87,-3.6,-5.39,-3.1,-5.3,-1,-5.71,-26.25,0,-5.33,-7.69,-4.98,-4.9,-10.2,-7,-6.96,-9.4,-7,-5.1,-15.8,-11.7,-2.95,-5,-9,,,2.7021717553,28,6,7,-22
Cincinnati,Carolina,3,3.01,1.17,2,-0.45,2.21,0.08,2,-11.49,0.99,4.9,5,4.32,-2.14,4.93,1.69,4.29,1,3.95,3.22,3.49,-10.45,-1,3,4.19,2.5,-1.3,7.82,-0.69,-1.21,3,,5.63,3.8,-0.53,3.25,0.4,1,4.59,-6.24,1.05,3.4,2.49,2.75,3,2.3,4,1.57,0.3,-3,3.31,-9.7,-2.3,4.5,1,4,,,3.2397481082,14,17,7,3
Cleveland,Denver,-5,-3.07,-5.23,-6,-8.89,-5.79,-9.89,-6,-2.33,-5.01,-6.3,-3.62,-9,-7.81,-7.79,-5.13,-3.62,-7,-4.03,-1.89,-4.22,-13.87,-9,-5,-5.34,-4,-7.35,0.49,-8.59,-9.72,-4.5,,-5.97,-5.4,-7.28,-6.4,-7.8,-4,-5.68,-16.62,-4.1,-6.81,-5.25,-5.99,-6.5,-11.6,-5,-10.23,-7.4,3,-7.17,-15.4,-8.5,-3.28,-2,-3,,,2.8684190428,17,7,7,-10
Dallas,N.Y. Giants,3.5,-1.2,-0.29,2,3.6,2.34,-0.97,1,1.03,4.38,6.9,1.77,-0.63,0.26,6.95,0.44,6.21,3,6.27,3.48,7.24,6.27,2,3.5,4.17,-0.5,-5.25,3.84,3.54,-3.85,3,,0.63,1.9,1.22,6.1,-1.1,2,6.55,-21.74,-3.73,2.9,1.07,2,7.6,2,2,1.67,3.5,8,0.99,-0.07,0.1,4.94,,,,,2.959571842,36,22,7,-14
Houston,Jacksonville,-8,-9.24,-9.55,-8,-13.27,-11.65,-14.91,-9,-39.19,-9.52,-8.1,-12.53,-13.92,-3.34,-11.46,-15.93,-8.91,-8,-16.5,-6.06,-16.49,2.71,-17,-8,-16.75,-5.5,-5.92,-13.8,-9.22,-12.08,-9.5,,-12.97,-15,-8.86,-22.15,-7.3,-12,-21.28,7.7,-3.51,-7.02,-13.07,-11.73,-21.9,-16.1,-9,-8.9,-21.6,-17,-9.69,-7.9,-5.2,-5.59,-13,-13,,,6.5171016489,7,27,7,20
Indianapolis,Washington,8,10.67,11.39,12,9.8,9.61,16.77,10,7.4,7.38,7.8,12.6,6.8,15.78,9.14,10.74,7.86,10,7.7,8.02,7.7,0.3,9,8,11.72,3,18.94,6.41,7.64,20.15,10,,11.23,11,12.62,12.85,8.2,11,9.6,-3.92,13.76,8.61,6.13,9.55,3.8,13.3,8,14.97,9.5,12,10.59,23.8,2.7,9.8,12,3,,,3.6818224047,22,36,7,14
Kansas City,San Diego,-5.5,-2.66,-4.85,-4,-3.08,-6.31,-8.02,-2,-35.32,-5.57,-7,-10.46,-12.19,-4.15,-8.53,-10.52,-7.21,-6,-15.07,-4.13,-14.74,-8.01,-3,-5.5,-13.05,-1.5,-1.48,-8.62,0.72,-9.12,-5.5,,-7.17,-10.3,-5.48,-7.25,-2.9,-7,-14.36,7.01,0.55,-3.45,-12.11,-5.79,-0.8,-7.5,-5,-5.84,-10.8,-8,-3.98,-0.2,6.3,-2.54,-5,1,,,6.0874552235,27,30,7,3
Miami,Green Bay,5.5,-0.54,1.48,1,4.32,3.03,-2.49,7,-1.85,4.33,3.5,3.25,1.23,2.44,4.24,1.91,4.02,4,2.78,2.2,2.94,2.78,9,5,1.59,8,-3.35,2.61,5.76,-3.46,4,,-1.37,0,-2.17,7.85,4.4,3,0.24,-15.94,-6.66,5.91,-1.48,2.97,5.3,4.9,6,-0.71,11,-2,3.09,-7.7,4.7,3.58,3,18,,,3.4360958241,34,24,7,-10
N.Y. Jets,Detroit,3.5,4.78,5.97,7,5.96,5.85,6.24,5,-2.87,5.05,5.3,9.77,4.63,7.42,4.63,6.26,4.41,4,6.7,5.32,6.55,7.24,7,4,6.11,4.5,7.36,1.52,7.36,9.73,3.5,,6.23,7.3,5.57,10.2,5.4,4,4.36,6.3,3.46,7.08,3.01,5.88,1.2,7.9,6,7.35,6,11,5.12,10.9,5.8,5.56,3,9,,,2.4109300907,24,31,7,7
Oakland,Arizona,-3,-1,-6.04,-1,2.62,-2.48,-7.49,-1,-21.49,-1.3,-3.6,-4.34,2.82,0.05,-3,-4.87,-2.45,-2,-4.22,1,-4.44,-4.22,-2,-3,-3.02,-7.5,-2.2,-0.44,0.47,-3.62,-3,,-5.67,-5.4,-2.45,-11.6,-2.6,-7,-6.26,-35.94,-5.66,0.8,-4.52,-2.45,1.5,-2.1,1,-1.9,-7.1,-7,1.03,-9.4,-4.1,0.29,-4,-1,,,4.3339009494,9,22,7,13
Seattle,Minnesota,7,6.02,5.22,5,10.43,5.28,8.22,8,-1.23,4.23,2.9,6.32,3.35,8.47,1.41,8.02,2.08,4,3.19,3.97,3.32,3.19,7,7,5.49,4,10.43,3.93,7.52,13.13,7,,5.93,5.8,6.14,6.15,4.9,8,2.29,50.75,10.43,5.14,1.77,5.07,-0.5,8,4,5.65,3.3,3,6.39,20.2,6.7,5.92,5,4,,,2.8081290968,31,13,7,-18
Tampa Bay,Philadelphia,-5.5,-2.87,-4.79,-4,-3.77,-4.95,-4.31,-2,-15.09,-6.38,-6.2,-8.33,-3.07,-7.04,-8.67,-7.1,-5.82,-6,-11.48,-3.61,-11.84,-13.91,-4,-5.5,-8.82,-4,-2.25,-3.63,-4.68,-5.03,-5.5,,-7.97,-7.5,-4.53,-11.5,-3.8,-4,-9.67,-12.52,-0.11,0.02,-7.74,-4.42,-9.1,-3.9,-2,-6.38,-6.2,3,-3.09,-6.7,0.01,-3.66,-6,1,,,3.2369391218,21,23,7,2
Carolina,Dallas,4.5,4.87,-4.04,,1.43,2.21,7.15,4,-6.58,0.94,0.3,1.27,2.73,5.65,-1.49,4.52,-0.18,3,0.09,0.22,-0.26,0.09,6,4,2.17,2,9.1,0.29,3.86,8.01,4.5,5.65,2.81,3.6,4.85,-3.95,3,6,-0.78,-18.86,2.02,4.53,-1.45,2.44,-6.7,6,2,3.61,2.7,1,3,9.1,-4.5,0.89,,,2,,3.6546339111,35,14,8,-21
Chicago,San Francisco,16,21.92,19.14,,25.57,20.58,23.54,20,40.59,21.77,19.7,15.76,21.48,16.71,19.28,23.11,19.97,17,28.73,15.48,29.38,28.73,25,16.5,29.45,9,19.8,25.05,21.28,30.95,17,16.87,18.41,22.8,20.29,23.8,14.3,14,30.69,55.98,12.8,14.87,16.15,19.98,21.1,20,16,17.69,29.2,28,18.31,34.2,17.6,14.08,,,11,,5.8064692895,10,41,8,31
Cincinnati,Atlanta,3.5,2.25,2.67,,3.74,2.55,2.62,5,-13.28,3.49,3.3,2.63,0.87,2.2,2.68,3.69,2.72,2,2.29,2.97,2.28,3.17,3,3.5,3.77,2,1.97,2.51,4.41,-0.08,4,2.13,2.91,3.2,2.25,1.6,4.1,2,1.92,13.5,-0.26,5.2,1.51,2.63,-2.2,5.9,6,2.46,3.7,2,5.06,-2.3,2,2.68,,,-3,,2.925473466,29,27,8,-2
Cleveland,N.Y. Jets,2.5,0.22,-2.19,,2.04,0.55,-1,2,-2.15,4.02,1.8,-3.04,-2.09,0.57,0.43,2.1,1.74,-2,4.21,2.11,4.23,-7.87,3,2.5,4.24,-1.5,-0.93,1.42,0.86,-3.12,1.5,0.86,1.21,2.4,0.53,-0.55,-1.6,2,6.25,-20.52,-0.28,-0.19,-0.17,0.71,2.2,1.6,1,-2,0.4,4,-2.18,1.5,-3,0.31,,,-8,,2.2117637813,13,20,8,7
Denver,Indianapolis,2.5,1.13,-1.64,,2.35,1.82,0.19,3,1.29,5.18,6.2,-2.52,-2.58,0.03,5.64,5.13,5.45,1,3.73,1.44,3.44,-12.08,5,2.5,3.63,0.01,-0.48,1.66,4.93,0.05,3,2.74,2.41,3.7,2.59,-4.4,4.3,3,2.94,-6.23,-8.96,4.82,-0.89,2.38,-1.3,2.5,2,2.52,5.5,-4,3,-6.9,0.4,0.8,,,-5,,2.678820545,34,31,8,-3
Green Bay,Arizona,4,6.41,5.08,,6.22,4.19,7.93,4,3.13,5.38,2.8,-0.02,-0.99,7.29,3.34,8.27,3.01,4,5.33,2.86,5.74,-4.6,2,4,6.82,-7,8.53,4.1,2.42,9.09,3,5.87,5.41,5.8,6.98,-5.2,2.8,6,4.79,-4.1,1.85,4.14,1.79,4.32,4.5,7.2,3,6.3,3.5,7,3.19,11.7,0.3,4.14,,,5,,3.2935489791,14,31,8,17
Kansas City,Seattle,4,-0.15,8.56,,8.92,3.38,-2.25,3,15.54,6.28,4.1,-1.57,5.3,1.63,4.46,2.59,4.05,5,4.47,0.07,4.35,5.34,7,4,2.49,-1.5,-4.31,3.31,3.87,-2.9,4.5,-0.91,1.61,1.9,2.58,-3.3,1.7,7,5.45,-8.69,-1.46,2.67,2.83,3.15,3.3,4.3,1,0.72,9.5,8,-1.01,-0.5,14,2.44,,,8,,4.2919726262,28,35,8,7
Minnesota,New England,-1,0.59,-4.32,,-2.12,-0.49,2.11,-2,-3.31,-4.45,-1,-1.58,2.63,0.08,-0.47,0.07,0.24,-1,-0.31,1.18,-0.39,-0.31,-4,-1,1.59,1,1.33,-0.03,-0.48,-1.89,-2.5,1.77,0.71,0.5,-0.28,3.3,-0.4,-3,1,-15.78,0.89,0.3,-4.58,-0.16,4.4,-2.1,-2,-0.26,-3.2,3,0.98,-6.1,-9.8,-1.26,,,2,,2.5480113719,31,7,8,-24
N.Y. Giants,Tampa Bay,8.5,10.54,11.59,,10.43,10.78,10.44,12,22.41,11.31,7.8,9.59,12.54,7.9,11.36,13.27,8.94,9,13.87,9.34,14.11,4.24,15,8.5,14.67,5.5,9.22,11.91,8.75,16.09,9,7.34,11.01,11.4,9.36,16.5,9,11,12.79,4.54,2.89,9.05,7.74,11.01,12.8,12.7,9,11.16,15.7,12,11.28,5.4,5.5,6.92,,,13,,3.1825547722,3,17,8,14
New Orleans,Baltimore,1.5,3.06,5.41,,-1.29,2.63,6.93,2,16.76,7.72,1.1,2.35,0.43,7.96,0.75,4.57,1.65,3,2.6,3.15,2.05,7.56,-2,1.5,3.52,-1.5,6.49,0.06,0.74,6.92,2.5,5.08,4.51,3.3,4.88,-5.2,1,3,1.99,5.7,1.38,2.16,-0.47,2.11,8.2,-0.3,-2,4.43,1.2,6,1.06,6.3,-1.3,1.79,,,2,,3.7667961252,35,22,8,-13
Oakland,Pittsburgh,-9.5,-5.62,-5.98,,-13.41,-7.11,-5.09,-6,6.01,-4.82,-4.8,-5.6,-9.62,-2.22,-6.72,-5.86,-4.02,-5,-10.72,-4.25,-10.72,-10.72,-14,-9.5,-9.01,-9,-2.02,-9.09,-10.62,-7.13,-9.5,-1.83,-5.69,-6.7,-3.45,-18.8,-5.6,-4,-12.81,-23.02,-0.69,-6.8,-9.09,-6.35,-9.3,-14.9,-6,-4.41,-12.2,-10,-3.93,-1.1,-10,-3.31,,,-7,,4.3263663991,13,20,8,7
Philadelphia,Jacksonville,7.5,4.6,5.04,,2.05,5.09,6.3,4,11.82,7.39,3.4,4.78,3.89,6.12,4.25,9.63,4.3,5,11.49,2.25,10.62,11.49,0.01,7,7.11,0.5,5.54,3.7,0.9,4.93,6,5.2,9.81,8.9,6,-3.85,2.1,6,5.97,30.77,1.48,4.06,2.8,4.84,6.3,2.3,0.01,4.09,4.9,14,0.5,0.11,3.1,4.33,,,8,,3.2850783671,13,6,8,-7
San Diego,St. Louis,10,6.37,8.21,,17.95,9.88,3.78,9,4.82,9.97,8.7,9.32,16.06,3.68,10.31,11.64,9.45,7,18.56,9.23,18.46,18.56,18,10,15.48,4,0.71,15.12,9.25,7.53,10,3.43,9.91,12,6.82,15.5,6.2,5,18.64,38.29,0.22,11.18,7.58,9.29,-3.4,15.5,10,5.62,16.1,17,8.72,2.1,10.4,7.65,,,4,,5.0108008464,24,38,8,14
Tennessee,Houston,3,1.91,1.85,,0.88,1.68,-0.67,2,-15.57,4.14,0.6,4.85,5.9,0.99,1.33,4.76,1.28,1,2.37,2.89,2.95,16.02,3,3,2.06,-4.5,0.83,3.03,1.7,-1.07,3,0.3,2.91,3.9,-0.83,9.6,-0.8,2,-0.61,6.81,1.03,1.64,0.94,1.7,7.8,2,0.01,0.11,0.5,-2,3.6,-4.8,-2.3,1.7,,,2,,3.7453871466,22,28,8,6
Baltimore,Cincinnati,3,8.01,7.14,,4.1,5.71,7.37,6,11.72,3.13,6.6,6.64,-2.23,3.35,7.99,9.36,6.35,5,8.62,4.41,9.28,-6.28,8,3.5,9.65,,6.64,9.4,3.98,11.85,3,5.35,5.75,6.9,7.71,7.95,6,4,8.75,-15.17,1.65,3.48,3.28,6,4.5,5.2,1,7.18,9.6,10,3.22,1.8,5.3,5.72,,,-5,,2.7856490175,20,26,9,6
Buffalo,Green Bay,3,2.33,-4.63,,2.99,1.33,0.94,1,-13.99,-8.19,-0.6,1.63,4.81,-3.99,-0.67,0.75,0.75,1,6.47,2.73,6.44,5.32,2,3,3.22,,2.83,1.73,3.21,-0.95,3,2.88,1.75,2.2,-0.22,10.15,1.2,3,0.77,-4.95,1.29,3.27,-0.31,1.75,5.8,1.8,3,0.79,-1.1,6,3,1.3,-2.6,2.39,,,-7,,3.886730186,10,24,9,14
Chicago,Miami,13.5,21.42,16.46,,16.3,19.52,26.13,15,39.13,17.74,28.3,21.54,18.11,20.17,18.76,21.28,16.4,16,25.57,16.95,26.09,25.57,17,14.5,25.59,,22.93,22,18.81,32.75,13.5,18.19,19.55,22.2,23.98,25.9,15,16,27.45,31.26,31.66,12.24,14.69,18.47,16.2,17,12,20.75,24.6,25,18.47,32.8,9.7,13.52,,,12,,5.7606139274,31,13,9,-18
