Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linematt,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhat,linewann,linestd,vscore,hscore,week,difference
Tampa Bay,Baltimore,3,2.36,9.48,2,6.17,3.13,7.78,3,-7,1.9,,2.25,2.04,2.3,5.54,3.14,4.63,3,3.68,6.13,4.63,8.84,0.01,3,,0.01,2.36,2.36,5.03,5.52,3,,,,,,1.9,2,4.47,12.25,5.19,2.88,1.55,2.36,-2.8,3.2,2,,0.9,,,10.3,2.9,,,,,,3.0004019086,27,0,1,-27
Tennessee,N.Y. Jets,3,0.09,5.77,2,0.02,1.04,1.8,2,9,3.8,,2.25,1.69,4.1,3.56,0.62,3.33,1,1.05,0.05,3.82,6.66,-2,3,,-4,0.09,0.09,0.12,1.9,2.5,,,,,,1.2,6,2.24,8.11,5.95,-0.65,-0.99,1.2,-2.7,-0.7,-3,,-4,,,4.2,1.5,,,,,,2.8684610913,23,16,1,-7
Washington,Minnesota,4.5,4.9,10.29,4,9.07,4.5,6.81,8,2.5,8.8,,2.25,3.39,9,7.04,7.59,5.88,6,-0.38,2.94,-1.37,-7.46,9,4.5,,2,4.9,4.9,6.82,6.2,6,,,,,,-7,-7,12.19,13.85,0.36,1.86,3.98,4.9,11.1,6.8,-2,,5.5,,,0.11,-1.5,,,,,,4.5920147615,19,16,1,-3
Atlanta,Tampa Bay,6,13.03,5.6,4,8.24,7.81,21.12,8,44,12.86,,6.5,5.55,9.92,2.53,14.84,2.69,4,0.31,1.99,1.01,3.2,10,6,,7,10.27,16.81,2.7,8.97,5.5,,,,,5.75,10.6,9,3.52,-0.68,-0.59,3.8,15.63,8,13.1,9.4,8,,11.2,,9.87,-2.4,1.2,3.97,,,,,7.6610328967,3,14,2,11
Baltimore,Oakland,12.5,16.8,8.5,4,15.12,11.42,22.32,11,46.5,15.42,,6.5,8.86,8.7,5.05,18.52,4.65,15,8.23,3.53,12.18,13.59,13,12.5,,8,13.56,21.78,11.75,13.98,10.5,,,,,30,9.7,14,5.06,10.26,11,4.74,18.48,11,15.5,12.8,7,,24.2,,13.73,7.5,5.9,6.23,,,,,8.6614618609,6,28,2,22
Chicago,Detroit,8.5,13.25,7.57,5,10.26,9.88,13.32,11,5.5,12.86,,6.5,5.62,9.98,9.71,12.51,7.25,11,13.63,10.47,11.88,16.74,12,8.5,,1,13.37,14.44,10.27,15.42,8.5,,,,,10.35,10.9,7,11.51,16.28,12.99,8.55,10.97,10.9,13.9,9.8,9,,11.5,,12.49,12.9,0.6,5.36,,,,,3.5659221406,7,34,2,27
Cincinnati,Cleveland,10,15.92,8.45,7,10.63,11.44,22.56,13,52.5,12.66,,6.5,9.41,12.58,8.4,17.61,7.23,8,10.82,11.73,11.41,4.25,10,10,,7,16.05,15.97,6.89,15.07,11,,,,,13.9,15.8,11,11.27,6.82,16.14,8.69,12.28,11.27,12.3,12,14,,15.6,,16.61,7.5,2.1,6.29,,,,,8.1719294549,17,34,2,17
Dallas,Washington,6,3.79,0.08,2,1.35,2.57,2.16,5,-0.5,5.77,,2.25,0.89,5.72,1.31,0.05,1.82,1,4.44,5.5,3.52,10.42,-1,5,,2,3.63,3.95,-1.08,2.57,6.5,,,,,-3.15,6.8,7,1.12,-0.32,-4.15,3.08,4.18,2.25,4.4,0.4,7,,-6,,2.02,2.7,-1.2,4.11,,,,,2.924706119,10,27,2,17
Denver,Kansas City,10.5,6.23,7.43,5,9.82,5.66,2.88,6,4,8.18,,2.25,7.58,5.91,4.81,5.65,4.41,8,5.98,7.79,12.52,11.58,3,9,,3,5.68,6.81,5.28,6.57,8,,,,,4.35,3.8,5,6.9,11.61,1.41,6.03,7.1,5.91,0.5,4.3,5,,1.8,,5.92,9.7,3,4.52,,,,,2.0237694485,6,9,2,3
Green Bay,New Orleans,-2,-1.73,3.05,4,1.86,0.49,-6.12,1,-28.5,-5.53,,-2,-0.49,-3.12,7.44,-1.16,6.87,-1,-0.24,6.21,-1.62,-2.03,1,-2,,5,-0.29,-4.2,4.62,-0.02,1,,,,,4.5,-1.6,3,11.14,8.62,-2.48,4.64,-8.6,-0.02,-6.5,1,1,,1.5,,-2.94,8.9,0.2,2.33,,,,,6.449835549,34,27,2,-7
Indianapolis,Houston,13.5,21.91,17.19,10,19.77,15.88,26.04,17,40,17.28,,6.5,16.31,17.44,15.67,21.42,13.92,11,12.34,16.91,13.52,7.92,20,13.5,,11,24.41,20.19,14.95,23.5,13.5,,,,,27.65,11,12,24.35,16.96,16.59,12.85,11.7,16.31,17.1,16.3,11,,19.6,,17.95,0.22,6.2,7.32,,,,,6.7963632471,24,43,2,19
Jacksonville,Pittsburgh,-1.5,-3.04,1.08,1,-5.05,-1.91,0.36,-1,-0.5,-2.76,,2.25,-3.94,-0.86,0.42,-5.91,0.88,1,2.71,2.48,4.61,-1.19,-7,-1.5,,-2,-3.58,-2.88,-5.24,-1.52,0,,,,,3.25,-0.3,-4,-3.28,-2.02,-2.72,-0.87,-3.1,-2,-6.2,-4.3,2,,-13.3,,-2.96,-2.3,-3.9,1.03,,,,,3.3781371635,0,9,2,9
Miami,Buffalo,6.5,2.98,6.85,3,4.57,4.68,3.96,9,-8.5,7.47,,1.85,1.12,9.4,7.06,4.95,5.93,8,5.91,8.64,2.42,1.48,7,6.5,,-5,4.25,1.71,9.63,7.81,7,,,,,10.25,3.4,6,8.74,10.73,13.89,3.79,0.2,4.48,3.2,4.6,4,,8.6,,3.07,10.8,-1.4,4.48,,,,,4.0441576112,16,6,2,-10
