Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linefolk,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linetsr4,linedwig,linejwilson,linegametime,linecover81,linecrunch,linegpa,linelinx,linecombo,linegirl,linestd,week,hscore,rscore
Pittsburgh,Houston,6.5,8.39,11.69,4,13.65,6.66,9,3.78,6.74,,2.25,8.8,7.02,9.11,-0.84,7.32,7,10.91,,2.67,18.14,7,6.5,,2,8.39,8.39,4.18,4.47,7,8,,,,,7.78,4,7,,,5.49,,6.5,7,8.8,1.1,7,9.2,-2.2,4.62,8.53,,7.6,8.2,4.3,,9.42,,4.3,6.2,7,6,6,11.5,,,,3.4184281045,1,38,17
San Diego,Carolina,9,11.63,7.09,8,11.71,9.79,10,15.66,6.94,,2.25,7.67,6.74,13.02,13.33,9.44,11,13.12,,14.17,18.76,18,9,,2,11.63,11.63,11.09,8.95,9.5,13,,,,,9.5,7.1,8,,,7.37,,-0.89,10,15.3,5.1,6,16,14.6,7.96,10.96,,2,11.2,5.5,,19.34,,5.8,9.7,9,10,10.05,10,,,,4.0602919309,1,24,26
San Francisco,Arizona,-3,1.02,-3.1,1,-3.86,-2,1,-3.19,-1.86,,2.25,-0.32,-2.09,-4.7,-2.71,-1.87,-4,-0.28,,-5.83,-4.66,-4,-3,,-2.5,1.02,1.02,-0.42,3.93,-2.5,-7,,,,,-1.54,0.5,-3,,,-1.73,,-2.18,-2.18,-10.6,-0.2,1,-4.3,-2.3,-1.63,-4.25,,-4.2,0.9,-1.4,,-3.16,,2.2,-3.9,1,-3,-6.92,-1.5,,,,2.8635817966,1,13,23
Tennessee,Jacksonville,-3,-0.75,-0.87,0.25,-3.06,-2.22,-2,-4.02,-6.51,,2.25,-0.25,-6.48,-1.58,-2.8,-0.08,-2,-7.96,,-6.34,-4.63,-6,-3,,-1.5,-0.75,-0.75,-2.7,3.36,-3,-4,,,,,0.56,-2.2,1,,,-3.84,,-0.46,-1.6,-10.4,0.9,0.01,-4.4,-0.3,0.06,-0.76,,-4.6,-4.2,-4.3,,-8.25,,-1.6,-2,2,-6,-3.53,-1.5,,,,2.8295229102,1,17,10
Arizona,Miami,6.5,5.68,8.3,4,5.33,6.34,10,10.48,7,2,6.5,4.88,7.72,10.53,8.56,8.77,11,2.59,-8.8,-7,-17.24,12,6.5,,4,5.28,6.04,11.06,8.86,8,9,,,,,10.09,9,10,,,-4.91,,7.13,6.91,3.3,18.4,3,11.86,15.9,5.75,3.69,,-0.3,6.6,4,8,6.82,,8.2,8.5,8,7,6.2,-1,,,,3.8220777236,2,31,10
Carolina,Chicago,3,-0.81,-2.7,-2,-13.36,0.37,4,-3.83,1.09,2,1.85,-1,3.03,-0.54,-2.84,0.87,1,9.78,1.2,6,28.73,-2,3,,4.5,-0.17,-1.82,-0.86,-0.96,3,-4,,,,,-1.04,2.6,7,,,7,,4.05,0.35,-5.4,-3.5,5,-0.32,-5.6,2.36,-0.34,,-8.7,2.7,-0.4,12,-7.88,,7,2.9,3.5,1,3.4,2.5,,,,4.2231350985,2,20,17
Cincinnati,Tennessee,1,-0.83,-3.47,0.25,-3.43,-1.23,-1,0.18,1.46,1,-2,3.97,0.16,2.56,-0.79,2.87,-1,-4.82,0.7,-5.71,-10.17,1,1,,2,-0.9,-0.77,0.61,-1.6,3,1,,,,,2.25,-3.3,3,,,-12.23,,0.64,-0.81,-9,-4,-1,-6.97,-4,2.6,-0.38,,-1.7,-5.2,-2.1,-10,0.16,,-6.6,1.8,0.5,0.01,-3.1,-4.5,,,,3.0594885292,2,7,24
Cleveland,Pittsburgh,-6,-4.36,-3.6,-1,-7.54,-4.01,-1,-2.57,-1.9,1,-2,-9.41,0.61,-2.04,1.56,-0.57,-6,-7,17.9,-11,-8.81,-4,-6,,3,-3.76,-5,0.86,-1.82,-4,-6,,,,,-3.1,-5.5,-8,,,-7,,-3.47,-4.18,-9.4,-3.9,-6,-11.96,-7.8,-1,-6.39,,-4.8,-6.8,-8.3,-7,-2.83,,-16.1,0.3,-1,-8,-4.4,3.5,,,,4.0427536602,2,6,10
Dallas,Philadelphia,6.5,4.7,1.78,3,2.75,3.6,6,2.71,5.89,-1,2.25,9.92,6.25,6.43,0.68,5.24,4,-7.77,2.8,-4,1.04,3,6,,3,5.23,3.99,1.53,2.01,7.5,5,,,,,6.08,3.3,3,,,-6.87,,-3.17,3.15,-0.5,9.8,2,8.54,1.3,5.97,1.03,,-2.5,4.7,9.3,10,7.26,,-2.2,6.1,6,0.01,2.7,7.5,,,,2.9440024976,2,41,37
Denver,San Diego,0,1.71,-4.44,-1,-2.51,-0.67,1,-5.01,-3.2,7,6.1,2.78,-2.62,-6.77,-8.51,-3.74,1,7.69,-19.8,7,-14.15,-6,0,,0.5,0.3,3.16,-2.14,1.64,-2.5,-7,,,,,-5.93,4.3,2,,,0.1,,-18.16,0.32,7.2,6.1,2,1.06,0.4,-0.54,0.33,,-2.6,-0.8,4.9,-5,-6.71,,9.7,-0.4,2.5,-2.5,0.4,-2,,,,4.2426634851,2,39,38
