HOME,ROAD,LINE,AVG,STD,T,EFF,LINETODD,LINESAG,LINEPZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINEED,LINEMCMC,LINEMASS,LINEMORE,LINEPYTH,LINEEFF,LINECPA,VSCORE,HSCORE,WEEK
St. Louis,Carolina,10,11.64,1.67,1.02,,17,9,13.36,9.52,25.91,11,13.12,10.11,11.73,11.07,13.48,12,11.98,10.8,12.9,10,35,10
Tampa Bay,Kansas City,3,-5.3,4.29,-2.03,,-14,-6.99,-4.77,-9.98,-0.42,-15,-5.05,-2.82,1.38,-9.22,-2.45,-5,-2.89,-0.6,-6.82,10,17,10
Arizona,Dallas,-1.5,-6.05,3.53,-2.14,,-13,-6.48,-10,-10.92,-1.01,-3.75,-3.02,2.25,-7.93,-9.83,-6.5,-5,-7.64,-1.3,-5.05,9,13,11
Cincinnati,Baltimore,-5.5,-7.43,4.31,-0.45,,-11,-8.07,-4.02,-12.28,-18.24,-10.75,-4.05,2.68,-11.06,-11.04,-9.19,-9,-5.82,-3.9,-7.78,34,31,11
Cleveland,Carolina,-5.5,-6.25,4.48,-0.17,,-11,-5.54,-7.24,-11,-9.69,-9.75,-0.74,3.98,-11.73,-9.57,-3.99,-8,-7.06,-5,-5.63,31,17,11
Denver,Oakland,1.5,-0.04,2.66,-0.58,,0,-2.65,-3.37,-0.07,-9.59,-1.75,-2.42,-0.47,6.72,-0.12,1.67,-2,0.47,1.2,2.28,21,27,11
Green Bay,Detroit,4,-1.93,2.95,-2.01,,-1,-3.47,-0.95,-3.63,-10.81,-7.5,-1.47,-0.21,4.08,-3.43,-0.28,-5,-1.27,0,-1.27,17,26,11
Jacksonville,New Orleans,12.5,17.94,1.55,3.5,,20.5,17.17,15.35,19.18,23.22,16,19.27,15.25,17.13,17.73,19.55,20,17.94,13,19.46,23,41,11
Kansas City,Seattle,3,2.73,1.87,-0.15,,7,-0.32,3.85,4.18,18.46,2.75,-0.85,1.1,3.93,3.51,3.49,2,3.76,3.3,4.05,31,19,11
Miami,New England,3.5,5.11,2.44,0.66,,1.5,3.7,5.97,5.17,-5.4,1.5,7.12,9.11,1.67,4.69,5.65,8,2.77,2.3,4.75,17,27,11
N.Y. Jets,Buffalo,-2.5,-4.29,2.71,-0.66,,-3.5,-5.46,-5.36,-6.33,-1.78,-8.5,-4.44,-6.27,2.21,-5.85,-2.04,-3,-2.85,-0.5,-4.85,7,17,11
Philadelphia,Indianapolis,-7,-8.48,2.38,-0.62,,-10,-11.45,-7.65,-10.6,0.6,-4.5,-9.82,-5.55,-7.9,-10.21,-7.61,-10,-6.41,-3.8,-11.29,44,17,11
San Diego,Chicago,0,1.71,2.85,0.6,,4,1.87,-1.38,-0.37,-2.61,-1.25,4.83,7.31,-1.38,0.3,1.87,6,0.91,2.1,0.61,23,20,11
San Francisco,St. Louis,-7,-12.26,5.94,-0.89,,-16.5,-12.71,-10.98,-16.65,-7.19,-21.5,-11.72,1.69,-4.88,-15.92,-12.58,-15,-13.91,-12.3,-14.27,23,7,11
Tampa Bay,Atlanta,7,11.86,2.81,1.73,,9,9.55,14.67,16.08,15.52,12.25,12.21,10.86,6.33,14.27,11.03,9,12.58,8.6,12.19,10,19,11
Tennessee,Pittsburgh,5.5,2.33,3.37,-0.94,,1,2.39,1.17,-0.42,-6.83,-0.25,6.25,10.84,-0.89,-0.12,2.25,2,0.12,1.2,3.42,10,16,11
Washington,N.Y. Giants,5.5,5.71,6.72,0.03,,10,2.89,2.09,6.34,-2.9,-2.75,4.74,5.07,3.81,1.68,25.41,7,5.62,5,5.35,13,23,11
Baltimore,Jacksonville,-7,-8.03,2.69,-0.38,,,-8.77,-6.29,-9.84,-18.88,-14.5,-7.61,-3.27,-8.92,-7.82,-7.18,-8,-8.16,-5.7,-7.22,30,23,12
Buffalo,New England,4,5.23,3.33,0.37,,,3.6,8.68,5.79,11.05,-3.75,3.86,8.06,5.29,6.28,6.56,7,5.07,1,5.13,7,17,12
Carolina,Atlanta,4.5,7.72,2.47,1.3,,,4.73,8.28,8.82,18.94,10.5,7.14,6.32,2.87,7.84,6.13,9,11.73,5.7,8.03,28,34,12
Cleveland,Tennessee,-10.5,-11.33,2.58,-0.32,,,-11.82,-13.74,-14.16,-20.55,-12.25,-12.47,-6.48,-16.1,-11.54,-9.09,-9,-9.19,-6,-11.39,33,21,12
Dallas,Miami,2.5,-1.24,3.91,-0.96,,,-3.75,-1.95,-0.73,11.67,-9.5,-4.9,-4.37,4.13,0.14,0.79,-1,4.32,4,0.72,0,20,12
Detroit,Chicago,6,7.8,1.53,1.18,,,5.39,4.79,6.93,9.66,8.75,6.84,11.03,9.37,7.86,7.93,8,6.95,5.5,8.46,17,21,12
Indianapolis,N.Y. Jets,7,8.25,2.83,0.44,,,7.61,7.29,8.74,8.58,5.5,10.01,11.02,0.78,8.65,7.53,11,9.4,8,10.17,6,13,12
Minnesota,San Diego,13.5,9.89,3.42,-1.06,,,5.49,10.04,10.85,9.4,8.25,6.03,6.48,15.27,10.7,9.31,8,10.5,7.7,16.45,27,35,12
N.Y. Giants,Arizona,4.5,5.43,3.11,0.3,,,3.38,11.38,5.25,-0.97,1.25,3.85,5.16,5.52,7.26,5.3,1,7.7,5.7,6.84,34,24,12
Oakland,Kansas City,3.5,2.2,2.22,-0.58,,,1.57,3.25,-0.59,3.34,2.75,3.73,5.6,2.34,-2.26,3.86,3,0.61,1.3,1.29,37,34,12
Pittsburgh,Cincinnati,10.5,13.91,2.9,1.17,,,11.6,14.88,16.15,3.86,7.75,12.72,9.6,15.25,16.33,13.95,15,16.28,11.9,16.1,27,20,12
San Francisco,Green Bay,-6,-4.91,2.63,0.41,,,-7.75,-6.46,-9.73,-8.41,-3.75,-6.69,-0.67,-2.73,-7.8,-4.74,-3,-2.83,-1.5,-4.02,20,3,12
Seattle,Tampa Bay,6,7.84,2.37,0.78,,,7.16,6.2,8.75,4.64,4.5,9.19,12.28,4.03,6.32,8.08,10,6.41,4.7,9.92,16,3,12
St. Louis,New Orleans,14,18.67,3.08,1.52,,,16.4,14.49,20.3,30.42,24.75,18.35,13.02,17.11,20.03,20.24,22,17.71,15.2,18.38,12,43,12
Washington,Philadelphia,10,9.78,2.78,-0.08,,,8.1,10.08,11.81,6.83,3.75,10.54,10.1,11.87,5.23,9.45,11,11.3,9.5,12.87,17,20,12
Arizona,Philadelphia,7,5.18,2.19,-0.79,,,3.41,6.59,2.83,0.81,3,5.29,8.53,5.84,2.9,3.83,7,4.59,4,8.32,17,21,13
Atlanta,New Orleans,4,3.39,1.85,-0.26,,,3.09,-0.82,1.43,5.33,4,3.97,5.72,5.57,1.78,5.07,5,1.38,1.75,4.89,12,35,13
Baltimore,Tennessee,-3.5,-1.31,1.81,1.12,,,-3.23,0.24,-0.64,0.18,-1,-4.18,-4.16,-2.59,-0.55,-0.11,0,-0.23,0.6,-2.48,14,41,13
Carolina,St. Louis,-7,-7.94,4.13,-0.31,,,-8.87,-6,-12.42,1.49,-17,-7.24,-0.61,-5.56,-11.57,-8.38,-8,-6.52,-3.7,-8.57,34,21,13
Chicago,Green Bay,-3,-0.22,1.74,1.51,,,-1.49,0.42,-1.55,-6.61,-3,-1.1,0.97,-2.2,-1.33,1.84,2,1.01,1.5,-1.17,35,19,13
Cincinnati,San Francisco,3,0.24,4.17,-0.71,,,-1.2,7.2,-2.42,-0.66,-5,2.01,1.62,-6.78,-2.64,2.43,-2,2.81,2.6,3.26,30,44,13
Denver,Kansas City,4,0.78,2.75,-1.14,,,-1.58,0.2,-2.79,1.45,0,0.15,1.25,7.33,-2.28,3.45,2,-0.51,0,1.73,16,10,13
Detroit,Washington,3.5,4.78,2.38,0.62,,,2.25,5.36,1.93,0.12,7,4.76,9.86,3.72,7.57,5.16,4,2.84,2.5,3.97,17,33,13
Jacksonville,Pittsburgh,10.5,11.98,1.34,1.31,,,11.33,9.85,11.66,-2.48,12,13.22,12.94,12.21,11.09,14.52,12,10.38,8.6,14.64,6,20,13
Miami,Indianapolis,2,0,2.68,-0.75,,,-2.26,2.63,-2.45,2.3,-3,0.17,5.73,2.22,-1.88,-0.31,0,-1.26,-0.9,-0.87,37,34,13
N.Y. Giants,N.Y. Jets,-2.5,-1.43,3.1,0.32,,,-2.63,0.39,-3.41,-7.41,-1,0.46,3.88,-6.95,-3.79,-3.14,-2,2.43,-0.5,-3.6,28,41,13
New England,Dallas,2.5,-0.18,1.8,-1.5,,,-0.39,-3.82,-3.08,5.1,1,0.91,3.44,-1.35,-1.53,0.79,0,-0.55,0,1.02,6,13,13
Oakland,Seattle,1,0,2.8,-0.36,,,-1.54,6.99,-0.43,-8.3,0,-0.51,0.09,-3.23,-0.41,0.46,-2,0.12,0.8,-0.79,21,30,13
San Diego,Cleveland,7.5,12.18,3.04,1.65,,,12.13,13.83,17.24,9.13,15,13.46,11.76,7.49,15.92,11.77,13,8.69,7.8,8.91,10,23,13
Tampa Bay,Minnesota,-2.5,1.45,3.26,1.16,,,0.61,6.13,-2.8,-1.45,-1,2.25,4.83,-1.48,-3.07,3.42,-1,3.6,3.4,2.71,17,24,13
Buffalo,N.Y. Giants,8,10,1.39,1.44,,,8.42,7.81,10.5,15.3,10.67,8.02,12.1,11.06,9.74,10.62,10,8,6.2,11.81,19,17,14
Cincinnati,Cleveland,7,6.43,3.25,-0.18,,,4.86,14.13,6.08,-3.6,3.67,6.88,6.89,2.04,4.93,5.74,6,6.35,3,8.28,28,44,14
Dallas,Philadelphia,9,11.62,3.98,0.66,,,9.71,14.62,12.78,27.9,2.33,10.14,11.97,17.71,11.27,12.04,8,12.71,8.3,14.87,10,20,14
Green Bay,Carolina,8,8.79,2.45,0.32,,,8.71,6.89,10.36,14.7,10.67,10.82,13.24,8.17,8.93,8.78,5,4.26,4,8.37,33,31,14
Indianapolis,New England,7,8.52,2.42,0.63,,,7.6,8.64,8.42,7,8,8.88,11.25,2.9,6.8,8.83,12,7.03,6,10.68,15,20,14
Jacksonville,Denver,9,9.53,3.61,0.15,,,7.25,10.39,5.5,0.9,5,9.29,11.8,9.3,4.31,9.32,11,13.85,11,16.12,24,27,14
Kansas City,Minnesota,1,4.77,1.8,2.1,,,3.97,7.84,3.96,12.2,4,5.6,6.98,3.3,2.92,5.47,3,4.75,4,4.22,28,31,14
N.Y. Jets,Miami,-3,-1.22,1.98,0.9,,,-2.9,-1.97,-2.21,-2.2,0,-2.15,-3.36,2.6,-2.45,0.92,-4,0.69,1.3,-1.12,20,28,14
New Orleans,St. Louis,-10.5,-15.88,5.7,-0.94,,,-16.88,-8.21,-20.71,-16.2,-25,-15.44,-5.61,-12.24,-19.25,-16.07,-20,-12.84,11.2,-19.61,30,14,14
Pittsburgh,Baltimore,1.5,1.31,2.1,-0.09,,,-0.52,4.33,0.07,-8.7,-1.67,0.96,3.27,1.36,-0.22,-0.14,1,4.03,3.5,1.95,31,24,14
San Francisco,Atlanta,-3,0,2.78,1.08,,,-1.92,0.11,-0.63,1.9,2.67,0.37,6.82,-1.07,-0.77,-2.64,-3,1.25,0.7,-2.46,7,26,14
Seattle,San Diego,9.5,8.98,2.01,-0.26,,,8.08,6.96,10.38,3.5,6,9.08,10.44,7.86,9.14,8.11,7,9.65,7.3,13.82,19,16,14
Tampa Bay,Detroit,4,2.2,2.67,-0.67,,,0.12,4.7,-0.1,0.8,-1.33,0.99,0.6,5.3,-0.4,4.63,1,4.11,3.7,5.51,16,23,14
Tennessee,Oakland,3,-1.53,4.35,-1.04,,,-2.9,-2.91,-7.87,-3.4,-3.67,-0.56,6.47,-2.75,-7.83,-3.44,-1,2.55,2.5,4.33,14,21,14
Washington,Arizona,5.5,5.62,3.04,0.04,,,4.8,8.61,8.05,0.5,-1.67,6.29,5.65,7.2,3.15,6.12,3,8.04,6.8,7.01,3,28,14
Arizona,Buffalo,-3,-4.8,2.68,-0.67,,,-5.58,-7.84,-8.92,-7.33,-1,-4.13,-0.07,-6.04,-8.7,-3.98,-3,-5.11,-2,-4.55,31,21,15
Baltimore,New Orleans,8.5,11.93,1.97,1.74,,,12.12,8.31,14.02,18.91,9.5,12.75,11.69,8.81,12.4,12.54,14,10.68,8.7,15.06,8,31,15
Carolina,San Francisco,7.5,8.85,1.95,0.7,,,8.01,5.9,9.93,19.3,7.5,8.24,6.35,6.45,8.87,10.08,12,9.51,8.2,12.14,24,41,15
Chicago,Detroit,-3,-3,1.8,0,,,-4.72,-1.48,-5.05,-5.67,-3.5,-3.33,-3.58,-0.14,-4.25,-1.08,-5,-1.45,-0.3,-3.67,10,28,15
Cleveland,Jacksonville,-14.5,-18.29,3.49,-1.09,,,-20.13,-20.07,-22.76,-33.24,-19,-16.93,-9.46,-21.65,-20.33,-16.61,-18,-15.54,-11.4,-20.26,24,14,15
Dallas,N.Y. Jets,6,5.6,1.99,-0.2,,,3.54,7.23,5.91,18.05,4,3.62,6.61,5.07,4.65,5.62,3,8.8,6.5,7.87,22,21,15
Denver,Seattle,1.5,1.33,2.01,-0.08,,,-1.04,3.95,0.47,-6.08,0,0.12,-1.12,3.29,0.65,2.96,3,-0.18,0.6,2.67,30,36,15
Indianapolis,Washington,6.5,8.74,2.37,0.95,,,8.93,6.99,7.19,6.55,6,9.69,13.41,5.07,11.12,9.54,10,6.14,5.6,9.55,21,24,15
Kansas City,Pittsburgh,8.5,11.47,2.38,1.25,,,11.96,8.55,13.52,6.76,14,12.9,13.9,9.92,12.63,12.5,10,5.71,4.9,10.77,19,35,15
Miami,San Diego,7.5,7.88,1.09,0.35,,,7.66,8.67,8.16,4.56,6.5,7.74,9.8,8.03,7.44,7.45,7,6.52,5.3,8.35,9,12,15
Minnesota,Green Bay,4.5,4.3,1.42,-0.14,,,2.59,2.86,5.65,3.32,2,2.8,3.38,6.57,5.46,5.42,4,4.24,3.8,5.33,20,24,15
Oakland,Tampa Bay,-1,0.88,1.47,1.27,,,-0.38,3.38,1.62,0.92,0.5,0.96,1.4,-0.33,1.81,0.73,0,0.7,1.5,-1.13,0,45,15
Philadelphia,New England,-3.5,-4.7,2.06,-0.58,,,-6.53,-4.2,-5.55,-8.12,-3,-4.89,-2.37,-9.64,-5.79,-3.06,-4,-3.29,-1.3,-5.3,9,24,15
St. Louis,N.Y. Giants,10.5,12.43,3.67,0.53,,,8.69,10.05,13.63,15.3,16,6.07,6.31,13.94,12.79,13.24,16,14.02,12.8,17.13,10,31,15
Tennessee,Atlanta,10,10.1,3.81,0.03,,,10.62,10.45,7.61,13.64,6.5,14.73,16.96,3.56,6.88,8.66,10,10.19,7.8,13.85,17,30,15
Atlanta,Arizona,2,-0.43,3.8,-0.64,,,-3.87,4.16,-2.82,-2.43,-7.14,-3.9,0.16,5.99,-0.39,-0.46,-1,2.05,1.9,0.86,14,30,16
Baltimore,Cincinnati,7,11.26,1.96,2.17,,,11.08,6.21,13.99,11.65,11.71,9.52,8.84,12.43,12.72,11.24,11,11.06,9,14.05,0,22,16
Cleveland,Indianapolis,-13.5,-17.5,3.37,-1.19,,,-22.11,-17.36,-21.36,-29.12,-19.86,-19.13,-11.98,-18.6,-17.93,-16.81,-16,-11.07,6.8,-19.07,29,28,16
Detroit,Denver,4.5,4.18,2.33,-0.14,,,3.91,1.2,2.82,6.29,4.14,4.96,10.48,2.53,2.24,4.21,2,4.45,4,7.97,17,7,16
Miami,N.Y. Jets,4,4.73,2.22,0.33,,,4.37,6.02,4.21,4.15,1.57,6.2,9.12,1.17,4.16,3.84,6,4.67,0.8,4.16,38,31,16
N.Y. Giants,Minnesota,-3,-1.7,4.25,0.31,,,-0.58,2.81,-7.27,-10.13,-5.71,2.14,4.77,-6.34,-7.64,-1.08,-2,-0.32,0.5,-0.45,34,17,16
New England,Buffalo,-3,-0.83,0.88,2.46,,,-1.25,-2.29,-2.11,-0.88,-0.86,-0.2,0.86,-0.95,-1.84,0.45,-1,-0.39,0.8,-1.6,13,10,16
New Orleans,Dallas,-9,-10.44,4.37,-0.33,,,-13.84,-5.99,-16.4,-4.03,-17.71,-11.17,-2.84,-9.33,-13.05,-10.35,-9,-7.83,-4.7,-7.02,28,35,16
Pittsburgh,Carolina,-3.5,0.68,2.95,1.42,,,-0.09,4.96,1.7,-2.07,-5.29,0.41,3.55,0.83,1.86,0.12,-3,2.38,2.5,-0.51,20,30,16
San Diego,Oakland,-3,-2.72,2.56,0.11,,,-2.55,-6.01,-4.69,-5.41,-2,0.04,2.51,-6.5,-4.23,-2.86,0,-2.79,-1.2,-4.85,20,23,16
San Francisco,Washington,-7,-7.34,3.98,-0.08,,,-11.4,-4.51,-14.77,-12.06,-10.71,-8.98,-0.31,-4.17,-5.47,-7.92,-7,-5.04,-4.2,-9,26,20,16
Seattle,Kansas City,3,-0.35,1.75,-1.91,,,-0.51,-4.14,-1.1,-4.14,-3.29,0.22,3.05,0.7,-0.63,0.66,-1,1.49,1.7,-0.87,14,23,16
St. Louis,Chicago,10,13.67,3.84,0.95,,,11.63,12.65,10.96,14.31,13.86,10.86,7.45,16.2,10.12,14.62,17,15.3,12.8,22.08,12,34,16
Tampa Bay,Green Bay,3.5,4.19,1.83,0.38,,,3.94,4.11,5.12,2.42,1.57,5.09,6.54,0.26,5.11,4.46,4,2.88,2.6,5.96,10,29,16
Tennessee,Jacksonville,-3,-2.59,2.79,0.15,,,-4.48,-3.13,-4.62,-5.82,-1.43,-1.36,4.98,-4.99,-3.78,-3.9,-1,-4.51,-3.2,-4.1,14,41,16
Atlanta,San Francisco,6.5,5.37,1.63,-0.69,,,5.94,3.65,5.54,11.37,1.68,4.22,4.17,7.05,5.01,7.33,7,4.74,4.7,6.91,29,34,17
Buffalo,Indianapolis,-1,1.85,1.74,1.63,,,0,3.53,1.24,10.31,1.57,-0.57,1.22,5.07,1.68,2.32,0,2.4,2.7,2.5,6,31,17
Carolina,New Orleans,8.5,9.63,1.51,0.75,,,10.61,5.51,10.33,20.69,11.57,8.3,7.92,9.07,9.54,9.28,12,9.75,8.5,10.48,13,45,17
Chicago,Tampa Bay,-3.5,-2.11,2.1,0.66,,,-2.23,-1.5,-5.2,-4.27,-5.21,-1.39,0.8,-0.48,-4.58,-0.86,-4,-0.72,0.4,-1.15,20,6,17
Dallas,N.Y. Giants,6.5,6.97,2.08,0.23,,,5.69,6.06,9.35,13.42,4.68,3.44,4.56,9.23,8.19,7.07,6,8.99,7,11.17,18,26,17
Denver,San Diego,7,6.54,2.04,-0.22,,,5.69,8.03,6.65,0.87,4.35,3.95,4.34,10.65,6.12,7.18,6,6.04,5,8.27,12,6,17
Green Bay,Arizona,7.5,10.22,1.95,1.4,,,9.07,11.47,12.04,11.03,11.35,8.39,8.16,12.6,11.85,10.33,7,8.48,6.5,10.61,24,49,17
Jacksonville,Cincinnati,9,16.86,2.38,3.3,,,20.19,11.43,17.26,14.33,16.24,17.24,14.9,20.69,15.74,17.32,14,16.98,13.6,19.08,7,24,17
Kansas City,Oakland,4.5,4.55,1.07,0.04,,,4.95,2.42,4.59,9.79,3.13,3.8,6.3,6.66,4.17,4.23,4,3.86,3.5,5.2,41,38,17
Minnesota,Detroit,7,5.93,2.37,-0.45,,,4.54,5.66,5.43,7.76,3.79,4.1,3.02,11.52,5.34,7.74,5,5.34,4.5,10.43,17,24,17
N.Y. Jets,Seattle,1,1.08,2.41,0.03,,,1.25,4.27,-2.79,-6.78,0.46,2.32,3.78,0.06,-2.75,0.89,3,0.33,1,0.9,9,19,17
New England,Baltimore,-1,1.72,1.97,1.38,,,3.02,0.67,0.75,-1.14,1.68,4.08,6.33,1.04,1.35,0.88,-1,-0.03,1,0.62,3,20,17
Philadelphia,St. Louis,-8,-12.21,4.25,-0.99,,,-13.21,-11.41,-14.14,-12.01,-20.32,-9.94,-1.63,-13.06,-13.09,-11.64,-14,-11.72,-9.3,-13.66,31,38,17
Pittsburgh,Tennessee,-4,-1.97,2.27,0.89,,,-4.19,1.56,-1.47,-1.01,-3.87,-4.63,-4.36,-1.3,-1.27,-2.32,-3,1.07,1.4,-1.14,47,36,17
Washington,Miami,3,1.79,1.92,-0.63,,,1.12,1.92,2.12,0.64,-0.32,0.74,1.45,0.79,-1.83,3.02,2,5.22,4.7,4.02,10,21,17
Minnesota,Dallas,6.5,-0.04,2.81,-2.33,,-3,-1.75,-2.78,-1.25,8.98,-4,-0.26,0.08,6.91,3.39,0.15,0,-0.01,1.2,-2.15,10,27,18
Seattle,Miami,3.5,3.78,1.8,0.15,,,3.17,-0.33,6.26,1.95,4,1.57,3.61,2.68,6.07,4.8,4,5.5,4.7,6.07,20,17,18
Tennessee,Buffalo,5,0.24,2.36,-2.01,,,-1.54,-0.46,-2.52,7.35,-2,1.07,3.71,-0.19,-2.19,0.28,4,1.3,1.7,4.35,16,22,18
Washington,Detroit,6,3.98,2.09,-0.97,,,4.27,6.94,3.22,5.66,2,4.6,3.78,4.65,0.46,5.24,3,5.61,1.8,8.28,13,27,18
