HOME,ROAD,LINE,AVG,STD,T,EFF,LINETODD,LINESAG,LINEPZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINEED,LINEMCMC,LINEMASS,LINEMORE,LINEPYTH,LINEEFF,LINECPA,VSCORE,HSCORE,WEEK
Tennessee,Cleveland,16,13.11,7.36,-0.39,25.29,14,15.72,16.94,9.69,33,17,10.2,13,17.33,-6.93,15.06,20,,,,9,26,2
Arizona,San Francisco,-2,1.04,5.73,0.53,7,4,-3.89,7.49,-0.21,16,-14,-0.61,-1.33,-2.63,-9.27,1.03,11,,,,24,10,3
Baltimore,Cleveland,12,11.69,6.61,-0.05,14.7,21,11.96,14.44,26.87,77,39,9.18,0,14.82,25.71,17.9,19,,,,10,17,3
Buffalo,Philadelphia,11.5,11.56,5.67,0.01,5,10,14.04,12.6,20.84,22,30.5,14.04,0.17,17.55,14.64,15.86,7,,,,0,26,3
Carolina,Cincinnati,7.5,3.14,7.9,-0.55,5.25,6,9.02,-4.39,21.29,23,16.5,8.77,0,9.79,12.89,-10.32,12,,,,3,27,3
Green Bay,Minnesota,0,2.64,5.63,0.47,3,-3,3.75,6.11,20.37,58,22,4.59,3.24,-1.67,19.52,8.82,4,,,,20,23,3
Jacksonville,Tennessee,9.5,12.18,6.42,0.42,10.5,8,11.88,22.69,33.34,36,46,9.47,3.91,11.2,19.16,18.07,13,,,,20,19,3
Jacksonville,Tennessee,7,6.25,2.41,-0.31,,10,7.41,6.76,7.51,12.83,3,5.14,2.2,10.02,6.66,6.52,4,8.3,8.2,8.06,20,19,3
Kansas City,Detroit,3.5,-1.75,6.16,-0.85,3.4,7,3.8,-0.95,1.29,-0.44,-9,-3.05,-13.75,6.63,-8.49,-4.93,0,,,,21,31,3
N.Y. Jets,Washington,-1,-3.11,9.64,-0.22,-7,-1,4.95,-15.01,-13.62,-55,-16.5,-6.91,-3.21,8.14,-12.25,-12.08,-12,,,,27,20,3
New England,N.Y. Giants,6.5,9.6,6.08,0.51,10.5,2,10.08,18.98,3.16,-35,6.5,11.99,6.09,5.42,5.61,6.98,15,,,,14,16,3
Oakland,Chicago,6.5,5.58,5.42,-0.17,3,9,9.4,9.02,14.2,-1,-5.5,4.99,0.08,5.42,7.58,13.48,4,,,,17,24,3
Pittsburgh,Seattle,4,6.63,5.29,0.5,14.5,5,7.15,12.18,8.23,44,0,2.81,0.69,4.05,-2.13,7.94,15,,,,29,10,3
San Diego,Indianapolis,-1,2.85,5.24,0.74,12.5,10,7.45,5.32,-2.22,-18,-1,3.87,1.98,-2.84,1.14,5.79,7,,,,27,19,3
St. Louis,Atlanta,,3.46,9.6,,16.2,3,1.76,8.7,27.55,18,28.5,6.48,4.45,-3.24,18.75,9.25,15,,,,7,35,3
Tampa Bay,Denver,2.5,4.47,8.19,0.24,13.9,4,-0.13,6.72,14.53,59,2.5,6.72,0.08,2.53,6.26,12.6,16,,,,10,13,3
Atlanta,Baltimore,3,4.86,6.31,,-1.3,-15,6.93,-2.21,2.6,97.35,11.71,7.7,-0.25,11.3,-4.9,7.3,-2,,,,19,13,4
Chicago,New Orleans,-1,4.01,6.67,0.75,2.2,-3,8.35,2.3,6.76,26.22,19.71,3.98,1.34,0.38,-3.07,4.13,5,,,,10,14,4
Cincinnati,St. Louis,-3.5,-8.57,5.73,-0.88,-16.8,-20,-6.6,-8.15,-14.6,-29.99,2.71,-8.66,-5.17,-10.12,-11.19,-12.73,-18,,,,38,10,4
