Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
N.Y. Giants,San Francisco,-3.5,2.01,-3.1,1,-3,-0.4,-2.1,-4,-4,-10.9,2.11,-3.87,-1.7,-10.21,-2.15,-4.62,-1.17,-5,16.6,-3.07,32.33,24.22,-8,0,,-1.5,2.01,2.01,,,-3,,,,,,,,,,,,16,13,1
New England,Pittsburgh,-2.5,1.4,-3.9,3,1,2.51,1.18,1,3,3.5,2.36,7.69,8.9,3.53,1,5.47,1.33,-2,7.75,-3.07,10.67,-13.5,4,-1,,-0.5,1.4,1.4,,,0,,,,,,,,,,,,14,30,1
Oakland,Seattle,7,7.05,10.25,5,10,7.87,10.24,11,8,7.2,6.85,8.26,4.6,7.01,6.76,5.82,5.87,4,18.29,8.64,10,-53.1,7,6,,5,7.05,7.05,,,7,,,,,,,,,,,,17,31,1
Tampa Bay,New Orleans,6,8.14,1.45,3,8,6.78,8.48,12,15,6.55,8.2,7.48,14.7,6.6,6.52,10.67,5.65,4,-4.15,6.4,-12.33,-47.79,16,5,,8,8.14,8.14,,,7,,,,,,,,,,,,26,20,1
Tennessee,Philadelphia,1,1.75,0.55,0.25,-7,-4.18,2.12,-3,-7,-8.65,-0.46,-6.35,-10.6,-8.95,-4.83,-7.33,-3.32,-2,-15.24,-5.58,-11.33,-37.5,-7,0,,1,1.75,1.75,,,1,,,,,,,,,,,,24,27,1
Washington,Arizona,7,7.23,5.7,4,5,7.67,10.66,11,5,11.55,5.82,3.58,7.3,11.28,2.85,5.08,2.92,5,25.72,5.19,11,-22.5,8,5,,6,7.23,7.23,,,7.5,,,,,,,,,,,,23,31,1
Atlanta,Chicago,3,2.25,-4.52,2,-2,-2.3,-2.22,-3,-11.5,-3.74,-1.09,1.92,-7.8,-6.4,-6.16,-1.49,-3.49,-1,6.81,-11.13,8,13.62,-10,2,,,0.35,4.16,-8.31,,2.5,,,,,,,,,,,,14,13,2
Baltimore,Tampa Bay,-3.5,5.17,7.76,1,5,1.83,-2.84,-4,5.9,-5.27,4.79,3.48,2.7,-7.36,4.51,6.47,3.47,2,-5.97,5.15,-8,60.93,6,1,,,4.83,5.56,4.15,,-3,,,,,,,,,,,,25,0,2
Carolina,Detroit,3,4.34,13.4,2,8,6.05,6.34,4,8.6,5.68,5.47,5.6,6.5,7.38,3,7.11,2.84,1,5.05,15.31,9,30.03,4,6,,,4.27,4.58,2.5,,4,,,,,,,,,,,,7,31,2
Cleveland,Cincinnati,4.5,5.74,11.9,3,9,6.96,14.96,8,4.5,10.67,7.4,4.88,11.2,3.18,5,9.79,4.88,3,2.14,14.92,2,-10,6,5,,,3.84,8.52,5.48,,6,,,,,,,,,,,,7,20,2
Dallas,Tennessee,-3,-5.66,-0.51,0.25,-3,-4.87,-8.61,-4,-9.9,-6.01,-3.18,1.14,-8.4,-8.7,0.69,-7.58,1.37,-2,-13.59,-3.21,-4,-1,-6,-2,,,-6.76,-4.75,-6.17,,-3,,,,,,,,,,,,13,21,2
Indianapolis,Miami,2.5,3.72,3.68,1,-1,1.05,-1.41,2,-0.9,0.23,2.25,1.36,0.1,3.15,-0.42,0.88,-0.54,-1,-5.03,6.14,1,-29,-1,3,,,5.51,1.85,-1.03,,3,,,,,,,,,,,,21,13,2
Kansas City,Jacksonville,4,4.37,2.28,4,5,4.77,2.93,4,11.4,4.13,4.31,3.72,3.6,6.89,1.71,7,2.01,3,8.45,4.82,9,44.05,2,4,,,6.36,2.44,4.19,,5,,,,,,,,,,,,23,16,2
Minnesota,Buffalo,5,5.94,5.52,5,8,5.5,5.52,3,5.2,4.71,6.07,3.36,6.4,4.25,4.8,9.14,4.61,2,10.38,3.1,7,59.05,7,4,,,5.67,6.34,4.07,,5,,,,,,,,,,,,45,39,2
N.Y. Jets,New England,1.5,1.15,-4.25,2,-5,-3.12,-2.34,-3,-5.5,-4.67,-1.63,1.84,-17.3,-3.26,-0.82,-7.91,-0.03,-1,-8.95,-4.16,-4,7,-7,1,,,2.05,0.29,0.71,,1.5,,,,,,,,,,,,44,7,2
New Orleans,Green Bay,-2,4.81,0.89,0.25,-3,-0.06,2.25,-4,-7.3,2.35,2.35,3.48,-5,1.42,-4.36,2.15,-2.3,-4,-0.99,1.7,-1,-78,-6,1,,,4.32,5.3,1.99,,-2.5,,,,,,,,,,,,20,35,2
Pittsburgh,Oakland,4,2.62,-2.05,2,1,1.17,-3.77,5,-3.7,8.36,-0.14,-1.24,4.9,10.61,6.07,1.37,5.83,2,-8.36,-6.4,-11,-38.88,6,1,,,2.57,2.68,7.44,,4,,,,,,,,,,,,30,17,2
San Diego,Houston,12.5,7.86,4.5,7,11,9.82,6.62,7,13.4,16.22,9.89,3.74,7.6,10.52,9.38,12.12,,0,17.36,6.25,28,-1.52,17,6,,,6.23,9.75,8.38,,12.5,,,,,,,,,,,,3,24,2
San Francisco,Denver,3.5,1.62,0.86,1,8,4.52,-2.21,4,6.9,5.38,3.84,2.38,1.8,6.7,6.97,3.35,6.49,5,3.91,7.08,9,-21,12,3,,,2.05,1.32,10.12,,3,,,,,,,,,,,,24,14,2
Seattle,Arizona,3.5,5.83,0.9,2,5,4.1,4.11,6,5.2,6.68,4.5,2.12,3.4,9.52,4.06,0.88,3.79,3,-4.55,2.64,10,7.65,4,4,,,6.19,5.54,3.24,,3.5,,,,,,,,,,,,24,13,2
St. Louis,N.Y. Giants,12.5,8.05,0.84,4,12,8.36,7.95,13,12.3,13.88,8.58,2.38,7.3,15.45,10.87,8.9,10.08,9,1.13,0.81,8,23.57,16,11,,,8.25,8.16,4.38,,12.5,,,,,,,,,,,,26,21,2
Washington,Philadelphia,-3,-1.67,7.45,2,-6,0.06,2.95,-3,4.3,-4.08,-0.77,4.72,1.6,0.1,-5.36,0.65,-2.81,-1,9.01,1.13,-2,-14,-4,1,,,-0.07,-3.65,-1.94,,-1,,,,,,,,,,,,37,7,2
Arizona,San Diego,-1.5,-1.4,-13.36,-0.25,-7,-6.01,-6.26,1,-6.1,-20.28,-3.2,-0.64,-3.5,-7.12,0.63,-5.58,1.12,-3,-15.36,-12.87,-40.88,28,1,2,,0,-0.41,-2.61,1.71,-6.8,-1,,,,,,,,,,,,23,15,3
Atlanta,Cincinnati,7,10.18,5.57,5,13,9.28,10.33,8,5.9,15.19,8.5,6.54,11,6.6,3.37,13.23,3.54,4,14.51,7.48,17.75,-17.67,5,6,,8,7.13,12.58,6.85,20.4,7,,,,,,,,,,,,3,30,3
Chicago,New Orleans,1,-2.67,-5.48,2,1,1.07,-2.51,5,4,-9.15,0,0.63,1.7,-3.95,11.52,-3.71,9.4,5,1.88,-3.91,0.63,23.33,11,6,,3,-1.84,-3.58,6.38,3.7,3,,,,,,,,,,,,29,23,3
Denver,Buffalo,9,11.37,7.66,10,18,11.18,11.09,11,13.6,13.07,10.71,5.76,14.4,9.77,8.47,14.96,8.07,6,16.12,10.17,4.75,20.83,12,9,,9,12.76,10.56,10.5,18.8,8.5,,,,,,,,,,,,23,28,3
Detroit,Green Bay,-8,-2.44,-9.11,-5,-11,-7.06,-6.2,-10,-7.5,-15.63,-2.02,0.39,-4.5,-10.91,-7.37,-7.71,-4.76,-2,-4.93,-10.29,-1.88,32.17,-9,-4,,-8,-1.49,-4.82,-6.51,-24.5,-7.5,,,,,,,,,,,,37,31,3
Houston,Indianapolis,-11.5,-2.8,-0.46,-4,3,-3.57,-4.21,-7,-4.9,-2.87,-3.16,2.79,1.3,-6.62,-1.07,-0.66,,-5,-12.29,2.39,-4.75,9,-8,-4,,-8,-2.58,-3.24,-3.89,-9.3,-13,,,,,,,,,,,,23,3,3
Miami,N.Y. Jets,6,9.99,12.35,3,9,10.14,11.2,11,11.1,12.59,8.33,7.29,15.4,3.51,4.41,12.48,4.1,5,12.42,15.55,20,-14.4,11,6,,7,8.08,12.3,7.65,16.9,6,,,,,,,,,,,,3,30,3
Minnesota,Carolina,6,-2.19,3.12,1,1,0.25,-0.34,6,-4.2,-2.36,0.8,-1.22,-5.5,0.25,5.01,-0.81,4.69,2,-0.11,0.67,5.5,-15,7,5,,4,-5.79,0.59,3.22,-16.5,5,,,,,,,,,,,,21,14,3
N.Y. Giants,Seattle,6,9.78,14.09,6,9,9.83,9.83,8,9.5,13.26,8.38,7.22,10.5,10.77,2.82,12.63,2.83,1,8.05,12.03,21,-0.5,8,7,,9,10.59,9.38,16.67,11.2,6.5,,,,,,,,,,,,6,9,3
New England,Kansas City,9,15.46,2.1,8,18,15.61,15.95,16,18.2,25.44,13.62,8.21,24.1,16.71,7.81,23.51,6.74,9,27.81,9.61,29.88,48.17,19,9,,10,13.96,17.87,1.77,29.3,8,,,,,,,,,,,,38,41,3
Philadelphia,Dallas,9,9.08,9.08,5,15,9.94,7.03,14,11.4,9.18,11.89,4.23,11.7,8.71,13.14,14.71,10.29,8,-4.91,8.13,-1.63,-7.5,21,9,,10,6.69,12.75,18.34,17,8.5,,,,,,,,,,,,13,44,3
San Francisco,Washington,9,8.37,0.7,4,12,6.65,7.39,7,8.3,10.06,4.68,2.64,5.9,4.84,9.18,6.55,7.92,5,8.59,2.16,8.88,14,10,6,,8,7.91,9.33,4.58,4.1,7,,,,,,,,,,,,10,20,3
Tampa Bay,St. Louis,-2.5,6.77,10.85,5,4,4.63,7.56,2,3.3,10.98,5.06,6,2.9,5.56,-2.84,7.1,-2.81,-2,0.85,10.71,13.5,-17.33,-1,-1,,1,7.5,6.81,-3.93,9.1,-3,,,,,,,,,,,,14,26,3
Tennessee,Cleveland,4,9.74,10.87,2,8,5.52,3.91,7,8.5,9.37,5.64,-0.09,4.8,4.72,3,6.86,2.59,2,-3.79,9.68,-0.63,4.34,6,4,,5,10.72,8.99,8.91,2.7,6,,,,,,,,,,,,31,28,3
Arizona,N.Y. Giants,-3,-0.64,-4.2,-0.25,-2,-0.73,0.28,-3,-2.6,-1.31,0.6,2.64,3.2,-3.9,-0.5,4.69,1.61,-3,2.1,-2.06,-10.25,12.15,0,0,,,-1.7,0.35,2.4,-4.6,-3,5.48,,,,,,,,,,,7,21,4
Baltimore,Denver,-7,-5.98,-7.34,-2,-2,-7.21,-8.29,-7,-7.4,-18.62,-0.19,-2.8,-10.1,-19.85,-17.59,-12.98,-11.9,-9,-6.16,-5.66,4,-63.15,0,-1,,,-9.08,-3.87,-1.06,-12.7,-8,-13.58,,,,,,,,,,,23,34,4
Buffalo,Chicago,3,1.19,-2.08,-1,-3,-1.52,-0.95,2,-6.2,-3.02,0.79,2.51,-4.1,-3.08,2.37,2.96,3.56,-1,-0.31,-8.34,-1.5,-106.8,-4,2,,,-0.55,2.89,-5.04,-12,3,1.53,,,,,,,,,,,27,33,4
Cincinnati,Tampa Bay,-7,-10.91,-5.02,-4,-18,-13.31,-10.85,-13,-11.7,-27.48,-11.62,-5.8,-16.5,-13.35,-22.28,-17.87,-14.72,-1,-15.84,-8.07,-22,-0.17,-14,-6,,,-8.31,-15.03,-7.14,-30.5,-7,-16.47,,,,,,,,,,,35,7,4
Detroit,New Orleans,-7.5,-10.07,-18.61,-7,-14,-12.64,-9.13,-9,-11.3,-26.32,-8.41,-5.41,-12.4,-19.22,-13.17,-21.1,-10.23,-1,-10.53,-15.94,-16.75,-23.37,-8,-5,,,-11.16,-9.93,-8.07,-27,-7.5,-17.48,,,,,,,,,,,21,26,4
Green Bay,Carolina,7,2.63,1.2,4,6,2.08,5.32,11,8,-1.6,3.93,-1.17,0.2,4.86,-9.53,1.15,-2.35,4,-10.47,6.1,-7.75,21.02,8,5,,,4.19,1.27,6.41,2.1,7,-2.81,,,,,,,,,,,14,17,4
Jacksonville,N.Y. Jets,3.5,5.6,8.8,2,9,7.26,6.93,3,1.5,9.22,6.99,7.01,14.6,-2.2,16.07,8.23,12.58,6,14.3,11.93,13.5,17,10,2,,,2.03,9.65,2.6,3.8,3.5,9.05,,,,,,,,,,,3,28,4
Kansas City,Miami,-3,-6.01,-7.1,-2,-4,-7.24,-6.19,-8,-8,-12.85,-3.14,-3.08,-4,-10.48,-11.39,-10.35,-11.15,-7,-12.12,-2.83,-20.5,-11.54,-3,-3,,,-6.31,-5.7,-0.97,-15.5,-3.5,-7.59,,,,,,,,,,,30,48,4
Oakland,Tennessee,7,11.12,10.54,7,14,10.44,9.25,11,12.9,14.17,9.88,7.89,14.4,15.98,14.42,16.28,11.25,0,10.06,7.89,5.75,48.54,11,5,,,11.24,11.03,7.5,9.2,6,13.59,,,,,,,,,,,25,52,4
Philadelphia,Houston,20,11.53,9.22,11,28,17.9,11.73,22,15.8,22.67,17.6,9.63,21.2,11.56,26.05,18.48,17.72,7,22.23,9.4,30.25,-19.17,30,12,,,7.44,18.8,22,32.3,21,19.6,,,,,,,,,,,17,35,4
Pittsburgh,Cleveland,6,3.96,-3.39,2,9,3.92,1.68,9,7.5,-0.71,3.2,-2.34,4.9,4.52,-10.52,1.03,-6.46,1,18.25,-1.23,16.25,-19.61,11,5,,,3.22,4.72,7.82,2,5.5,0.22,,,,,,,,,,,13,16,4
San Diego,New England,-3,-1.6,0.19,-1,-4,-2.75,-1.39,-6,-5.7,-1.15,1.46,3.88,-3.6,-5.08,6.39,2.41,7.29,-1,-14.45,0.5,-11,-42,-7,-1,,,-1.94,-1.28,-8.42,-11.2,-3,3.36,,,,,,,,,,,14,21,4
Seattle,Minnesota,3,3.98,4.2,2,3,3.06,1.67,5,3.6,0.14,4.42,1.13,6.5,0.1,-2.54,5.55,0.18,1,-0.76,3.82,3.75,8.73,5,3,,,2.99,4.49,7.81,4.8,3,1.92,,,,,,,,,,,23,48,4
St. Louis,Dallas,11.5,5.68,6.46,4,17,6.16,4.74,12,10.5,4.7,8.68,1.49,1.9,0.09,5.18,2.87,4.43,3,-1,4.19,2,47.17,17,11,,,2.03,9.31,13.91,4.6,13,2.74,,,,,,,,,,,13,10,4
Atlanta,Tampa Bay,-1.5,-4.48,-0.07,-2,-5,-4.63,-3.19,-7,-6,-9.03,-5.2,0.86,-3.5,-6.24,-1.52,-6.52,-1.86,-6,-9.05,-1.03,0.33,-24,-8,-1,,,-6.16,-4.37,-1.17,-19,-2.5,-1.4,,,,,,,,,,,20,6,5
Buffalo,Oakland,-3,-7.46,-2.44,-8,-12,-8.34,-8.72,-6,-10.7,-12.72,-7.14,-0.9,-8.9,-4.9,-7.27,-13.48,-6.66,-6,-17.45,-9.72,-7.83,13,-9,-3,,,-7.36,-7.56,-5.53,-17,-3,-7.34,,,,,,,,,,,49,31,5
Carolina,Arizona,3.5,4.87,1.58,4,2,3.12,4.16,3,1.3,2.07,3.46,2.94,-2.9,2.69,15.82,0.5,6.04,7,2.33,5.93,7.67,64,-3,3,,,6.26,3.5,-1.19,0.8,4,0.33,,,,,,,,,,,16,13,5
Chicago,Green Bay,1.5,-1.21,-6.01,-2,2,0.51,-3.23,1,-0.4,1.51,1.84,2.12,2.3,-2.48,3.87,-0.38,1.99,-1,3.45,-6.32,5.17,9,5,2,,,-4.16,1.19,6.61,-3.4,1,5.26,,,,,,,,,,,34,21,5
Cleveland,Baltimore,7,1.36,4.15,4,1,3.18,2.22,5,-1.7,5.15,1.53,4.07,2.4,7.12,20.82,6.17,7.3,5,5.33,2.31,-11.67,-35,1,6,,,0.8,1.92,4.49,-4.5,7,5.58,,,,,,,,,,,26,21,5
Dallas,N.Y. Giants,0,2.01,1.81,1,-1,0.58,2.66,3,1.1,6.11,2.64,3.48,1.6,6.56,-7.94,4.38,1.13,-1,-3.43,1.76,-13,7,-1,-2,,,3.34,0.51,-1.76,0.9,1,2.81,,,,,,,,,,,21,17,5
Denver,San Diego,5,-1.55,-7.2,-1,-1,-4.24,-3.56,5,-1.2,-12.24,-1.23,-1.87,-13.4,0.18,-4.5,-13.42,-5.49,1,-15.84,-7.4,-10,-73,0,4,,,-1.72,-1.7,0.71,-8.2,5,-9.91,,,,,,,,,,,9,26,5
Indianapolis,Cincinnati,13.5,18.59,15.67,12,20,20.09,21.37,18,15.7,27.54,16.33,11.96,22.9,14.77,22.35,30.82,18.56,6,32.44,20.14,42.33,12,16,10,,,17.26,20.73,13.03,30.2,13.5,26.08,,,,,,,,,,,21,28,5
Jacksonville,Philadelphia,-3,2.69,3.71,0.25,-3,-0.8,3.74,-8,-1.8,1.18,-0.48,0.96,-6.7,2.98,-6.82,5.55,0.78,-2,2.12,-1.05,1.83,28,-6,-1,,,3.78,0.61,-6.79,-0.5,-3,-5.35,,,,,,,,,,,25,28,5
Miami,New England,3,2.33,-1.59,0.25,1,-0.67,2.19,3,-3.5,-0.74,2.59,3.02,-8.9,2.13,5.45,1.7,2.3,1,-4.27,-2.89,-6.5,4,-4,1,,,1.88,2.88,-4.38,-7.7,2.5,-2.68,,,,,,,,,,,13,26,5
N.Y. Jets,Kansas City,-3,-3.12,-17.85,-2,-10,-9.28,-4.86,0,-3.2,-19.6,-4.02,-3.7,-17.7,-0.96,-6.74,-12.17,-9.86,-7,-24.12,-15.81,-33.5,-9,-8,1,,,0.37,-8,-2.32,-17.4,-3,-11.27,,,,,,,,,,,29,25,5
New Orleans,Pittsburgh,3,7.62,5.81,7,3,5.49,5.45,-1,-2.6,8.62,5.7,6.69,0.4,12.11,18.93,7.41,9.75,6,5.01,5.22,2.5,-24,-4,4,,,7.56,7.8,4.02,5.3,3,8.66,,,,,,,,,,,29,32,5
San Francisco,St. Louis,7,7.96,5.79,10,4,6.64,11.66,4,4.7,7.1,3.49,7.16,9.9,12.57,10.87,8.49,6.69,1,3.6,8.89,-7.67,34,4,5,,,13.71,4.38,4.21,12.5,7,8.72,,,,,,,,,,,13,37,5
Tennessee,Washington,5.5,2.79,8.68,1,5,3.49,2.54,2,0.7,9.42,4.04,3.22,0.7,-3.59,9.38,5.08,4.95,4,8.29,3.63,9.33,33,0,3,,,2.19,3.48,1.36,-1.3,5.5,2.28,,,,,,,,,,,31,14,5
Cincinnati,Pittsburgh,-6,-7.27,-5.62,-6,-12,-7.64,-6.29,-12,-8.7,-12.43,-5.61,-2.04,-11,-11.21,-5.08,-10.7,-5.78,-5,-17.17,-6.74,-21.33,0.95,-13,-5,,-5,-6.78,-7.99,-6.61,,-6,19.64,,,,,,,,,,,34,7,6
Dallas,Carolina,2,-1.8,-5.17,-3,-1,-1.64,-2.92,5,-1,-1.23,-0.18,-0.61,1.8,2.48,-10.44,-4.65,-2.87,-1,-6.56,-3.65,-9,-34.16,4,1,,2,-0.82,-2.87,-0.27,,2,-1.09,,,,,,,,,,,13,14,6
Denver,Miami,3.5,-0.15,2.06,1,5,0.4,0.43,0,1.1,-0.23,2.42,0.94,3.7,8.89,-0.3,-1.16,0.24,1,-3.68,1.92,-22,17.07,1,3,,3,1.66,-1.72,2.73,,4,-0.69,,,,,,,,,,,24,22,6
Houston,Buffalo,-7.5,0.16,-2.95,-3,-4,-1.65,0.28,-4,-1,0.16,-1.53,0.44,-0.7,1.32,-6.72,0.53,-4.04,-4,1.45,-0.44,2.33,-11,-5,-3,,-7,1.27,-1.38,-4.22,,-8.5,-0.16,,,,,,,,,,,31,24,6
Indianapolis,Baltimore,7,4.53,5.59,4,2,5.47,8,7,3.1,4.48,2.56,3.99,3.6,7.86,11.21,6.77,7.29,6,6.29,5.4,9.67,-8.02,1,6,,6,5.48,3.78,4.41,,6.5,8.09,,,,,,,,,,,20,22,6
Minnesota,Detroit,4.5,-2.67,8.96,-2,4,0.89,-7.49,3,-4,-1.6,1.01,1.46,-5.6,0.25,4.94,-5.45,3.54,2,5.58,4.03,-0.33,26.74,7,4,,4,-7.4,1.66,3.31,,4.5,3.5,,,,,,,,,,,24,31,6
N.Y. Giants,Atlanta,6,6.27,0.28,2,3,3.69,3.36,5,9.1,3.61,5.31,2.45,4.7,6.44,-0.43,5.13,1.6,3,0.4,1.14,-3.33,-30.48,6,6,,4,9.85,3.68,1.97,,6,3.4,,,,,,,,,,,17,10,6
New England,Green Bay,5.5,4.92,-2.03,3,10,5.93,3.22,4,5.8,8.15,4.93,1.87,4.4,3.17,7.03,11.53,5.56,1,13.9,0.4,9,6.56,10,5,,5,1.49,7.7,12.54,,4.5,12.34,,,,,,,,,,,28,10,6
San Diego,Kansas City,3,4.19,0.69,5,7,4.38,4.74,4,4.1,4.62,4.79,5.74,-0.6,5.88,10.69,1.05,8.5,5,1.39,5.4,5.33,28.88,2,4,,3,4.13,4.26,5.12,,3,7.98,,,,,,,,,,,34,35,6
Seattle,San Francisco,-3,-3.01,-5.29,-5,-5,-3.5,-5.54,-5,-6.5,-0.74,-1.19,-1.59,-3.7,-8.8,-4.37,-1.47,-1.1,-6,1.15,-3.99,5.33,-13.69,-7,-2,,-6,-6.25,-0.47,-1.85,,-3.5,-3.34,,,,,,,,,,,28,21,6
St. Louis,Oakland,-8,-11.54,-6.44,-12,-7,-11.33,-13.18,-5,-8.6,-21.73,-8.1,-9.34,-16.8,-17.15,-15.54,-21.4,-10.99,-2,-14.52,-11.53,-23.67,-26.72,-3,-2,,-6,-14.19,-10.28,-6.05,,-7,-16.29,,,,,,,,,,,13,28,6
Tampa Bay,Cleveland,7,11.14,9.19,10,16,11.54,11.69,13,12.7,11.6,12.15,9.17,11.5,8.28,14.14,13.09,11.61,0,18.27,13.02,19,-14.22,12,8,,7,10.37,12.93,11,,7,13.39,,,,,,,,,,,3,17,6
Tennessee,Jacksonville,-2,-7.44,-5.62,-7,-7,-9.14,-9.52,-2,-9.5,-18.67,-4.96,-5.34,-12.2,-14.85,-10.71,-16.87,-6.09,-6,-16.92,-9.49,-30,-10.32,-7,1,,0,-7.17,-7.74,-3.65,,-2,-9.81,,,,,,,,,,,14,23,6
